"Time","Average Request Rate","edge-server-cv-74d975f7cd-h8kdk Requests/2s","edge-server-cv-74d975f7cd-mqhqf Requests/2s","avg_requests/30"
2022-04-18 17:15:54,0.500,1,0,1.10
2022-04-18 17:15:55,0.500,1,0,1.14
2022-04-18 17:15:56,0,0,0,1.10
2022-04-18 17:15:57,1,1,1,1.14
2022-04-18 17:15:58,0,0,0,1.10
2022-04-18 17:15:59,0.500,0,1,1.10
2022-04-18 17:16:00,0.500,0,1,1.14
2022-04-18 17:16:01,0.500,1,0,1.03
2022-04-18 17:16:02,0.500,1,0,1.03
2022-04-18 17:16:03,1.50,2,1,1.14
2022-04-18 17:16:04,0,0,0,1.07
2022-04-18 17:16:05,0.500,0,1,1.07
2022-04-18 17:16:06,1,1,1,1.14
2022-04-18 17:16:07,1,1,1,1.21
2022-04-18 17:16:08,0.500,1,0,1.21
2022-04-18 17:16:09,0.500,1,0,1.14
2022-04-18 17:16:10,0,0,0,1.10
2022-04-18 17:16:11,1,2,0,1.17
2022-04-18 17:16:12,1,0,2,1.21
2022-04-18 17:16:13,0,0,0,1.14
2022-04-18 17:16:14,0,0,0,1.14
2022-04-18 17:16:15,1,0,2,1.21
2022-04-18 17:16:16,0,0,0,1.14
2022-04-18 17:16:17,0,0,0,1.14
2022-04-18 17:16:18,0,0,0,1.03
2022-04-18 17:16:19,0,0,0,1.000
2022-04-18 17:16:20,1.00,1.00,1,1
2022-04-18 17:16:21,0,0,0,0.931
2022-04-18 17:16:22,0.500,0,1,0.931
2022-04-18 17:16:23,0,0,0,0.897
2022-04-18 17:16:24,0,0,0,0.862
2022-04-18 17:16:25,1,2,0,0.931
2022-04-18 17:16:26,0,0,0,0.862
2022-04-18 17:16:27,0.499,0,0.998,0.897
2022-04-18 17:16:28,0,0,0,0.862
2022-04-18 17:16:29,0.500,0,1,0.862
2022-04-18 17:16:30,2.50,2,3,1
2022-04-18 17:16:31,0,0,0,0.966
2022-04-18 17:16:32,1,0,2,0.931
2022-04-18 17:16:33,1.50,0,3,1.03
2022-04-18 17:16:34,0,0,0,1
2022-04-18 17:16:35,1,1,1,1.00
2022-04-18 17:16:36,0.500,1,0,0.966
2022-04-18 17:16:37,1.50,1,2,1.03
2022-04-18 17:16:38,0,0,0,1
2022-04-18 17:16:39,1,2,0,1.07
2022-04-18 17:16:40,1.50,3,0,1.10
2022-04-18 17:16:41,1,0,2,1.10
2022-04-18 17:16:42,0,0,0,1.10
2022-04-18 17:16:43,0.500,0,1,1.14
2022-04-18 17:16:44,0,0,0,1.07
2022-04-18 17:16:45,1.50,2,1,1.17
2022-04-18 17:16:46,0.500,1,0,1.21
2022-04-18 17:16:47,1,1,1,1.28
2022-04-18 17:16:48,0,0,0,1.28
2022-04-18 17:16:49,0.500,0,1,1.24
2022-04-18 17:16:50,0,0,0,1.24
2022-04-18 17:16:51,0.500,1,0,1.24
2022-04-18 17:16:52,1,2,0,1.31
2022-04-18 17:16:53,0.500,0,1,1.34
2022-04-18 17:16:54,0.500,1,0,1.31
2022-04-18 17:16:55,0,0,0,1.31
2022-04-18 17:16:56,0,0,0,1.28
2022-04-18 17:16:57,1,0,2,1.34
2022-04-18 17:16:58,1,1,1,1.38
2022-04-18 17:16:59,0,0,0,1.21
2022-04-18 17:17:00,0.504,0,1.01,1.24
2022-04-18 17:17:01,0,0,0,1.17
2022-04-18 17:17:02,0,0,0,1.07
2022-04-18 17:17:03,0,0,0,1.07
2022-04-18 17:17:04,0,0,0,1
2022-04-18 17:17:05,0,0,0,0.966
2022-04-18 17:17:06,1,1,1,0.931
2022-04-18 17:17:07,1.50,2,1,1.03
2022-04-18 17:17:08,0,0,0,0.966
2022-04-18 17:17:09,0.500,1,0,0.897
2022-04-18 17:17:10,0,0,0,0.828
2022-04-18 17:17:11,0.500,0,1,0.862
2022-04-18 17:17:12,0.500,1,0,0.862
2022-04-18 17:17:13,0.500,0,1,0.897
2022-04-18 17:17:14,0.500,0,1,0.828
2022-04-18 17:17:15,0,0,0,0.793
2022-04-18 17:17:16,0,0,0,0.724
2022-04-18 17:17:17,0,0,0,0.724
2022-04-18 17:17:18,0,0,0,0.690
2022-04-18 17:17:19,0.500,1,0,0.724
2022-04-18 17:17:20,0,0,0,0.690
2022-04-18 17:17:21,0.500,0,1,0.655
2022-04-18 17:17:22,0.500,0,1,0.655
2022-04-18 17:17:23,0,0,0,0.621
2022-04-18 17:17:24,0,0,0,0.621
2022-04-18 17:17:25,0,0,0,0.621
2022-04-18 17:17:26,0,0,0,0.552
2022-04-18 17:17:27,0,0,0,0.483
2022-04-18 17:17:28,1,0,2,0.552
2022-04-18 17:17:29,0,0,0,0.517
2022-04-18 17:17:30,2,1,3,0.655
2022-04-18 17:17:31,0,0,0,0.655
2022-04-18 17:17:32,0.500,0,1,0.690
2022-04-18 17:17:33,1,0,2,0.759
2022-04-18 17:17:34,1.50,1,2,0.862
2022-04-18 17:17:35,0,0,0,0.793
2022-04-18 17:17:36,0.500,1,0,0.724
2022-04-18 17:17:37,1.50,1,2,0.828
2022-04-18 17:17:38,0.500,1,0,0.828
2022-04-18 17:17:39,0,0,0,0.828
2022-04-18 17:17:40,1,1,1,0.862
2022-04-18 17:17:41,1,1,1,0.897
2022-04-18 17:17:42,0,0,0,0.862
2022-04-18 17:17:43,0,0,0,0.828
2022-04-18 17:17:44,0.500,1,0,0.862
2022-04-18 17:17:45,0,0,0,0.862
2022-04-18 17:17:46,1,1,1,0.931
2022-04-18 17:17:47,0,0,0,0.931
2022-04-18 17:17:48,0,0,0,0.897
2022-04-18 17:17:49,0,0,0,0.897
2022-04-18 17:17:50,0.500,1,0,0.897
2022-04-18 17:17:51,0.500,1,0,0.897
2022-04-18 17:17:52,0,0,0,0.897
2022-04-18 17:17:53,1,1,1,0.966
2022-04-18 17:17:54,0.500,0,1,1
2022-04-18 17:17:55,0,0,0,1
2022-04-18 17:17:56,0,0,0,1
2022-04-18 17:17:57,0,0,0,0.931
2022-04-18 17:17:58,0,0,0,0.931
2022-04-18 17:17:59,0.500,0,1,0.828
2022-04-18 17:18:00,1.50,1,2,0.931
2022-04-18 17:18:01,0,0,0,0.897
2022-04-18 17:18:02,0,0,0,0.828
2022-04-18 17:18:03,0,0,0,0.724
2022-04-18 17:18:04,0.497,0.993,0,0.759
2022-04-18 17:18:05,0,0,0,0.724
2022-04-18 17:18:06,0.500,1,0,0.655
2022-04-18 17:18:07,0,0,0,0.621
2022-04-18 17:18:08,0,0,0,0.621
2022-04-18 17:18:09,1,0,2,0.621
2022-04-18 17:18:10,0.500,0,1,0.586
2022-04-18 17:18:11,1,0,2,0.655
2022-04-18 17:18:12,0.500,0,1,0.690
2022-04-18 17:18:13,0,0,0,0.655
2022-04-18 17:18:14,1,1,1,0.724
2022-04-18 17:18:15,0,0,0,0.655
2022-04-18 17:18:16,0,0,0,0.655
2022-04-18 17:18:17,0.500,1,0,0.690
2022-04-18 17:18:18,0.500,1,0,0.724
2022-04-18 17:18:19,0.499,0.997,0,0.724
2022-04-18 17:18:20,0.502,1.00,0,0.724
2022-04-18 17:18:21,0.500,1,0,0.759
2022-04-18 17:18:22,0,0,0,0.690
2022-04-18 17:18:23,1,1,1,0.724
2022-04-18 17:18:24,0.500,0,1,0.759
2022-04-18 17:18:25,0,0,0,0.759
2022-04-18 17:18:26,0,0,0,0.759
2022-04-18 17:18:27,0.996,0.992,1,0.827
2022-04-18 17:18:28,1.00,1.01,1,0.862
2022-04-18 17:18:29,0,0,0,0.759
2022-04-18 17:18:30,0.500,0,1,0.793
2022-04-18 17:18:31,0,0,0,0.793
2022-04-18 17:18:32,0,0,0,0.793
2022-04-18 17:18:33,0.500,0,1,0.793
2022-04-18 17:18:34,0,0,0,0.793
2022-04-18 17:18:35,0.500,1,0,0.793
2022-04-18 17:18:36,0,0,0,0.793
2022-04-18 17:18:37,0.500,1,0,0.828
2022-04-18 17:18:38,1,2,0,0.828
2022-04-18 17:18:39,0,0,0,0.793
2022-04-18 17:18:40,0,0,0,0.724
2022-04-18 17:18:41,0.500,1,0,0.724
2022-04-18 17:18:42,0,0,0,0.724
2022-04-18 17:18:43,0,0,0,0.655
2022-04-18 17:18:44,0,0,0,0.655
2022-04-18 17:18:45,0.500,1,0,0.690
2022-04-18 17:18:46,1,1,1,0.724
2022-04-18 17:18:47,0.500,1,0,0.724
2022-04-18 17:18:48,1,1,1,0.759
2022-04-18 17:18:49,0.500,1,0,0.759
2022-04-18 17:18:50,0,0,0,0.724
2022-04-18 17:18:51,0.500,1,0,0.759
2022-04-18 17:18:52,0,0,0,0.690
2022-04-18 17:18:53,0,0,0,0.655
2022-04-18 17:18:54,0,0,0,0.655
2022-04-18 17:18:55,0,0,0,0.655
2022-04-18 17:18:56,0,0,0,0.586
2022-04-18 17:18:57,0,0,0,0.517
2022-04-18 17:18:58,0.500,0,1,0.552
2022-04-18 17:18:59,0.500,0,1,0.552
2022-04-18 17:19:00,0,0,0,0.552
2022-04-18 17:19:01,0.500,0,1,0.586
2022-04-18 17:19:02,1,1,1,0.621
2022-04-18 17:19:03,0.500,0,1,0.655
2022-04-18 17:19:04,0,0,0,0.621
2022-04-18 17:19:05,0.500,0,1,0.655
2022-04-18 17:19:06,0,0,0,0.621
2022-04-18 17:19:07,1.50,2,1,0.655
2022-04-18 17:19:08,0,0,0,0.655
2022-04-18 17:19:09,0.500,1,0,0.690
2022-04-18 17:19:10,0,0,0,0.655
2022-04-18 17:19:11,1,0,2,0.724
2022-04-18 17:19:12,0.500,1,0,0.759
2022-04-18 17:19:13,0.500,0,1,0.793
2022-04-18 17:19:14,1,1,1,0.828
2022-04-18 17:19:15,1,1,1,0.828
2022-04-18 17:19:16,0,0,0,0.793
2022-04-18 17:19:17,0,0,0,0.724
2022-04-18 17:19:18,0.500,1,0,0.724
2022-04-18 17:19:19,0,0,0,0.724
2022-04-18 17:19:20,0.985,1.97,0,0.758
2022-04-18 17:19:21,1.52,2.03,1,0.862
2022-04-18 17:19:22,0.500,0,1,0.897
2022-04-18 17:19:23,0.500,0,1,0.931
2022-04-18 17:19:24,0.500,1,0,0.966
2022-04-18 17:19:25,1,2,0,1.03
2022-04-18 17:19:26,0,0,0,1.03
2022-04-18 17:19:27,0.500,0,1,1.03
2022-04-18 17:19:28,1,0,2,1.07
2022-04-18 17:19:29,0.500,1,0,1.10
2022-04-18 17:19:30,0.500,0,1,1.10
2022-04-18 17:19:31,0.500,0,1,1.07
2022-04-18 17:19:32,1,0,2,1.10
2022-04-18 17:19:33,0,0,0,1.10
2022-04-18 17:19:34,0,0,0,1.07
2022-04-18 17:19:35,0.500,0,1,1.10
2022-04-18 17:19:36,1,0,2,1.07
2022-04-18 17:19:37,1,0,2,1.14
2022-04-18 17:19:38,0.500,1,0,1.14
2022-04-18 17:19:39,0.500,0,1,1.17
2022-04-18 17:19:40,0,0,0,1.10
2022-04-18 17:19:41,0.499,0.997,0,1.10
2022-04-18 17:19:42,0,0,0,1.07
2022-04-18 17:19:43,1.50,3,0,1.10
2022-04-18 17:19:44,0.500,0,1,1.07
2022-04-18 17:19:45,1.50,1,2,1.17
2022-04-18 17:19:46,0.500,0,1,1.21
2022-04-18 17:19:47,0,0,0,1.17
2022-04-18 17:19:48,0.500,0,1,1.21
2022-04-18 17:19:49,0.500,0,1,1.17
2022-04-18 17:19:50,0.500,1,0,1.10
2022-04-18 17:19:51,0.500,0,1,1.10
2022-04-18 17:19:52,1,0,2,1.14
2022-04-18 17:19:53,0.500,0,1,1.14
2022-04-18 17:19:54,0,0,0,1.07
2022-04-18 17:19:55,0,0,0,1.07
2022-04-18 17:19:56,1,2,0,1.10
2022-04-18 17:19:57,0.500,0,1,1.07
2022-04-18 17:19:58,0.500,1,0,1.07
2022-04-18 17:19:59,0.500,0,1,1.07
2022-04-18 17:20:00,0,0,0,1.03
2022-04-18 17:20:01,0.500,0,1,1
2022-04-18 17:20:02,0,0,0,1
2022-04-18 17:20:03,1.50,1,2,1.10
2022-04-18 17:20:04,0.500,0,1,1.10
2022-04-18 17:20:05,0,0,0,1.03
2022-04-18 17:20:06,0.500,0,1,1
2022-04-18 17:20:07,0.500,1,0,1
2022-04-18 17:20:08,1,0,2,1.03
2022-04-18 17:20:09,1,1,1,1.10
2022-04-18 17:20:10,0,0,0,1.07
2022-04-18 17:20:11,0.500,0,1,1.10
2022-04-18 17:20:12,0,0,0,1
2022-04-18 17:20:13,1,1,1,1.03
2022-04-18 17:20:14,0,0,0,0.931
2022-04-18 17:20:15,0,0,0,0.897
2022-04-18 17:20:16,0.500,0,1,0.931
2022-04-18 17:20:17,0.500,0,1,0.931
2022-04-18 17:20:18,0,0,0,0.897
2022-04-18 17:20:19,0,0,0,0.862
2022-04-18 17:20:20,0,0,0,0.828
2022-04-18 17:20:21,0,0,0,0.759
2022-04-18 17:20:22,0,0,0,0.724
2022-04-18 17:20:23,0,0,0,0.724
2022-04-18 17:20:24,0.500,1,0,0.759
2022-04-18 17:20:25,0.500,0,1,0.724
2022-04-18 17:20:26,0.500,0,1,0.724
2022-04-18 17:20:27,0.997,1.99,0,0.759
2022-04-18 17:20:28,0,0,0,0.724
2022-04-18 17:20:29,1.50,2,1,0.828
2022-04-18 17:20:30,1,1,1,0.862
2022-04-18 17:20:31,0,0,0,0.862
2022-04-18 17:20:32,1,1,1,0.828
2022-04-18 17:20:33,0.500,0,1,0.828
2022-04-18 17:20:34,1,1,1,0.897
2022-04-18 17:20:35,1,2,0,0.931
2022-04-18 17:20:36,0,0,0,0.897
2022-04-18 17:20:37,0,0,0,0.828
2022-04-18 17:20:38,0.997,1.99,0,0.828
2022-04-18 17:20:39,0.502,1.00,0,0.862
2022-04-18 17:20:40,0,0,0,0.828
2022-04-18 17:20:41,0,0,0,0.828
2022-04-18 17:20:42,0.500,1,0,0.793
2022-04-18 17:20:43,1,1,1,0.862
2022-04-18 17:20:44,0.500,0,1,0.897
2022-04-18 17:20:45,0,0,0,0.862
2022-04-18 17:20:46,0.500,0,1,0.862
2022-04-18 17:20:47,0,0,0,0.862
2022-04-18 17:20:48,0.500,0,1,0.897
2022-04-18 17:20:49,0.500,1,0,0.931
2022-04-18 17:20:50,1,0,2,1
2022-04-18 17:20:51,0.500,1,0,1.03
2022-04-18 17:20:52,0.500,0,1,1.07
2022-04-18 17:20:53,1.49,2.98,0,1.14
2022-04-18 17:20:54,0,0,0,1.10
2022-04-18 17:20:55,0,0,0,1.07
2022-04-18 17:20:56,1,0,2,1.07
2022-04-18 17:20:57,0,0,0,1.07
2022-04-18 17:20:58,0.500,1,0,1
2022-04-18 17:20:59,0.500,0,1,0.966
2022-04-18 17:21:00,0.500,1,0,1
2022-04-18 17:21:01,1,0,2,1
2022-04-18 17:21:02,0.500,1,0,1
2022-04-18 17:21:03,1.50,0,3,1.03
2022-04-18 17:21:04,0.500,1,0,1
2022-04-18 17:21:05,0.497,0.993,0,1.03
2022-04-18 17:21:06,0.500,0,1,1.07
2022-04-18 17:21:07,0.500,1,0,1.03
2022-04-18 17:21:08,1,0,2,1.07
2022-04-18 17:21:09,1,0,2,1.14
2022-04-18 17:21:10,0.500,1,0,1.17
2022-04-18 17:21:11,0.500,0,1,1.17
2022-04-18 17:21:12,0,0,0,1.10
2022-04-18 17:21:13,0.500,0,1,1.10
2022-04-18 17:21:14,1.50,2,1,1.21
2022-04-18 17:21:15,0.500,1,0,1.21
2022-04-18 17:21:16,0.495,0.989,0,1.24
2022-04-18 17:21:17,1.51,1.01,2,1.31
2022-04-18 17:21:18,0,0,0,1.28
2022-04-18 17:21:19,0.500,1,0,1.24
2022-04-18 17:21:20,0.500,1,0,1.24
2022-04-18 17:21:21,0,0,0,1.21
2022-04-18 17:21:22,0,0,0,1.10
2022-04-18 17:21:23,0,0,0,1.10
2022-04-18 17:21:24,1.50,3,0,1.21
2022-04-18 17:21:25,1,2,0,1.21
2022-04-18 17:21:26,1,2,0,1.28
2022-04-18 17:21:27,1,0,2,1.31
2022-04-18 17:21:28,1,1,1,1.34
2022-04-18 17:21:29,0,0,0,1.31
2022-04-18 17:21:30,0.500,1,0,1.28
2022-04-18 17:21:31,0.500,0,1,1.28
2022-04-18 17:21:32,1,2,0,1.24
2022-04-18 17:21:33,0,0,0,1.21
2022-04-18 17:21:34,0,0,0,1.17
2022-04-18 17:21:35,1,0,2,1.21
2022-04-18 17:21:36,0,0,0,1.17
2022-04-18 17:21:37,0.500,0,1,1.14
2022-04-18 17:21:38,0,0,0,1.07
2022-04-18 17:21:39,0.500,1,0,1.07
2022-04-18 17:21:40,0,0,0,1.03
2022-04-18 17:21:41,0,0,0,1.03
2022-04-18 17:21:42,0,0,0,1.00
2022-04-18 17:21:43,1,2,0,0.966
2022-04-18 17:21:44,0,0,0,0.931
2022-04-18 17:21:45,0,0,0,0.897
2022-04-18 17:21:46,1,0,2,0.862
2022-04-18 17:21:47,0,0,0,0.862
2022-04-18 17:21:48,1.50,2,1,0.931
2022-04-18 17:21:49,1.50,2,1,1
2022-04-18 17:21:50,0.500,0,1,1.03
2022-04-18 17:21:51,1,0,2,1.10
2022-04-18 17:21:52,2,2,2,1.24
2022-04-18 17:21:53,1,0,2,1.21
2022-04-18 17:21:54,0,0,0,1.14
2022-04-18 17:21:55,0.500,1,0,1.10
2022-04-18 17:21:56,0.500,1,0,1.07
2022-04-18 17:21:57,1,2,0,1.07
2022-04-18 17:21:58,0,0,0,1.07
2022-04-18 17:21:59,0,0,0,1.03
2022-04-18 17:22:00,2,1,3,1.14
2022-04-18 17:22:01,1,0,2,1.14
2022-04-18 17:22:02,0,0,0,1.14
2022-04-18 17:22:03,0.500,0,1,1.17
2022-04-18 17:22:04,0.500,1,0,1.14
2022-04-18 17:22:05,0,0,0,1.14
2022-04-18 17:22:06,0.500,0,1,1.14
2022-04-18 17:22:07,0.500,1,0,1.17
2022-04-18 17:22:08,0.500,1,0,1.17
2022-04-18 17:22:09,0,0,0,1.17
2022-04-18 17:22:10,0.500,1,0,1.21
2022-04-18 17:22:11,0.500,0,1,1.24
2022-04-18 17:22:12,1,1,1,1.24
2022-04-18 17:22:13,1,1,1,1.31
2022-04-18 17:22:14,0,0,0,1.31
2022-04-18 17:22:15,0.500,0,1,1.28
2022-04-18 17:22:16,0,0,0,1.28
2022-04-18 17:22:17,0.500,0,1,1.21
2022-04-18 17:22:18,0,0,0,1.10
2022-04-18 17:22:19,0.500,0,1,1.10
2022-04-18 17:22:20,0,0,0,1.03
2022-04-18 17:22:21,0,0,0,0.897
2022-04-18 17:22:22,0,0,0,0.827
2022-04-18 17:22:23,0.504,1.01,0,0.862
2022-04-18 17:22:24,0,0,0,0.828
2022-04-18 17:22:25,0.500,0,1,0.828
2022-04-18 17:22:26,1,0,2,0.828
2022-04-18 17:22:27,0.993,0.985,1,0.896
2022-04-18 17:22:28,1.50,0,3,1.000
2022-04-18 17:22:29,0,0,0,0.862
2022-04-18 17:22:30,1.50,1.01,2,0.897
2022-04-18 17:22:31,0,0,0,0.897
2022-04-18 17:22:32,0.500,1,0,0.897
2022-04-18 17:22:33,0.500,0,1,0.897
2022-04-18 17:22:34,0.500,1,0,0.931
2022-04-18 17:22:35,1,1,1,0.966
2022-04-18 17:22:36,1.50,2,1,1.03
2022-04-18 17:22:37,1,0,2,1.07
2022-04-18 17:22:38,0,0,0,1.07
2022-04-18 17:22:39,0,0,0,1.03
2022-04-18 17:22:40,1,1,1,1.07
2022-04-18 17:22:41,1.50,1,2,1.10
2022-04-18 17:22:42,0.500,1,0,1.07
2022-04-18 17:22:43,1.50,0,3,1.17
2022-04-18 17:22:44,0.500,0,1,1.17
2022-04-18 17:22:45,0.500,0,1,1.21
2022-04-18 17:22:46,0,0,0,1.17
2022-04-18 17:22:47,0,0,0,1.17
2022-04-18 17:22:48,1,0,2,1.21
2022-04-18 17:22:49,0.500,1,0,1.24
2022-04-18 17:22:50,1,1,1,1.31
2022-04-18 17:22:51,0.500,0,1,1.34
2022-04-18 17:22:52,1,0,2,1.38
2022-04-18 17:22:53,1,0,2,1.45
2022-04-18 17:22:54,0.500,1,0,1.45
2022-04-18 17:22:55,1.50,0,3,1.48
2022-04-18 17:22:56,0,0,0,1.41
2022-04-18 17:22:57,0,0,0,1.31
2022-04-18 17:22:58,0,0,0,1.31
2022-04-18 17:22:59,0.500,1,0,1.24
2022-04-18 17:23:00,1,1,1,1.31
2022-04-18 17:23:01,0.500,0,1,1.31
2022-04-18 17:23:02,0,0,0,1.28
2022-04-18 17:23:03,0,0,0,1.24
2022-04-18 17:23:04,0,0,0,1.17
2022-04-18 17:23:05,0.500,0,1,1.10
2022-04-18 17:23:06,0,0,0,1.03
2022-04-18 17:23:07,1,1,1,1.10
2022-04-18 17:23:08,0,0,0,1.10
2022-04-18 17:23:09,0.500,0,1,1.07
2022-04-18 17:23:10,0,0,0,0.966
2022-04-18 17:23:11,0.500,0,1,0.966
2022-04-18 17:23:12,1,1,1,0.931
2022-04-18 17:23:13,0.500,1,0,0.931
2022-04-18 17:23:14,0.500,0,1,0.931
2022-04-18 17:23:15,0.500,0,1,0.966
2022-04-18 17:23:16,0,0,0,0.966
2022-04-18 17:23:17,0,0,0,0.897
2022-04-18 17:23:18,0,0,0,0.862
2022-04-18 17:23:19,1,1,1,0.862
2022-04-18 17:23:20,0,0,0,0.828
2022-04-18 17:23:21,0.500,1,0,0.793
2022-04-18 17:23:22,1,2,0,0.793
2022-04-18 17:23:23,0.500,0,1,0.793
2022-04-18 17:23:24,0.500,1,0,0.724
2022-04-18 17:23:25,0.500,1,0,0.759
2022-04-18 17:23:26,0,0,0,0.759
2022-04-18 17:23:27,0,0,0,0.759
2022-04-18 17:23:28,0.500,1,0,0.759
2022-04-18 17:23:29,1,0,2,0.759
2022-04-18 17:23:30,0,0,0,0.724
2022-04-18 17:23:31,0.500,0,1,0.759
2022-04-18 17:23:32,0.500,0,1,0.793
2022-04-18 17:23:33,1.50,3,0,0.897
2022-04-18 17:23:34,1,2,0,0.931
2022-04-18 17:23:35,0.500,0,1,0.966
2022-04-18 17:23:36,0,0,0,0.897
2022-04-18 17:23:37,0,0,0,0.897
2022-04-18 17:23:38,0,0,0,0.862
2022-04-18 17:23:39,0,0,0,0.862
2022-04-18 17:23:40,0,0,0,0.828
2022-04-18 17:23:41,0.500,0,1,0.793
2022-04-18 17:23:42,0.500,1,0,0.793
2022-04-18 17:23:43,0.500,1,0,0.793
2022-04-18 17:23:44,1,0,2,0.828
2022-04-18 17:23:45,0.500,1,0,0.862
2022-04-18 17:23:46,0.500,1,0,0.897
2022-04-18 17:23:47,0.500,1,0,0.931
2022-04-18 17:23:48,0.500,1,0,0.897
2022-04-18 17:23:49,1,2,0,0.966
2022-04-18 17:23:50,1.50,2,1,1.03
2022-04-18 17:23:51,1,0,2,1.03
2022-04-18 17:23:52,0.500,0,1,1.03
2022-04-18 17:23:53,1,1,1,1.07
2022-04-18 17:23:54,0,0,0,1.03
2022-04-18 17:23:55,0,0,0,1.03
2022-04-18 17:23:56,0.500,1,0,1.07
2022-04-18 17:23:57,1,1,1,1.10
2022-04-18 17:23:58,0,0,0,1.03
2022-04-18 17:23:59,0,0,0,1.03
2022-04-18 17:24:00,0.500,1,0,1.03
2022-04-18 17:24:01,0,0,0,1
2022-04-18 17:24:02,0,0,0,0.897
2022-04-18 17:24:03,0,0,0,0.828
2022-04-18 17:24:04,0.500,1,0,0.828
2022-04-18 17:24:05,0,0,0,0.828
2022-04-18 17:24:06,0,0,0,0.828
2022-04-18 17:24:07,0.500,1,0,0.862
2022-04-18 17:24:08,0.500,0,1,0.897
2022-04-18 17:24:09,1.50,2,1,1
2022-04-18 17:24:10,1,0,2,1.03
2022-04-18 17:24:11,1,1,1,1.07
2022-04-18 17:24:12,0,0,0,1.03
2022-04-18 17:24:13,0,0,0,0.966
2022-04-18 17:24:14,0.500,1,0,0.966
2022-04-18 17:24:15,0.500,1,0,0.966
2022-04-18 17:24:16,1.50,2,1,1.03
2022-04-18 17:24:17,0,0,0,1
2022-04-18 17:24:18,0,0,0,0.931
2022-04-18 17:24:19,0.500,1,0,0.862
2022-04-18 17:24:20,1.50,3,0,0.897
2022-04-18 17:24:21,0.495,0.989,0,0.896
2022-04-18 17:24:22,0,0,0,0.828
2022-04-18 17:24:23,0,0,0,0.828
2022-04-18 17:24:24,0,0,0,0.828
2022-04-18 17:24:25,0.500,0,1,0.828
2022-04-18 17:24:26,0.500,0,1,0.793
2022-04-18 17:24:27,0.500,0,1,0.828
2022-04-18 17:24:28,0,0,0,0.828
2022-04-18 17:24:29,0,0,0,0.793
2022-04-18 17:24:30,0.508,1.02,0,0.828
2022-04-18 17:24:31,0.500,0,1,0.862
2022-04-18 17:24:32,0.500,0,1,0.897
2022-04-18 17:24:33,1,2,0,0.931
2022-04-18 17:24:34,0.500,0,1,0.966
2022-04-18 17:24:35,0,0,0,0.966
2022-04-18 17:24:36,1.50,1,2,1.03
2022-04-18 17:24:37,0,0,0,1
2022-04-18 17:24:38,0.500,1,0,0.931
2022-04-18 17:24:39,0.500,0,1,0.897
2022-04-18 17:24:40,1.50,2,1,0.931
2022-04-18 17:24:41,1,0,2,1
2022-04-18 17:24:42,1,1,1,1.07
2022-04-18 17:24:43,0,0,0,1.03
2022-04-18 17:24:44,1,1,1,1.07
2022-04-18 17:24:45,0,0,0,0.966
