"Time","Average Request Rate","edge-server-cv-74d975f7cd-pvhxn Requests/2s","edge-server-cv-74d975f7cd-v2ct9 Requests/2s","edge-server-cv-74d975f7cd-v8hnl Requests/2s","avg_requests/30"
2022-04-19 16:37:16,1,1,2,0,4.10
2022-04-19 16:37:18,2,1,3,2,4
2022-04-19 16:37:20,0.667,1,0,1,3.90
2022-04-19 16:37:22,2.00,2.01,1,3,3.76
2022-04-19 16:37:24,0.667,1,1,0,3.79
2022-04-19 16:37:26,0.333,0,0,1,3.55
2022-04-19 16:37:28,2.33,4,2,1,3.79
2022-04-19 16:37:30,1.67,1,2,2,3.72
2022-04-19 16:37:32,1,0,2,1,3.76
2022-04-19 16:37:34,0.333,0,1,0,3.59
2022-04-19 16:37:36,1.67,0,2,3,3.52
2022-04-19 16:37:38,1.67,2,2,1,3.59
2022-04-19 16:37:40,2,2,4,0,3.66
2022-04-19 16:37:42,1.67,2,1,2,3.72
2022-04-19 16:37:44,1.67,2,1,2,3.79
2022-04-19 16:37:46,2.33,2,2,3,3.90
2022-04-19 16:37:48,0.333,0,0,1,3.66
2022-04-19 16:37:50,2,2,1,3,3.86
2022-04-19 16:37:52,1,0,0,3,3.83
2022-04-19 16:37:54,1.33,1,1,2,3.97
2022-04-19 16:37:56,1.33,2,2,0,4.03
2022-04-19 16:37:58,0.667,0,0,2,3.97
2022-04-19 16:38:00,1.67,2,1,2,3.90
2022-04-19 16:38:02,1,0,1,2,3.90
2022-04-19 16:38:04,0.667,1,1,0,3.90
2022-04-19 16:38:06,0.667,0,1,1,3.76
2022-04-19 16:38:08,1,0,,2,3.72
2022-04-19 16:38:10,2.33,1,6,0,3.69
2022-04-19 16:38:12,1.33,0,2,2,3.55
2022-04-19 16:38:14,0.333,0,0,1,3.45
2022-04-19 16:38:16,1.33,2,1,1,3.45
2022-04-19 16:38:18,0.667,2,0,0,3.59
2022-04-19 16:38:20,1,2,0,1,3.48
2022-04-19 16:38:22,1.67,1,3,1,3.62
2022-04-19 16:38:24,0.333,1,0,0,3.55
2022-04-19 16:38:26,0.333,0,0,1,3.34
2022-04-19 16:38:28,1.67,2,0,3,3.45
2022-04-19 16:38:30,2.33,4,2,1,3.55
2022-04-19 16:38:32,0.333,1,0,0,3.62
2022-04-19 16:38:34,1.33,1,3,0,3.76
2022-04-19 16:38:36,1.33,1,1,2,3.74
2022-04-19 16:38:38,2.33,0,2,5,3.90
2022-04-19 16:38:40,1,1,2,0,3.76
2022-04-19 16:38:42,3,4,4,1,3.97
2022-04-19 16:38:44,1.67,1,2,2,4.14
2022-04-19 16:38:46,0.667,1,0,1,4.10
2022-04-19 16:38:48,0.667,2,0,0,4
2022-04-19 16:38:50,1.67,0,2,3,3.93
2022-04-19 16:38:52,1.33,2,2,0,3.86
2022-04-19 16:38:54,0.333,0,0,1,3.79
2022-04-19 16:38:56,1,0,2,1,3.86
2022-04-19 16:38:58,2.33,3,3,1,3.93
2022-04-19 16:39:00,1.33,2,2,0,3.86
2022-04-19 16:39:02,1,1,0,2,3.97
2022-04-19 16:39:04,2,2,4,0,4
2022-04-19 16:39:06,1,1,0,2,3.93
2022-04-19 16:39:08,1.67,0,3,2,3.90
2022-04-19 16:39:10,1.50,,1,2,3.94
2022-04-19 16:39:12,0.500,,0,1,3.69
2022-04-19 16:39:14,1.67,4,1,0,3.62
2022-04-19 16:39:16,0.333,0,0,1,3.66
2022-04-19 16:39:18,0.333,0,0,1,3.76
2022-04-19 16:39:20,1,1,2,0,3.59
2022-04-19 16:39:22,1.67,1,1,3,3.76
2022-04-19 16:39:24,0.333,0,0,1,3.86
2022-04-19 16:39:26,1.33,1,1,2,3.93
2022-04-19 16:39:28,0.666,0,1,0.998,3.62
2022-04-19 16:39:30,0.333,0,0,1,3.41
2022-04-19 16:39:32,1,0,0,3,3.52
2022-04-19 16:39:34,1.50,2,,1,3.44
2022-04-19 16:39:36,1.67,1,3.01,1,3.52
2022-04-19 16:39:38,1,0,3,0,3.45
2022-04-19 16:39:40,0.667,1,0,1,3.24
2022-04-19 16:39:42,0.667,0,0,2,3.21
2022-04-19 16:39:44,2.00,3.01,2,1,3.17
2022-04-19 16:39:46,1,0,1,2,3.24
2022-04-19 16:39:48,2,2,1,3,3.48
2022-04-19 16:39:50,1.33,1,0,3,3.48
2022-04-19 16:39:52,1.33,2,0,1.99,3.31
2022-04-19 16:39:54,0.667,0,0,2,3.21
2022-04-19 16:39:56,1,1,0,2,3.07
2022-04-19 16:39:58,0.667,0,2,0,3.07
2022-04-19 16:40:00,1.33,0,2,2,3.14
2022-04-19 16:40:02,0.667,1,0,1,3.00
2022-04-19 16:40:04,0,0,0,0,2.90
2022-04-19 16:40:06,1.50,,3,0,2.83
2022-04-19 16:40:08,1.67,4,0,1,3.00
2022-04-19 16:40:10,2.33,4,1,2,3.34
2022-04-19 16:40:12,2,2,4,0,3.62
2022-04-19 16:40:14,2.67,1,4,3,3.72
2022-04-19 16:40:16,2,3,1,2,3.90
2022-04-19 16:40:18,1.33,1,2,1,3.79
2022-04-19 16:40:20,1,1,1,1,3.97
2022-04-19 16:40:22,2,1,3,2,4.17
2022-04-19 16:40:24,1.33,1,1,2,4.28
2022-04-19 16:40:26,0.333,0,1,0,4.38
2022-04-19 16:40:28,1,0,1,2,4.48
2022-04-19 16:40:30,0.667,1,0,1,4.45
2022-04-19 16:40:32,1,1,2,0,4.48
2022-04-19 16:40:34,0.667,1,1,0,4.45
2022-04-19 16:40:36,0.667,0,1,1,4.21
2022-04-19 16:40:38,1,2,,0,3.99
2022-04-19 16:40:40,2.00,2,2.01,2,3.93
2022-04-19 16:40:42,0.667,0,1,1,3.72
2022-04-19 16:40:44,1.67,3,1,1,3.52
2022-04-19 16:40:46,1,0,0,3,3.34
2022-04-19 16:40:48,0.667,1,1,0,3.07
2022-04-19 16:40:50,2,1,2,3,3.10
2022-04-19 16:40:52,1.33,3,0,1,3.03
2022-04-19 16:40:54,1.33,1,1,1.98,3.03
2022-04-19 16:40:56,1.67,2,2,1,3.21
2022-04-19 16:40:58,1.66,2,1.98,1,3.38
2022-04-19 16:41:00,1,0,3,0,3.41
2022-04-19 16:41:02,1.67,1,2,2,3.59
2022-04-19 16:41:04,1.33,2,1,1,3.86
2022-04-19 16:41:06,1.33,2,1,1,3.90
2022-04-19 16:41:08,1.33,1,3,0,3.97
2022-04-19 16:41:10,0.331,0,0,0.994,3.83
2022-04-19 16:41:12,0.667,1,0,1,3.83
2022-04-19 16:41:14,3.00,2,4,2.99,4.03
2022-04-19 16:41:16,1,1,1,1,4.14
2022-04-19 16:41:18,0.667,2,0,0,4.10
2022-04-19 16:41:20,1,1,2,0,4.10
2022-04-19 16:41:22,1,1,2,0,3.93
2022-04-19 16:41:24,2.33,1,3,3,3.90
2022-04-19 16:41:26,1.33,1,1,2,3.79
2022-04-19 16:41:28,1.33,1,1,2,3.72
2022-04-19 16:41:30,1,1,1,1,3.66
2022-04-19 16:41:32,0.333,0,1,0,3.34
2022-04-19 16:41:34,1,1,1,1,3.45
2022-04-19 16:41:36,1,2,0,1,3.31
2022-04-19 16:41:38,0,0,0,0,3.17
2022-04-19 16:41:40,1.33,0,0,4,3.34
2022-04-19 16:41:42,2,1,,3,3.40
2022-04-19 16:41:44,2,2,2,2,3.34
2022-04-19 16:41:46,2,0,1,5,3.52
2022-04-19 16:41:48,0.667,2,0,0,3.52
2022-04-19 16:41:50,0.333,0,1,0,3.59
2022-04-19 16:41:52,1.67,2,2,1,3.66
2022-04-19 16:41:54,0.333,0,1,0,3.38
2022-04-19 16:41:56,2,3,3,0,3.48
2022-04-19 16:41:58,1.67,0,4,1,3.52
2022-04-19 16:42:00,1.33,1,2,1,3.55
2022-04-19 16:42:02,0.667,1,0,1,3.41
2022-04-19 16:42:04,0.667,1,0,1,3.52
2022-04-19 16:42:06,2.33,4,2,1,3.55
2022-04-19 16:42:08,0.333,0,1,0,3.52
2022-04-19 16:42:10,0.667,1,1,0,3.48
2022-04-19 16:42:12,1.67,2,3,0,3.52
2022-04-19 16:42:14,1,1,2,0,3.38
2022-04-19 16:42:16,2.33,2,3,2,3.34
2022-04-19 16:42:18,1,1,2,0,3.34
2022-04-19 16:42:20,0.333,0,1,0,3.41
2022-04-19 16:42:22,1.33,2,2,0,3.52
2022-04-19 16:42:24,1,1,0,2,3.55
2022-04-19 16:42:26,0.667,0,1,1,3.41
2022-04-19 16:42:28,1,2,1,0,3.31
2022-04-19 16:42:30,1,3,0,0,3.28
2022-04-19 16:42:32,1.50,,2,1,3.25
2022-04-19 16:42:34,2.67,4.02,3,1,3.52
2022-04-19 16:42:36,1,2,0,1,3.52
2022-04-19 16:42:38,2,1,2,3,3.66
2022-04-19 16:42:40,0.333,1,0,0,3.62
2022-04-19 16:42:42,2.33,4,2,1,3.76
2022-04-19 16:42:44,1.67,1,4,0,3.86
2022-04-19 16:42:46,0.667,1,0,1,3.55
2022-04-19 16:42:48,2.67,3,1,4,3.62
2022-04-19 16:42:50,1.67,2,0,3,3.69
2022-04-19 16:42:52,1,1,1,,3.59
2022-04-19 16:42:54,0.333,0,0,1,3.59
2022-04-19 16:42:56,2,1,0,5,3.79
2022-04-19 16:42:58,1.33,1,3,0,4
2022-04-19 16:43:00,1,1,0,2,3.93
2022-04-19 16:43:02,1.33,1,1,2,3.90
2022-04-19 16:43:04,1,1,1,1,3.72
2022-04-19 16:43:06,1,0,3,0,3.83
2022-04-19 16:43:08,0.333,0,0,1,3.55
2022-04-19 16:43:10,1.33,0,2,2,3.52
2022-04-19 16:43:12,1.67,3,1,1,3.41
2022-04-19 16:43:14,0.667,0,0,2,3.34
2022-04-19 16:43:16,2,2,3,1,3.48
2022-04-19 16:43:18,3.33,3,4,3,3.52
2022-04-19 16:43:20,0.333,0,1,0,3.38
2022-04-19 16:43:22,1,3,0,0,3.34
2022-04-19 16:43:24,1.33,2,2,0,3.45
2022-04-19 16:43:26,2.33,1,3,3,3.34
2022-04-19 16:43:28,2,1,3,2,3.45
2022-04-19 16:43:30,2,0,1,5,3.66
2022-04-19 16:43:32,0.667,0,0,2,3.41
2022-04-19 16:43:34,1.33,1,2,1,3.31
2022-04-19 16:43:36,2,2,3,1,3.41
2022-04-19 16:43:38,1.67,2,2,1,3.62
2022-04-19 16:43:40,0.667,1,1,0,3.62
2022-04-19 16:43:42,1.67,1,3,1,3.69
2022-04-19 16:43:44,1,1,2,0,3.72
2022-04-19 16:43:46,1.67,0,3,2,3.79
2022-04-19 16:43:48,2.00,2,1,3.01,3.76
2022-04-19 16:43:50,1,2,0,1,3.83
2022-04-19 16:43:52,2.33,2,3,2,4
2022-04-19 16:43:54,0.667,1,0,1,3.93
2022-04-19 16:43:56,1.67,2,0,3,3.90
2022-04-19 16:43:58,0.667,0,0,2,3.83
2022-04-19 16:44:00,1.33,1,2,1,3.90
2022-04-19 16:44:02,2,3,2,1,4.24
2022-04-19 16:44:04,1.67,2,2,1,4.28
2022-04-19 16:44:06,0.333,1,0,0,4.21
2022-04-19 16:44:08,1.33,1,3,0,4.28
2022-04-19 16:44:10,1.67,2,2,1,4.31
2022-04-19 16:44:12,2,2,2,2,4.48
2022-04-19 16:44:14,0.668,1,0,1.00,4.38
2022-04-19 16:44:16,0.667,2,0,0,4.31
2022-04-19 16:44:18,2.67,3,4,1,4.41
2022-04-19 16:44:20,1.66,1.99,0,3,4.59
2022-04-19 16:44:22,2.33,3,1,3,4.59
2022-04-19 16:44:24,1,2,1,0,4.79
2022-04-19 16:44:26,1.67,2,2,1,4.72
2022-04-19 16:44:28,0.333,0,0,1,4.59
2022-04-19 16:44:30,1,1,1,1,4.31
2022-04-19 16:44:32,1.33,1,1,2,4.21
2022-04-19 16:44:34,1.33,2,0,2,4
2022-04-19 16:44:36,1.33,0,0,4,3.97
2022-04-19 16:44:38,0.667,1,1,0,3.90
2022-04-19 16:44:40,1.33,0,2,2,3.72
2022-04-19 16:44:42,1.33,2,1,1,3.59
2022-04-19 16:44:44,1,0,1,2,3.55
2022-04-19 16:44:46,0.667,1,1,0,3.55
2022-04-19 16:44:48,1.67,2,3,0,3.34
2022-04-19 16:44:50,0,0,0,0,3.45
2022-04-19 16:44:52,1,0,3,0,3.21
2022-04-19 16:44:54,1.67,1,0,4,3.28
2022-04-19 16:44:56,3,3,3,,3.31
2022-04-19 16:44:58,0.334,0,0,1.00,3.45
2022-04-19 16:45:00,1,1,2,0,3.45
2022-04-19 16:45:02,0.667,2,0,0,3.45
2022-04-19 16:45:04,1.33,2,2,0,3.48
2022-04-19 16:45:06,1.33,3,1,0,3.48
2022-04-19 16:45:08,2,2,1,3,3.79
2022-04-19 16:45:10,1,1,1,1,3.79
2022-04-19 16:45:12,2.34,2,3.01,2,3.93
2022-04-19 16:45:14,0.667,0,1,1,3.83
2022-04-19 16:45:16,1.33,2,2,0,3.83
2022-04-19 16:45:18,1.33,2,1,1,3.55
2022-04-19 16:45:20,0.333,0,1,0,3.59
2022-04-19 16:45:22,1.33,1,2,1,3.59
2022-04-19 16:45:24,1,1,1,1,3.62
2022-04-19 16:45:26,1.67,4,0,1,3.59
2022-04-19 16:45:28,1.67,2,1,2,3.83
2022-04-19 16:45:30,1,0,1,2,3.83
2022-04-19 16:45:32,1,0,1,2,3.86
2022-04-19 16:45:34,0.667,1,1,0,3.83
2022-04-19 16:45:36,1.33,1,1,2,3.69
2022-04-19 16:45:38,1,0,1,2,3.66
2022-04-19 16:45:40,1.50,3,0,,3.66
2022-04-19 16:45:42,0.996,0.992,1,,3.76
2022-04-19 16:45:44,1.67,1,2,2,3.97
2022-04-19 16:45:46,0.500,,0,1,3.83
2022-04-19 16:45:48,1,1,2,0,3.83
2022-04-19 16:45:50,2.00,2,1,2.99,4.00
2022-04-19 16:45:52,2.00,1,2,2.99,4.03
2022-04-19 16:45:54,2.67,1,4,3,4.17
2022-04-19 16:45:56,1.67,2,1,2,4.14
2022-04-19 16:45:58,1,1,1,1,4.07
2022-04-19 16:46:00,1.67,2,2,1,4.07
2022-04-19 16:46:02,1.33,1,2,1,4.17
2022-04-19 16:46:04,2,4,2,0,4.41
2022-04-19 16:46:06,1,2,1,0,4.31
2022-04-19 16:46:08,1,1,1,1,4.21
2022-04-19 16:46:10,1.67,1,3,1,4.11
2022-04-19 16:46:12,1.67,3,1,1,4.17
2022-04-19 16:46:14,1,0,0,3,4.21
2022-04-19 16:46:16,1,0,3,0,4.10
2022-04-19 16:46:18,2,0,4,2,4.17
2022-04-19 16:46:20,1.67,3,1,1,4.24
2022-04-19 16:46:22,1.33,1,3,0,4
2022-04-19 16:46:24,0.333,0,0,1,3.83
2022-04-19 16:46:26,0.999,1,1,0.997,3.76
2022-04-19 16:46:28,1.33,3,0,1,3.90
2022-04-19 16:46:30,1,2,0,1,3.76
2022-04-19 16:46:32,1.33,1,0,3,3.72
2022-04-19 16:46:34,1.33,2,2,0,3.79
2022-04-19 16:46:36,1.33,3,0,1,3.90
2022-04-19 16:46:38,1.33,1,2,1,3.86
2022-04-19 16:46:40,0.333,1,0,0,3.69
2022-04-19 16:46:42,1.67,0,1,4,3.66
2022-04-19 16:46:44,1.33,2,0,2,3.79
2022-04-19 16:46:46,1.33,1,3,0,3.90
2022-04-19 16:46:48,2,3,,1,3.72
2022-04-19 16:46:50,2.00,3,1.00,2,4.03
2022-04-19 16:46:52,2.33,4,1,2,4.10
2022-04-19 16:46:54,0.667,1,1,0,4.34
2022-04-19 16:46:56,2.33,1,4,1.99,4.45
2022-04-19 16:46:58,2,2,2,2,4.48
2022-04-19 16:47:00,2.33,3,2,2,4.52
2022-04-19 16:47:02,1.33,2,2,0,4.55
2022-04-19 16:47:04,0.333,1,0,0,4.52
2022-04-19 16:47:06,0.500,,0,1,4.38
2022-04-19 16:47:08,1,3,0,0,4.52
2022-04-19 16:47:10,1.33,2,1,1,4.62
2022-04-19 16:47:12,1.33,3,0,1,4.52
2022-04-19 16:47:14,0.667,0,2,0,4.48
2022-04-19 16:47:16,1,1,0,2,4.29
2022-04-19 16:47:18,0.333,1,0,0,4.07
2022-04-19 16:47:20,0.333,0,0,1,3.83
2022-04-19 16:47:22,0.667,1,0,1,3.52
2022-04-19 16:47:24,1.33,0,0,4,3.52
2022-04-19 16:47:26,2,3,2,1,3.52
2022-04-19 16:47:28,0.667,0,0,2,3.52
2022-04-19 16:47:30,0.667,0,1,1,3.31
2022-04-19 16:47:32,1.67,1,3,1,3.34
2022-04-19 16:47:34,2.67,0,4,4,3.58
2022-04-19 16:47:36,1.33,2,1,1,3.62
2022-04-19 16:47:38,1.67,1,3,1,3.69
2022-04-19 16:47:40,0.667,1,0,1,3.59
2022-04-19 16:47:42,2.67,2,1,5,3.66
2022-04-19 16:47:44,0.333,1,0,0,3.55
2022-04-19 16:47:46,1,1,0,2,3.66
2022-04-19 16:47:48,1.67,4,0,1,4.00
2022-04-19 16:47:50,2,3,3,0,4.10
2022-04-19 16:47:52,1,0,0,3,4.10
2022-04-19 16:47:54,0,0,0,0,3.86
2022-04-19 16:47:56,0,,0,0,3.49
2022-04-19 16:47:58,0,,0,0,3.28
2022-04-19 16:48:00,1.67,2.01,1,2,3.72
2022-04-19 16:48:02,2.33,4,2,1,3.76
2022-04-19 16:48:04,0.333,1,0,0,3.55
2022-04-19 16:48:06,2,2,0,4,3.59
2022-04-19 16:48:08,0.333,1,0,0,3.48
2022-04-19 16:48:10,1.34,0,2,2.02,3.48
2022-04-19 16:48:12,0.333,1,0,0,3.28
2022-04-19 16:48:14,0.998,0,1,1.99,3.41
2022-04-19 16:48:16,0.330,0.990,0,0,3.17
2022-04-19 16:48:18,1,2,1,0,3.14
2022-04-19 16:48:20,1,1,2,0,3.17
2022-04-19 16:48:22,1,0,2,1,3.28
2022-04-19 16:48:24,3,3,2,4,3.72
2022-04-19 16:48:26,3,2,3,4,3.69
2022-04-19 16:48:28,2,4,2,0,4.00
2022-04-19 16:48:30,0.667,0,2,0,4.07
2022-04-19 16:48:32,1,2,1,0,3.76
2022-04-19 16:48:34,1,1,1,1,3.79
2022-04-19 16:48:36,0.333,0,1,0,3.69
2022-04-19 16:48:38,1.67,3,0,2,3.83
2022-04-19 16:48:40,0.333,0,0,1,3.76
2022-04-19 16:48:42,3,4,4,1,4
2022-04-19 16:48:44,1,2,1,0,4.14
2022-04-19 16:48:46,2,0,3,3,4.24
2022-04-19 16:48:48,2,0,4,2,4.38
2022-04-19 16:48:50,2,1,3,2,4.48
2022-04-19 16:48:52,1.33,1,1,2,4.52
2022-04-19 16:48:54,2.33,3,3,1,4.45
2022-04-19 16:48:56,0.667,1,1,0,4.28
2022-04-19 16:48:58,1,1,1,1,4.17
2022-04-19 16:49:00,1,2,1,0,4.34
2022-04-19 16:49:02,1.67,3,2,0,4.45
2022-04-19 16:49:04,0,0,0,0,4.28
2022-04-19 16:49:06,1.33,2,1,1,4.41
2022-04-19 16:49:08,1,1,1,1,4.38
2022-04-19 16:49:10,0.667,2,0,0,4.38
2022-04-19 16:49:12,1,0,1,2,4.10
2022-04-19 16:49:14,1.67,2,2,1,4.24
2022-04-19 16:49:16,2,2,1,3,4.14
2022-04-19 16:49:18,1.67,0,2,3,4.10
2022-04-19 16:49:20,2.67,2,2,4,4.10
2022-04-19 16:49:22,1.33,2,1,1,3.97
2022-04-19 16:49:24,2,2,2,2,3.76
2022-04-19 16:49:26,0.333,1,0,0,3.62
2022-04-19 16:49:28,0.667,1,1,0,3.52
2022-04-19 16:49:30,1.67,3,1,1,3.52
2022-04-19 16:49:32,0,0,0,0,3.34
2022-04-19 16:49:34,2,1,2,3,3.62
2022-04-19 16:49:36,1.67,1,3,1,3.72
2022-04-19 16:49:38,1.67,1,2,2,3.79
2022-04-19 16:49:40,1.33,2,2,0,3.79
2022-04-19 16:49:42,1.67,2,1,2,3.79
2022-04-19 16:49:44,2,3,1,2,3.83
2022-04-19 16:49:46,1.67,2,1,2.01,3.72
2022-04-19 16:49:48,2.33,1,2,4,3.79
2022-04-19 16:49:50,1.67,3,0,2,3.72
2022-04-19 16:49:52,1.67,1,1,3,3.83
2022-04-19 16:49:54,1.67,3,1,1,3.93
2022-04-19 16:49:56,1.33,1,1,2,4.14
2022-04-19 16:49:58,0.333,0,0,1,4.14
2022-04-19 16:50:00,1.33,0,0,4,4.17
2022-04-19 16:50:02,2.33,3,1,3,4.31
2022-04-19 16:50:04,2.34,2,3,2.01,4.28
2022-04-19 16:50:06,1.33,2,0,2,4.28
2022-04-19 16:50:08,0.333,0,0,1,4.21
2022-04-19 16:50:10,1.67,2,1,2,4.34
2022-04-19 16:50:12,1.33,1,1,2,4.24
2022-04-19 16:50:14,1.67,1,2,2,4.21
2022-04-19 16:50:16,1.50,1,2,,4.28
2022-04-19 16:50:18,0.667,0,0,2,4.07
2022-04-19 16:50:20,1.33,1,2,1,4.07
2022-04-19 16:50:22,1,1,1,1,3.97
2022-04-19 16:50:24,1,0,0,3,3.83
2022-04-19 16:50:26,2,1,1,4,3.97
2022-04-19 16:50:28,2,2,0,4,4.10
2022-04-19 16:50:30,1.33,3,1,0,4.10
2022-04-19 16:50:32,0.667,2,0,0,3.90
2022-04-19 16:50:34,1,1,1,1,3.66
2022-04-19 16:50:36,2.33,3,3,1,3.69
2022-04-19 16:50:38,1,0,1,2,3.69
2022-04-19 16:50:40,1.33,0,1,3,3.83
2022-04-19 16:50:42,2.33,1,4,2,4.03
2022-04-19 16:50:44,1.67,1,3,1,3.83
2022-04-19 16:50:46,0.667,2,0,0,3.86
2022-04-19 16:50:48,1.33,2,2,0,3.76
2022-04-19 16:50:50,1,0,2,1,3.59
2022-04-19 16:50:52,1,0,2,1,3.55
2022-04-19 16:50:54,2,3,1,2,3.59
2022-04-19 16:50:56,0.667,1,1,0,3.55
2022-04-19 16:50:58,1,3,0,0,3.52
2022-04-19 16:51:00,1.33,2,2,0,3.55
2022-04-19 16:51:02,0.332,0.996,0,0,3.52
2022-04-19 16:51:04,1,0,1,2,3.48
2022-04-19 16:51:06,2,3,1,2,3.45
2022-04-19 16:51:08,1.67,4,1,0,3.45
2022-04-19 16:51:10,1,1,2,0,3.48
2022-04-19 16:51:12,1.33,3,1,0,3.52
2022-04-19 16:51:14,2.67,2,2,4,3.62
2022-04-19 16:51:16,0.333,0,0,1,3.66
2022-04-19 16:51:18,0.667,0,0,2,3.62
2022-04-19 16:51:20,0.667,1,0,1,3.76
2022-04-19 16:51:22,2.33,2,2,3,4
2022-04-19 16:51:24,2,2,3,1,3.86
2022-04-19 16:51:26,1.67,4,1,0,3.97
2022-04-19 16:51:28,1.50,,2,1,3.94
2022-04-19 16:51:30,1.50,,2,1,3.97
2022-04-19 16:51:32,0.500,,0,1,4.28
2022-04-19 16:51:34,2,3,1,2,4.52
2022-04-19 16:51:36,1.33,1,1,2,4.55
2022-04-19 16:51:38,1.67,4,1,0,4.45
2022-04-19 16:51:40,1.33,3,0,1,4.48
2022-04-19 16:51:42,0.333,1,0,0,4.45
2022-04-19 16:51:44,1.67,1,3,1,4.38
2022-04-19 16:51:46,0.667,0,2,0,4.45
2022-04-19 16:51:48,2,3,2,1,4.52
2022-04-19 16:51:50,1,1,1,1,4.41
2022-04-19 16:51:52,1,1,0,2,4.34
2022-04-19 16:51:54,1,2,0,1,4.17
2022-04-19 16:51:56,0.667,1,1,0,4.07
2022-04-19 16:51:58,0.667,1,1,0,3.83
2022-04-19 16:52:00,1.50,0,,3,3.68
2022-04-19 16:52:02,1.67,1,2,2,3.76
2022-04-19 16:52:04,2,4,1,1,3.66
2022-04-19 16:52:06,0.334,0,0,1.00,3.62
2022-04-19 16:52:08,0.333,0,0,1,3.41
2022-04-19 16:52:10,0.333,0,1,0,3.34
2022-04-19 16:52:12,1,1,0,2,3.62
2022-04-19 16:52:14,0.667,1,0,1,3.48
2022-04-19 16:52:16,0.667,2,0,0,3.48
2022-04-19 16:52:18,1.67,2,2,1,3.48
2022-04-19 16:52:20,2.33,2,3,2,3.62
2022-04-19 16:52:22,1.67,0,5,0,3.69
2022-04-19 16:52:24,1,1,1,1,3.79
2022-04-19 16:52:26,1,1,2,0,3.83
2022-04-19 16:52:28,1.67,2,1,2,3.93
2022-04-19 16:52:30,1,0,2,1,3.97
2022-04-19 16:52:32,1.33,0,1,3,3.93
2022-04-19 16:52:34,0.667,1,1,0,3.69
2022-04-19 16:52:36,2,2,2,2,3.93
2022-04-19 16:52:38,0.500,1,0,,3.93
2022-04-19 16:52:40,2.67,3,2,3,4.03
2022-04-19 16:52:42,0.333,0,0,1,4.00
2022-04-19 16:52:44,0.667,0,1,1,3.90
2022-04-19 16:52:46,2.33,3,2,2,4.10
2022-04-19 16:52:48,1,1,2,0,4.03
2022-04-19 16:52:50,1.67,2,2,1,4
2022-04-19 16:52:52,1.67,3,2,0,3.93
2022-04-19 16:52:54,0.333,1,0,0,3.90
2022-04-19 16:52:56,1.33,2,1,1,4.14
