"Time","Average Response Rate","edge-server-cv-78d887c496-jfgxb Response","edge-server-cv-78d887c496-qwz6r Response"
2022-04-19 13:32:16,247 ms,244 ms,250 ms
2022-04-19 13:32:18,254 ms,248 ms,260 ms
2022-04-19 13:32:20,259 ms,278 ms,240 ms
2022-04-19 13:32:22,262 ms,279 ms,245 ms
2022-04-19 13:32:24,266 ms,279 ms,254 ms
2022-04-19 13:32:26,265 ms,277 ms,253 ms
2022-04-19 13:32:28,260 ms,278 ms,242 ms
2022-04-19 13:32:30,248 ms,259 ms,237 ms
2022-04-19 13:32:32,250 ms,260 ms,239 ms
2022-04-19 13:32:34,263 ms,277 ms,249 ms
2022-04-19 13:32:36,264 ms,274 ms,254 ms
2022-04-19 13:32:38,260 ms,265 ms,256 ms
2022-04-19 13:32:40,259 ms,258 ms,261 ms
2022-04-19 13:32:42,246 ms,241 ms,250 ms
2022-04-19 13:32:44,248 ms,242 ms,253 ms
2022-04-19 13:32:46,244 ms,236 ms,252 ms
2022-04-19 13:32:48,246 ms,240 ms,253 ms
2022-04-19 13:32:50,244 ms,235 ms,252 ms
2022-04-19 13:32:52,270 ms,289 ms,251 ms
2022-04-19 13:32:54,277 ms,307 ms,247 ms
2022-04-19 13:32:56,282 ms,306 ms,258 ms
2022-04-19 13:32:58,276 ms,294 ms,258 ms
2022-04-19 13:33:00,265 ms,295 ms,236 ms
2022-04-19 13:33:02,258 ms,262 ms,254 ms
2022-04-19 13:33:04,308 ms,265 ms,352 ms
2022-04-19 13:33:06,316 ms,270 ms,362 ms
2022-04-19 13:33:08,326 ms,290 ms,362 ms
2022-04-19 13:33:10,335 ms,283 ms,387 ms
2022-04-19 13:33:12,328 ms,283 ms,373 ms
2022-04-19 13:33:14,277 ms,282 ms,271 ms
2022-04-19 13:33:16,241 ms,255 ms,226 ms
2022-04-19 13:33:18,259 ms,276 ms,242 ms
2022-04-19 13:33:20,276 ms,303 ms,249 ms
2022-04-19 13:33:22,282 ms,305 ms,258 ms
2022-04-19 13:33:24,284 ms,319 ms,250 ms
2022-04-19 13:33:26,280 ms,311 ms,249 ms
2022-04-19 13:33:28,251 ms,253 ms,249 ms
2022-04-19 13:33:30,264 ms,246 ms,282 ms
2022-04-19 13:33:32,269 ms,249 ms,288 ms
2022-04-19 13:33:34,339 ms,362 ms,315 ms
2022-04-19 13:33:36,338 ms,376 ms,300 ms
2022-04-19 13:33:38,326 ms,355 ms,297 ms
2022-04-19 13:33:40,316 ms,357 ms,275 ms
2022-04-19 13:33:42,298 ms,312 ms,283 ms
2022-04-19 13:33:44,271 ms,254 ms,288 ms
2022-04-19 13:33:46,271 ms,254 ms,288 ms
2022-04-19 13:33:48,270 ms,255 ms,284 ms
2022-04-19 13:33:50,290 ms,257 ms,323 ms
2022-04-19 13:33:52,283 ms,255 ms,310 ms
2022-04-19 13:33:54,278 ms,251 ms,305 ms
2022-04-19 13:33:56,276 ms,247 ms,305 ms
2022-04-19 13:33:58,266 ms,242 ms,291 ms
2022-04-19 13:34:00,250 ms,237 ms,262 ms
2022-04-19 13:34:02,255 ms,243 ms,267 ms
2022-04-19 13:34:04,252 ms,238 ms,265 ms
2022-04-19 13:34:06,247 ms,236 ms,257 ms
2022-04-19 13:34:08,273 ms,240 ms,307 ms
2022-04-19 13:34:10,289 ms,246 ms,332 ms
2022-04-19 13:34:12,288 ms,237 ms,338 ms
2022-04-19 13:34:14,289 ms,247 ms,332 ms
2022-04-19 13:34:16,299 ms,276 ms,322 ms
2022-04-19 13:34:18,269 ms,282 ms,257 ms
2022-04-19 13:34:20,267 ms,280 ms,254 ms
2022-04-19 13:34:22,271 ms,283 ms,258 ms
2022-04-19 13:34:24,266 ms,297 ms,236 ms
2022-04-19 13:34:26,267 ms,299 ms,235 ms
2022-04-19 13:34:28,284 ms,299 ms,270 ms
2022-04-19 13:34:30,294 ms,310 ms,278 ms
2022-04-19 13:34:32,261 ms,265 ms,256 ms
2022-04-19 13:34:34,269 ms,267 ms,271 ms
2022-04-19 13:34:36,259 ms,263 ms,255 ms
2022-04-19 13:34:38,254 ms,251 ms,256 ms
2022-04-19 13:34:40,267 ms,276 ms,258 ms
2022-04-19 13:34:42,261 ms,263 ms,259 ms
2022-04-19 13:34:44,255 ms,254 ms,256 ms
2022-04-19 13:34:46,257 ms,261 ms,254 ms
2022-04-19 13:34:48,254 ms,257 ms,251 ms
2022-04-19 13:34:50,255 ms,261 ms,249 ms
2022-04-19 13:34:52,261 ms,278 ms,244 ms
2022-04-19 13:34:54,268 ms,292 ms,244 ms
2022-04-19 13:34:56,302 ms,293 ms,311 ms
2022-04-19 13:34:58,309 ms,290 ms,328 ms
2022-04-19 13:35:00,303 ms,282 ms,324 ms
2022-04-19 13:35:02,294 ms,267 ms,321 ms
2022-04-19 13:35:04,298 ms,269 ms,328 ms
2022-04-19 13:35:06,261 ms,269 ms,253 ms
2022-04-19 13:35:08,263 ms,266 ms,259 ms
2022-04-19 13:35:10,258 ms,250 ms,266 ms
2022-04-19 13:35:12,251 ms,248 ms,255 ms
2022-04-19 13:35:14,246 ms,237 ms,256 ms
2022-04-19 13:35:16,244 ms,233 ms,256 ms
2022-04-19 13:35:18,250 ms,237 ms,262 ms
2022-04-19 13:35:20,250 ms,238 ms,262 ms
2022-04-19 13:35:22,248 ms,233 ms,264 ms
2022-04-19 13:35:24,250 ms,239 ms,262 ms
2022-04-19 13:35:26,250 ms,237 ms,263 ms
2022-04-19 13:35:28,259 ms,260 ms,257 ms
2022-04-19 13:35:30,259 ms,265 ms,254 ms
2022-04-19 13:35:32,262 ms,272 ms,251 ms
2022-04-19 13:35:34,272 ms,286 ms,257 ms
2022-04-19 13:35:36,274 ms,262 ms,285 ms
2022-04-19 13:35:38,288 ms,259 ms,318 ms
2022-04-19 13:35:40,286 ms,265 ms,306 ms
2022-04-19 13:35:42,279 ms,256 ms,303 ms
2022-04-19 13:35:44,278 ms,243 ms,312 ms
2022-04-19 13:35:46,281 ms,261 ms,301 ms
2022-04-19 13:35:48,261 ms,259 ms,263 ms
2022-04-19 13:35:50,263 ms,258 ms,269 ms
2022-04-19 13:35:52,265 ms,261 ms,270 ms
2022-04-19 13:35:54,264 ms,265 ms,264 ms
2022-04-19 13:35:56,261 ms,263 ms,259 ms
2022-04-19 13:35:58,252 ms,250 ms,254 ms
2022-04-19 13:36:00,302 ms,386 ms,218 ms
2022-04-19 13:36:02,305 ms,386 ms,224 ms
2022-04-19 13:36:04,305 ms,377 ms,233 ms
2022-04-19 13:36:06,324 ms,392 ms,256 ms
2022-04-19 13:36:08,336 ms,394 ms,277 ms
2022-04-19 13:36:10,267 ms,266 ms,268 ms
2022-04-19 13:36:12,264 ms,261 ms,268 ms
2022-04-19 13:36:14,258 ms,242 ms,275 ms
2022-04-19 13:36:16,293 ms,328 ms,258 ms
2022-04-19 13:36:18,294 ms,339 ms,249 ms
2022-04-19 13:36:20,296 ms,330 ms,262 ms
2022-04-19 13:36:22,306 ms,349 ms,262 ms
2022-04-19 13:36:24,285 ms,288 ms,283 ms
2022-04-19 13:36:26,287 ms,273 ms,301 ms
2022-04-19 13:36:28,289 ms,274 ms,304 ms
2022-04-19 13:36:30,278 ms,270 ms,287 ms
2022-04-19 13:36:32,279 ms,268 ms,291 ms
2022-04-19 13:36:34,272 ms,265 ms,279 ms
2022-04-19 13:36:36,257 ms,241 ms,273 ms
2022-04-19 13:36:38,273 ms,259 ms,286 ms
2022-04-19 13:36:40,273 ms,258 ms,287 ms
2022-04-19 13:36:42,272 ms,259 ms,285 ms
2022-04-19 13:36:44,293 ms,272 ms,314 ms
2022-04-19 13:36:46,291 ms,275 ms,308 ms
2022-04-19 13:36:48,280 ms,251 ms,308 ms
2022-04-19 13:36:50,282 ms,252 ms,312 ms
2022-04-19 13:36:52,285 ms,251 ms,319 ms
2022-04-19 13:36:54,264 ms,264 ms,263 ms
2022-04-19 13:36:56,269 ms,264 ms,274 ms
2022-04-19 13:36:58,278 ms,267 ms,290 ms
2022-04-19 13:37:00,278 ms,265 ms,290 ms
2022-04-19 13:37:02,298 ms,289 ms,307 ms
2022-04-19 13:37:04,295 ms,295 ms,296 ms
2022-04-19 13:37:06,288 ms,301 ms,275 ms
2022-04-19 13:37:08,285 ms,293 ms,278 ms
2022-04-19 13:37:10,271 ms,289 ms,253 ms
2022-04-19 13:37:12,264 ms,279 ms,249 ms
2022-04-19 13:37:14,315 ms,343 ms,287 ms
2022-04-19 13:37:16,313 ms,342 ms,284 ms
2022-04-19 13:37:18,318 ms,351 ms,285 ms
2022-04-19 13:37:20,316 ms,347 ms,284 ms
2022-04-19 13:37:22,270 ms,279 ms,260 ms
2022-04-19 13:37:24,278 ms,277 ms,279 ms
2022-04-19 13:37:26,275 ms,270 ms,280 ms
2022-04-19 13:37:28,277 ms,263 ms,291 ms
2022-04-19 13:37:30,280 ms,279 ms,282 ms
2022-04-19 13:37:32,271 ms,269 ms,273 ms
2022-04-19 13:37:34,279 ms,302 ms,256 ms
2022-04-19 13:37:36,277 ms,309 ms,246 ms
2022-04-19 13:37:38,270 ms,299 ms,241 ms
2022-04-19 13:37:40,269 ms,293 ms,245 ms
2022-04-19 13:37:42,263 ms,252 ms,274 ms
2022-04-19 13:37:44,251 ms,235 ms,267 ms
2022-04-19 13:37:46,271 ms,241 ms,301 ms
2022-04-19 13:37:48,277 ms,246 ms,308 ms
2022-04-19 13:37:50,288 ms,267 ms,308 ms
2022-04-19 13:37:52,274 ms,263 ms,284 ms
2022-04-19 13:37:54,276 ms,266 ms,285 ms
2022-04-19 13:37:56,279 ms,297 ms,261 ms
2022-04-19 13:37:58,284 ms,306 ms,261 ms
2022-04-19 13:38:00,328 ms,406 ms,250 ms
2022-04-19 13:38:02,331 ms,386 ms,276 ms
2022-04-19 13:38:04,339 ms,376 ms,301 ms
2022-04-19 13:38:06,336 ms,367 ms,305 ms
2022-04-19 13:38:08,287 ms,283 ms,292 ms
2022-04-19 13:38:10,254 ms,241 ms,266 ms
2022-04-19 13:38:12,254 ms,259 ms,250 ms
2022-04-19 13:38:14,300 ms,342 ms,259 ms
2022-04-19 13:38:16,303 ms,349 ms,257 ms
2022-04-19 13:38:18,310 ms,353 ms,266 ms
2022-04-19 13:38:20,315 ms,367 ms,262 ms
2022-04-19 13:38:22,302 ms,350 ms,254 ms
2022-04-19 13:38:24,264 ms,283 ms,245 ms
2022-04-19 13:38:26,295 ms,339 ms,251 ms
2022-04-19 13:38:28,297 ms,350 ms,244 ms
2022-04-19 13:38:30,296 ms,345 ms,247 ms
2022-04-19 13:38:32,299 ms,349 ms,250 ms
2022-04-19 13:38:34,264 ms,276 ms,252 ms
2022-04-19 13:38:36,259 ms,265 ms,254 ms
2022-04-19 13:38:38,256 ms,257 ms,256 ms
2022-04-19 13:38:40,253 ms,257 ms,249 ms
2022-04-19 13:38:42,258 ms,254 ms,262 ms
2022-04-19 13:38:44,258 ms,250 ms,266 ms
2022-04-19 13:38:46,261 ms,258 ms,265 ms
2022-04-19 13:38:48,290 ms,261 ms,318 ms
2022-04-19 13:38:50,293 ms,271 ms,315 ms
2022-04-19 13:38:52,308 ms,298 ms,317 ms
2022-04-19 13:38:54,300 ms,285 ms,314 ms
2022-04-19 13:38:56,296 ms,278 ms,314 ms
2022-04-19 13:38:58,265 ms,275 ms,254 ms
2022-04-19 13:39:00,267 ms,256 ms,278 ms
2022-04-19 13:39:02,262 ms,245 ms,279 ms
2022-04-19 13:39:04,267 ms,251 ms,284 ms
2022-04-19 13:39:06,257 ms,237 ms,277 ms
2022-04-19 13:39:08,246 ms,242 ms,249 ms
2022-04-19 13:39:10,244 ms,243 ms,245 ms
2022-04-19 13:39:12,243 ms,242 ms,244 ms
2022-04-19 13:39:14,238 ms,237 ms,238 ms
2022-04-19 13:39:16,246 ms,251 ms,242 ms
2022-04-19 13:39:18,255 ms,263 ms,248 ms
2022-04-19 13:39:20,267 ms,271 ms,263 ms
2022-04-19 13:39:22,270 ms,277 ms,264 ms
2022-04-19 13:39:24,319 ms,364 ms,274 ms
2022-04-19 13:39:26,321 ms,364 ms,278 ms
2022-04-19 13:39:28,323 ms,369 ms,277 ms
2022-04-19 13:39:30,329 ms,380 ms,277 ms
2022-04-19 13:39:32,320 ms,369 ms,270 ms
2022-04-19 13:39:34,280 ms,295 ms,265 ms
2022-04-19 13:39:36,275 ms,292 ms,258 ms
2022-04-19 13:39:38,275 ms,289 ms,260 ms
2022-04-19 13:39:40,254 ms,253 ms,255 ms
2022-04-19 13:39:42,264 ms,265 ms,263 ms
2022-04-19 13:39:44,264 ms,264 ms,264 ms
2022-04-19 13:39:46,269 ms,268 ms,270 ms
2022-04-19 13:39:48,274 ms,264 ms,285 ms
2022-04-19 13:39:50,273 ms,265 ms,281 ms
2022-04-19 13:39:52,263 ms,239 ms,288 ms
2022-04-19 13:39:54,263 ms,238 ms,288 ms
2022-04-19 13:39:56,255 ms,254 ms,256 ms
2022-04-19 13:39:58,260 ms,255 ms,266 ms
2022-04-19 13:40:00,259 ms,256 ms,262 ms
2022-04-19 13:40:02,255 ms,258 ms,253 ms
2022-04-19 13:40:04,262 ms,266 ms,258 ms
2022-04-19 13:40:06,259 ms,255 ms,264 ms
2022-04-19 13:40:08,335 ms,259 ms,411 ms
2022-04-19 13:40:10,351 ms,255 ms,446 ms
2022-04-19 13:40:12,327 ms,250 ms,404 ms
2022-04-19 13:40:14,340 ms,254 ms,426 ms
2022-04-19 13:40:16,384 ms,248 ms,521 ms
2022-04-19 13:40:18,349 ms,277 ms,420 ms
2022-04-19 13:40:20,365 ms,259 ms,472 ms
2022-04-19 13:40:22,365 ms,273 ms,457 ms
2022-04-19 13:40:24,270 ms,261 ms,280 ms
2022-04-19 13:40:26,250 ms,271 ms,230 ms
2022-04-19 13:40:28,255 ms,271 ms,239 ms
2022-04-19 13:40:30,268 ms,287 ms,248 ms
2022-04-19 13:40:32,273 ms,294 ms,253 ms
2022-04-19 13:40:34,270 ms,285 ms,254 ms
