"Time","Average Request Rate","edge-server-cv-78d887c496-jfgxb Requests/2s","edge-server-cv-78d887c496-qwz6r Requests/2s","avg_requests/30"
2022-04-19 13:28:04,0.500,0,1,2.86
2022-04-19 13:28:06,1,2,0,2.69
2022-04-19 13:28:08,2.50,4,1,2.86
2022-04-19 13:28:10,1.50,1,2,2.83
2022-04-19 13:28:12,2,2,2,2.79
2022-04-19 13:28:14,1.50,3,0,2.83
2022-04-19 13:28:16,1.50,2.01,1,2.79
2022-04-19 13:28:18,1,1,1,2.72
2022-04-19 13:28:20,2.50,2,3,2.79
2022-04-19 13:28:22,1.50,0,3,2.86
2022-04-19 13:28:24,1,0,2,2.97
2022-04-19 13:28:26,1,0,2,2.93
2022-04-19 13:28:28,1,1,1,2.97
2022-04-19 13:28:30,2,3,1,3
2022-04-19 13:28:32,1,2,0,3.10
2022-04-19 13:28:34,2,2,2,3.28
2022-04-19 13:28:36,0.500,1,0,3.14
2022-04-19 13:28:38,1,0,2,3
2022-04-19 13:28:40,1,1,1,2.83
2022-04-19 13:28:42,1,1,1,2.66
2022-04-19 13:28:44,2,3,1,2.72
2022-04-19 13:28:46,1,1,1,2.66
2022-04-19 13:28:48,0,0,0,2.59
2022-04-19 13:28:50,1.50,0,3,2.52
2022-04-19 13:28:52,0,0,0,2.41
2022-04-19 13:28:54,2.01,3.02,1,2.55
2022-04-19 13:28:56,1,0,2,2.55
2022-04-19 13:28:58,0.500,0,1,2.59
2022-04-19 13:29:00,1,2,0,2.38
2022-04-19 13:29:02,1.50,1,2,2.41
2022-04-19 13:29:04,2,4,0,2.55
2022-04-19 13:29:06,1.50,2,1,2.62
2022-04-19 13:29:08,0.500,1,0,2.59
2022-04-19 13:29:10,1,1,1,2.52
2022-04-19 13:29:12,3.01,5.02,1,2.55
2022-04-19 13:29:14,2,2,2,2.45
2022-04-19 13:29:16,0,0,0,2.34
2022-04-19 13:29:18,1,0,2,2.41
2022-04-19 13:29:20,0,0,0,2.24
2022-04-19 13:29:22,1,2,0,2.24
2022-04-19 13:29:24,0.500,0,1,2.14
2022-04-19 13:29:26,2.00,1.99,2,2.07
2022-04-19 13:29:28,0,0,0,2.03
2022-04-19 13:29:30,2.50,3,2,2.07
2022-04-19 13:29:32,2,3,1,2.14
2022-04-19 13:29:34,1.50,1,2,2.24
2022-04-19 13:29:36,1,1,1,2.31
2022-04-19 13:29:38,2.50,1,4,2.41
2022-04-19 13:29:40,1,2,0,2.45
2022-04-19 13:29:42,0,0,0,2.28
2022-04-19 13:29:44,0.500,0,1,2.17
2022-04-19 13:29:46,0.500,1,0,2.31
2022-04-19 13:29:48,1.50,2,1,2.45
2022-04-19 13:29:50,3,3,3,2.93
2022-04-19 13:29:52,1.50,1,2,3
2022-04-19 13:29:54,1.50,2,1,3.14
2022-04-19 13:29:56,1.50,2,1,3.14
2022-04-19 13:29:58,3.50,4,3,3.45
2022-04-19 13:30:00,1,0,2,3.24
2022-04-19 13:30:02,2,2,2,3.24
2022-04-19 13:30:04,1.50,2,1,3.21
2022-04-19 13:30:06,1.50,1.99,1,3.34
2022-04-19 13:30:08,1.50,2,1,3.34
2022-04-19 13:30:10,1.50,3,0,3.48
2022-04-19 13:30:12,2,3,1,3.66
2022-04-19 13:30:14,1,2,0,3.62
2022-04-19 13:30:16,3,3,3,3.69
2022-04-19 13:30:18,2,1,3,3.62
2022-04-19 13:30:20,1,2,0,3.41
2022-04-19 13:30:22,1.50,2,1,3.34
2022-04-19 13:30:24,0.500,1,0,3.28
2022-04-19 13:30:26,0.500,0,1,3.17
2022-04-19 13:30:28,1.50,2,1,3.07
2022-04-19 13:30:30,3,2,4,3.14
2022-04-19 13:30:32,2.50,4,1,3.14
2022-04-19 13:30:34,2.50,4,1,3.14
2022-04-19 13:30:36,2,1,3,3.10
2022-04-19 13:30:38,1.50,2,1,3.03
2022-04-19 13:30:40,1.50,3,0,3.03
2022-04-19 13:30:42,4,4,4,3.21
2022-04-19 13:30:44,1,1,1,3.28
2022-04-19 13:30:46,1,1,1,3.03
2022-04-19 13:30:48,2,2,2,3.10
2022-04-19 13:30:50,1,1,1,3.17
2022-04-19 13:30:52,2,1,3,3.21
2022-04-19 13:30:54,2,2,2,3.28
2022-04-19 13:30:56,1,1,1,3.28
2022-04-19 13:30:58,1,1,1,3.21
2022-04-19 13:31:00,2,2,2,3.17
2022-04-19 13:31:02,0.500,1,0,3.07
2022-04-19 13:31:04,1.50,1,2,3.03
2022-04-19 13:31:06,2,2,2,3.14
2022-04-19 13:31:08,1.50,1,2,3.10
2022-04-19 13:31:10,2.50,2,3,3.28
2022-04-19 13:31:12,1.50,3,0,3.10
2022-04-19 13:31:14,1.50,0,3,3.10
2022-04-19 13:31:16,1,1,1,3.10
2022-04-19 13:31:18,1.98,1,2.96,3.07
2022-04-19 13:31:20,2.50,4,1,3.38
2022-04-19 13:31:22,0.500,1,0,3.21
2022-04-19 13:31:24,1.50,3,0,3.21
2022-04-19 13:31:26,2.50,2,3,3.38
2022-04-19 13:31:28,2.50,4,1,3.45
2022-04-19 13:31:30,1,2,0,3.41
2022-04-19 13:31:32,3.50,3,4,3.52
2022-04-19 13:31:34,2,3,1,3.48
2022-04-19 13:31:36,3.50,4,3,3.59
2022-04-19 13:31:38,1.50,2,1,3.45
2022-04-19 13:31:40,1,0,2,3.41
2022-04-19 13:31:42,1,0,2,3.38
2022-04-19 13:31:44,1.50,1,2,3.38
2022-04-19 13:31:46,1.50,0,3,3.45
2022-04-19 13:31:48,0.500,0,1,3.10
2022-04-19 13:31:50,1.50,2,1,3.10
2022-04-19 13:31:52,2,1,3,3.17
2022-04-19 13:31:54,1,0,2,3.17
2022-04-19 13:31:56,1.50,1,2,3.17
2022-04-19 13:31:58,1,1,1,3.03
2022-04-19 13:32:00,0.500,0,1,3.07
2022-04-19 13:32:02,0.500,0,1,2.79
2022-04-19 13:32:04,2,3,1,2.79
2022-04-19 13:32:06,1.50,3,0,2.59
2022-04-19 13:32:08,0,0,0,2.41
2022-04-19 13:32:10,0.998,0.995,1,2.38
2022-04-19 13:32:12,0.499,0.997,0,2.41
2022-04-19 13:32:14,1.50,1,2,2.34
2022-04-19 13:32:16,1.50,3,0,2.34
2022-04-19 13:32:18,0,0,0,2.31
2022-04-19 13:32:20,2.50,4,1,2.38
2022-04-19 13:32:22,1,0,2,2.24
2022-04-19 13:32:24,2.50,3,2,2.24
2022-04-19 13:32:26,2.50,3,2,2.28
2022-04-19 13:32:28,2,3,1,2.28
2022-04-19 13:32:30,1.50,2,1,2.38
2022-04-19 13:32:32,1.50,3,0,2.55
2022-04-19 13:32:34,2,1,3,2.72
2022-04-19 13:32:36,0.500,0,1,2.66
2022-04-19 13:32:38,2,3,1,2.97
2022-04-19 13:32:40,1,2,0,2.90
2022-04-19 13:32:42,0,0,0,2.90
2022-04-19 13:32:44,2.50,3,2,2.90
2022-04-19 13:32:46,2,1,3,3.03
2022-04-19 13:32:48,0.500,0,1,3.07
2022-04-19 13:32:50,1.50,2,1,3
2022-04-19 13:32:52,2.48,4.96,0,3.28
2022-04-19 13:32:54,0,0,0,3.07
2022-04-19 13:32:56,2.50,1,4,3.14
2022-04-19 13:32:58,0,0,0,3.07
2022-04-19 13:33:00,2.50,3,2,3.07
2022-04-19 13:33:02,2,2,2,3
2022-04-19 13:33:04,2.50,2,3,3.07
2022-04-19 13:33:06,2.50,1,4,3.24
2022-04-19 13:33:08,1.50,2,1,3.24
2022-04-19 13:33:10,1,2,0,3.21
2022-04-19 13:33:12,0.500,1,0,3.28
2022-04-19 13:33:14,3,5,1,3.28
2022-04-19 13:33:16,1,1,1,3.21
2022-04-19 13:33:18,1.50,3,0,3.34
2022-04-19 13:33:20,1.50,1,2,3.41
2022-04-19 13:33:22,0.500,0,1,3.38
2022-04-19 13:33:24,1,1,1,3.45
2022-04-19 13:33:26,1.50,2,1,3.45
2022-04-19 13:33:28,0.500,0,1,3.45
2022-04-19 13:33:30,2,1,3,3.38
2022-04-19 13:33:32,0,0,0,3.14
2022-04-19 13:33:34,2,4,0,3
2022-04-19 13:33:36,1.50,1,2,2.93
2022-04-19 13:33:38,2,3,1,3
2022-04-19 13:33:40,1,1,1,3.17
2022-04-19 13:33:42,0.500,0,1,3.14
2022-04-19 13:33:44,1,2,0,3
2022-04-19 13:33:46,1,0,2,2.97
2022-04-19 13:33:48,3.50,1,6,2.97
2022-04-19 13:33:50,2,0,4,3.07
2022-04-19 13:33:52,3,1,5,3.31
2022-04-19 13:33:54,0.500,0,1,3.24
2022-04-19 13:33:56,1,1,1,3.24
2022-04-19 13:33:58,2.00,1,2.99,3.45
2022-04-19 13:34:00,2.50,2,3,3.62
2022-04-19 13:34:02,2,2,2,3.66
2022-04-19 13:34:04,1.50,2,1,3.52
2022-04-19 13:34:06,2,0,4,3.59
2022-04-19 13:34:08,3,1,5,3.55
2022-04-19 13:34:10,1.50,2,1,3.66
2022-04-19 13:34:12,0.500,1,0,3.62
2022-04-19 13:34:14,2,0,4,3.66
2022-04-19 13:34:16,2,0,4,3.86
2022-04-19 13:34:18,1,1,1,3.59
2022-04-19 13:34:20,2,3,1,3.45
2022-04-19 13:34:22,0.500,1,0,3.14
2022-04-19 13:34:24,0.500,0,1,3.17
2022-04-19 13:34:26,0.500,1,0,3.00
2022-04-19 13:34:28,1.50,2,1,2.83
2022-04-19 13:34:30,0,0,0,2.66
2022-04-19 13:34:32,1.50,2,1,2.72
2022-04-19 13:34:34,0.499,0.997,0,2.69
2022-04-19 13:34:36,2.50,1,4,2.69
2022-04-19 13:34:38,1,2,0,2.52
2022-04-19 13:34:40,2,2,2,2.62
2022-04-19 13:34:42,1,2,0,2.59
2022-04-19 13:34:44,1,2,0,2.34
2022-04-19 13:34:46,1,2,0,2.17
2022-04-19 13:34:48,1,0,2,2.31
2022-04-19 13:34:50,2.50,4,1,2.38
2022-04-19 13:34:52,2,1,3,2.38
2022-04-19 13:34:54,2,2,2,2.55
2022-04-19 13:34:56,2.50,1,4,2.66
2022-04-19 13:34:58,1.50,1,2,2.66
2022-04-19 13:35:00,0.500,1,0,2.69
2022-04-19 13:35:02,2,2,2,2.90
2022-04-19 13:35:04,1,2,0,3.03
2022-04-19 13:35:06,0.500,0,1,2.86
2022-04-19 13:35:08,2,2,2,2.83
2022-04-19 13:35:10,2,3,1,3.00
2022-04-19 13:35:12,1.50,3,0,3.03
2022-04-19 13:35:14,2,1,3,3.14
2022-04-19 13:35:16,2.50,0.991,4,3.14
2022-04-19 13:35:18,2.50,0,5,3.21
2022-04-19 13:35:20,3.50,3,4,3.31
2022-04-19 13:35:22,1.50,2,1,3.24
2022-04-19 13:35:24,1,1,1,3.21
2022-04-19 13:35:26,1.50,2,1,3.24
2022-04-19 13:35:28,2,2,2,3.38
2022-04-19 13:35:30,1,2,0,3.17
2022-04-19 13:35:32,0.500,1,0,2.93
2022-04-19 13:35:34,1.50,2,1,2.97
2022-04-19 13:35:36,1,0,2,3.03
2022-04-19 13:35:38,1.50,0,3,2.90
2022-04-19 13:35:40,0.500,0,1,2.79
2022-04-19 13:35:42,2.50,3,2,2.90
2022-04-19 13:35:44,1.50,2,1,2.86
2022-04-19 13:35:46,1.99,3.98,0,2.86
2022-04-19 13:35:48,2,2,2,2.93
2022-04-19 13:35:50,2,2,2,2.83
2022-04-19 13:35:52,2,2,2,3
2022-04-19 13:35:54,0.500,0,1,2.90
2022-04-19 13:35:56,1.50,2,1,2.66
2022-04-19 13:35:58,1.50,3,0,2.62
2022-04-19 13:36:00,3,5,1,2.93
2022-04-19 13:36:02,1,1,1,2.93
2022-04-19 13:36:04,0,0,0,2.83
2022-04-19 13:36:06,3.50,2,5,3.07
2022-04-19 13:36:08,3,3,3,3.14
2022-04-19 13:36:10,1.50,0,3,3.24
2022-04-19 13:36:12,1.50,1,2,3.10
2022-04-19 13:36:14,0,0,0,3.07
2022-04-19 13:36:16,3,4,2,3.14
2022-04-19 13:36:18,1,0,2,3.10
2022-04-19 13:36:20,1.50,1,2,2.97
2022-04-19 13:36:22,1.50,1,2,2.90
2022-04-19 13:36:24,1.50,0,3,3.07
2022-04-19 13:36:26,2.50,3,2,3.21
2022-04-19 13:36:28,1,1,1,3.17
2022-04-19 13:36:30,2.50,2,3,3.31
2022-04-19 13:36:32,0,0,0,3.24
2022-04-19 13:36:34,3,0,6,3.45
2022-04-19 13:36:36,1.50,2,1,3.41
2022-04-19 13:36:38,1,2,0,3.31
2022-04-19 13:36:40,1.50,0,3,3.34
2022-04-19 13:36:42,2.50,3,2,3.31
2022-04-19 13:36:44,2,0,4,3.28
2022-04-19 13:36:46,2.50,2,3,3.24
2022-04-19 13:36:48,0.500,1,0,3.14
2022-04-19 13:36:50,2,2,2,3.24
2022-04-19 13:36:52,1.49,1.98,1,3.24
2022-04-19 13:36:54,1,1,1,3.28
2022-04-19 13:36:56,2,2,2,3.10
2022-04-19 13:36:58,1,1,1,2.97
2022-04-19 13:37:00,2.50,1,4,3.03
2022-04-19 13:37:02,3.51,5.02,2,3.24
2022-04-19 13:37:04,2.50,3,2,3.28
2022-04-19 13:37:06,0,0,0,3.21
2022-04-19 13:37:08,1.50,1,2,3.28
2022-04-19 13:37:10,2,2,2,3.48
2022-04-19 13:37:12,1.50,3,0,3.52
2022-04-19 13:37:14,1,1,1,3.69
2022-04-19 13:37:16,1,1,1,3.62
2022-04-19 13:37:18,2.50,2,3,3.79
2022-04-19 13:37:20,1.50,2,1,3.83
2022-04-19 13:37:22,2,3,1,3.72
2022-04-19 13:37:24,1.50,2,1,3.72
2022-04-19 13:37:26,2.00,0.996,3,3.69
2022-04-19 13:37:28,1,2,0,3.66
2022-04-19 13:37:30,2,2,2,3.62
2022-04-19 13:37:32,1.50,1,2,3.34
2022-04-19 13:37:34,2.50,3,2,3.28
2022-04-19 13:37:36,0.500,0,1,3.31
2022-04-19 13:37:38,1,1,1,3.17
2022-04-19 13:37:40,1,2,0,3.07
2022-04-19 13:37:42,3,1,5,2.86
2022-04-19 13:37:44,1,1,1,2.79
2022-04-19 13:37:46,2,1,3,2.86
2022-04-19 13:37:48,1.50,1,2,2.76
2022-04-19 13:37:50,3,2,4,2.90
2022-04-19 13:37:52,2,1,3,3
2022-04-19 13:37:54,2.50,2,3,3.03
2022-04-19 13:37:56,2.50,3,2,3.14
2022-04-19 13:37:58,0.500,0,1,3.10
2022-04-19 13:38:00,1,2,0,3.14
2022-04-19 13:38:02,1,0,2,3.17
2022-04-19 13:38:04,2.50,4,1,3.17
2022-04-19 13:38:06,1,0,2,3.21
2022-04-19 13:38:08,2,2,2,3.34
2022-04-19 13:38:10,2.50,4,1,3.55
2022-04-19 13:38:12,2,4,0,3.66
2022-04-19 13:38:14,2.01,3.03,1,3.79
2022-04-19 13:38:16,2,3,1,3.72
2022-04-19 13:38:18,2.50,4,1,3.83
2022-04-19 13:38:20,0,0,0,3.59
2022-04-19 13:38:22,3,3,3,3.69
2022-04-19 13:38:24,2,1,3,3.59
2022-04-19 13:38:26,1.50,2,1,3.62
2022-04-19 13:38:28,1.50,2,1,3.62
2022-04-19 13:38:30,1.50,2,1,3.52
2022-04-19 13:38:32,1,0,2,3.59
2022-04-19 13:38:34,2,3,1,3.52
2022-04-19 13:38:36,1,0,2,3.48
2022-04-19 13:38:38,1.49,1,1.98,3.45
2022-04-19 13:38:40,1,2,0,3.28
2022-04-19 13:38:42,3,5,1,3.35
2022-04-19 13:38:44,1,0,2,3.28
2022-04-19 13:38:46,2.50,2,3,3.28
2022-04-19 13:38:48,2.50,1,4,3.28
2022-04-19 13:38:50,3,4,2,3.41
2022-04-19 13:38:52,2.50,4,1,3.41
2022-04-19 13:38:54,2.01,2.01,2,3.38
2022-04-19 13:38:56,1,1,1,3.31
2022-04-19 13:38:58,2,2,2,3.45
2022-04-19 13:39:00,2.50,3,2,3.45
2022-04-19 13:39:02,1,0,2,3.41
2022-04-19 13:39:04,1.50,1,2,3.34
2022-04-19 13:39:06,2.50,3,2,3.48
2022-04-19 13:39:08,2,0,4,3.48
2022-04-19 13:39:10,1,1,1,3.38
2022-04-19 13:39:12,1.50,2,1,3.24
2022-04-19 13:39:14,1,1,1,3.21
2022-04-19 13:39:16,3,4,2,3.24
2022-04-19 13:39:18,1,2,0,3.28
2022-04-19 13:39:20,2.50,3,2,3.21
2022-04-19 13:39:22,3,5,1,3.21
2022-04-19 13:39:24,3,4,2,3.24
2022-04-19 13:39:26,2,1,3,3.31
2022-04-19 13:39:28,1.50,1,2,3.28
2022-04-19 13:39:30,3,5,1,3.31
2022-04-19 13:39:32,0.998,0.995,1,3.41
2022-04-19 13:39:34,1.50,2,1,3.34
2022-04-19 13:39:36,1.50,1,2,3.28
2022-04-19 13:39:38,1.50,1,2,3.14
2022-04-19 13:39:40,1.99,2.99,1,3.28
2022-04-19 13:39:42,2.50,3,2,3.45
2022-04-19 13:39:44,1,2,0,3.34
2022-04-19 13:39:46,0,0,0,3.07
2022-04-19 13:39:48,1,0,2,3.14
2022-04-19 13:39:50,1,1,1,3
2022-04-19 13:39:52,1.50,1,2,2.90
2022-04-19 13:39:54,2,3,1,2.72
2022-04-19 13:39:56,3,3,3,2.86
2022-04-19 13:39:58,1,1,1,2.90
2022-04-19 13:40:00,2,1,3,2.72
2022-04-19 13:40:02,1.50,2,1,2.97
2022-04-19 13:40:04,1,0,2,2.90
2022-04-19 13:40:06,0.500,1,0,2.97
2022-04-19 13:40:08,1.50,1,2,3.03
2022-04-19 13:40:10,2.50,2,3,2.93
2022-04-19 13:40:12,1,2,0,3.03
2022-04-19 13:40:14,1,0,2,3
2022-04-19 13:40:16,1,0,2,3.10
2022-04-19 13:40:18,1.50,1,2,3.10
2022-04-19 13:40:20,1.50,2,1,3.17
2022-04-19 13:40:22,0.500,1,0,3.10
2022-04-19 13:40:24,0.500,0,1,2.90
2022-04-19 13:40:26,1,1,1,2.69
2022-04-19 13:40:28,2.00,2,1.99,2.76
2022-04-19 13:40:30,1.50,1,2,2.59
2022-04-19 13:40:32,2,2,2,2.66
2022-04-19 13:40:34,1.50,2,1,2.72
2022-04-19 13:40:36,1.50,2,1,2.66
2022-04-19 13:40:38,2.50,2,3,2.76
2022-04-19 13:40:40,1.50,3,0,2.52
2022-04-19 13:40:42,0,0,0,2.52
2022-04-19 13:40:44,1.50,2,1,2.41
2022-04-19 13:40:46,0.500,0,1,2.34
2022-04-19 13:40:48,1,1,1,2.34
2022-04-19 13:40:50,2.00,1.99,2,2.41
2022-04-19 13:40:52,1.50,1,2,2.55
2022-04-19 13:40:54,1,1,1,2.59
2022-04-19 13:40:56,2,1,3,2.69
2022-04-19 13:40:58,0.500,1,0,2.59
2022-04-19 13:41:00,2,1,3,2.66
2022-04-19 13:41:02,3.50,4,3,2.62
2022-04-19 13:41:04,1.50,2,1,2.62
2022-04-19 13:41:06,0.500,1,0,2.55
2022-04-19 13:41:08,2,0,4,2.62
2022-04-19 13:41:10,1,2,0,2.52
2022-04-19 13:41:12,1.50,2,1,2.66
2022-04-19 13:41:14,3,3,3,2.90
2022-04-19 13:41:16,1.50,0,3,2.90
2022-04-19 13:41:18,1,1,1,3
2022-04-19 13:41:20,1.50,2,1,3
2022-04-19 13:41:22,2.50,4,1,3.14
2022-04-19 13:41:24,2.50,1,4,3.14
2022-04-19 13:41:26,2,3,1,3.10
2022-04-19 13:41:28,2.50,3,2,3.34
2022-04-19 13:41:30,0,0,0,3.31
2022-04-19 13:41:32,2.50,2,3,3.28
2022-04-19 13:41:34,2,2,2,3.31
2022-04-19 13:41:36,0.500,1,0,3.24
2022-04-19 13:41:38,1.50,0,3,3.31
2022-04-19 13:41:40,1.50,2,1,3.34
2022-04-19 13:41:42,1.50,1,2,3.28
2022-04-19 13:41:44,2,3,1,3.21
2022-04-19 13:41:46,0.500,0,1,2.97
2022-04-19 13:41:48,2,2,2,3
2022-04-19 13:41:50,0.500,1,0,2.93
2022-04-19 13:41:52,0.500,1,0,2.97
2022-04-19 13:41:54,1,0,2,2.83
2022-04-19 13:41:56,2,4,0,2.66
2022-04-19 13:41:58,1,0,2,2.45
2022-04-19 13:42:00,2,3,1,2.59
2022-04-19 13:42:02,2,2,2,2.66
2022-04-19 13:42:04,2,1,3,2.66
2022-04-19 13:42:06,1,1,1,2.55
2022-04-19 13:42:08,1.50,2,1,2.59
2022-04-19 13:42:10,2,2,2,2.76
2022-04-19 13:42:12,1,2,0,2.83
2022-04-19 13:42:14,0,0,0,2.86
2022-04-19 13:42:16,1.50,2,1,2.97
2022-04-19 13:42:18,2,2,2,2.90
2022-04-19 13:42:20,1.50,2,1,2.93
2022-04-19 13:42:22,2.50,2,3,3
2022-04-19 13:42:24,1,2,0,3.03
2022-04-19 13:42:26,1.50,2,1,3.10
2022-04-19 13:42:28,2,3,1,3.31
2022-04-19 13:42:30,1.50,1,2,3.21
2022-04-19 13:42:32,1,2,0,3.14
2022-04-19 13:42:34,1.50,1,2,3.14
2022-04-19 13:42:36,2.50,2,3,3.24
2022-04-19 13:42:38,1,2,0,3.10
2022-04-19 13:42:40,2,2,2,3.17
2022-04-19 13:42:42,3,3,3,3.28
2022-04-19 13:42:44,1.50,1,2,3.38
2022-04-19 13:42:46,1.50,0,3,3.41
2022-04-19 13:42:48,1,1,1,3.34
2022-04-19 13:42:50,2,2,2,3.38
2022-04-19 13:42:52,1.50,1,2,3.34
2022-04-19 13:42:54,1.50,1,2,3.34
2022-04-19 13:42:56,1.50,2,1,3.31
2022-04-19 13:42:58,2,2,2,3.28
2022-04-19 13:43:00,1,1,1,3.31
2022-04-19 13:43:02,2.50,2,3,3.48
2022-04-19 13:43:04,2,0,4,3.48
2022-04-19 13:43:06,0.500,1,0,3.28
2022-04-19 13:43:08,1.50,2,1,3.21
2022-04-19 13:43:10,2,1,3,3.28
2022-04-19 13:43:12,1,0,2,3.10
2022-04-19 13:43:14,2.50,3,2,3.21
