"Time","Average Request Rate","edge-server-cv-74d975f7cd-bbbwx Requests/2s","edge-server-cv-74d975f7cd-gw56j Requests/2s","edge-server-cv-74d975f7cd-z798l Requests/2s","avg_requests/30"
2022-04-19 16:02:56,0.333,1,0,0,1.41
2022-04-19 16:02:58,0.333,0,1,0,1.38
2022-04-19 16:03:00,0.333,1,0,0,1.34
2022-04-19 16:03:02,0.667,0,1,1,1.38
2022-04-19 16:03:04,1.33,0,2,2,1.38
2022-04-19 16:03:06,0.333,0,1,0,1.38
2022-04-19 16:03:08,0,0,0,0,1.38
2022-04-19 16:03:10,0.333,0,0,1,1.38
2022-04-19 16:03:12,0,0,0,0,1.38
2022-04-19 16:03:14,0,0,0,0,1.24
2022-04-19 16:03:16,0,0,0,0,1.24
2022-04-19 16:03:18,0.333,0,1,0,1.24
2022-04-19 16:03:20,0,0,0,0,1.17
2022-04-19 16:03:22,0,0,0,0,1.17
2022-04-19 16:03:24,1,2,0,1,1.17
2022-04-19 16:03:26,0.333,0,1,0,1.31
2022-04-19 16:03:28,0.333,0,0,1,1.28
2022-04-19 16:03:30,0.333,0,1,0,1.17
2022-04-19 16:03:32,0.667,0,2,0,1.17
2022-04-19 16:03:34,0,0,0,0,1.10
2022-04-19 16:03:36,0.667,1,1,0,1.10
2022-04-19 16:03:38,0.333,1,0,0,1.14
2022-04-19 16:03:40,0,0,0,0,1.14
2022-04-19 16:03:42,1,0,1,2,1.31
2022-04-19 16:03:44,0.333,1,0,0,1.38
2022-04-19 16:03:46,0,0,0,0,1.34
2022-04-19 16:03:48,0.667,0,1,1,1.34
2022-04-19 16:03:50,0.333,0,1,0,1.38
2022-04-19 16:03:52,0.333,0,0,1,1.38
2022-04-19 16:03:54,0.667,0,2,0,1.21
2022-04-19 16:03:56,0.667,1,0,1,1.28
2022-04-19 16:03:58,0,0,0,0,1.24
2022-04-19 16:04:00,1.33,0,1,3,1.31
2022-04-19 16:04:02,0.333,1,0,0,1.17
2022-04-19 16:04:04,0,0,0,0,1.21
2022-04-19 16:04:06,0,0,0,0,1.17
2022-04-19 16:04:08,0,0,0,0,1.07
2022-04-19 16:04:10,0.333,1,0,0,1.07
2022-04-19 16:04:12,0,0,0,0,0.897
2022-04-19 16:04:14,0.667,2,0,0,0.966
2022-04-19 16:04:16,0,0,0,0,1.03
2022-04-19 16:04:18,0,0,0,0,1
2022-04-19 16:04:20,0.333,0,0,1,1.07
2022-04-19 16:04:22,0.667,0,2,0,1.14
2022-04-19 16:04:24,0.333,1,0,0,1.07
2022-04-19 16:04:26,1,0,1,2,1.17
2022-04-19 16:04:28,0.333,0,0,1,1.21
2022-04-19 16:04:30,1.33,0,3,1,1.17
2022-04-19 16:04:32,0,0,0,0,1.10
2022-04-19 16:04:34,0,0,0,0,1.07
2022-04-19 16:04:36,0.333,0,1,0,1.10
2022-04-19 16:04:38,0.333,1,0,0,1.21
2022-04-19 16:04:40,0,0,0,0,1.21
2022-04-19 16:04:42,0,0,0,0,1.21
2022-04-19 16:04:44,0.333,0,0,1,1.21
2022-04-19 16:04:46,0.333,0,0,1,1.28
2022-04-19 16:04:48,0,0,0,0,1.24
2022-04-19 16:04:50,0,0,0,0,1.14
2022-04-19 16:04:52,0.667,1,1,0,1.14
2022-04-19 16:04:54,1,0,2,1,1.24
2022-04-19 16:04:56,0.667,2,0,0,1.24
2022-04-19 16:04:58,0.667,0,0,2,1.45
2022-04-19 16:05:00,0,0,0,0,1.41
2022-04-19 16:05:02,0.333,0,1,0,1.48
2022-04-19 16:05:04,1,0,2,1,1.59
2022-04-19 16:05:06,1,1,0,2,1.62
2022-04-19 16:05:08,1,1,2,0,1.66
2022-04-19 16:05:10,0.333,1,0,0,1.66
2022-04-19 16:05:12,0.333,0,0,1,1.66
2022-04-19 16:05:14,0.333,0,1,0,1.59
2022-04-19 16:05:16,0.333,0,0,1,1.66
2022-04-19 16:05:18,1.33,1,0,3,1.83
2022-04-19 16:05:20,0.333,0,0,1,1.90
2022-04-19 16:05:22,0,0,0,0,1.72
2022-04-19 16:05:24,1,0,2,1,1.72
2022-04-19 16:05:26,0.333,1,0,0,1.52
2022-04-19 16:05:28,0.667,0,0,2,1.48
2022-04-19 16:05:30,0,0,0,0,1.45
2022-04-19 16:05:32,0.333,1,0,0,1.48
2022-04-19 16:05:34,0,0,0,0,1.34
2022-04-19 16:05:36,0.667,1,0,1,1.31
2022-04-19 16:05:38,0.333,0,1,0,1.21
2022-04-19 16:05:40,0,0,0,0,1.17
2022-04-19 16:05:42,0,0,0,0,1.14
2022-04-19 16:05:44,0,0,0,0,1
2022-04-19 16:05:46,0.333,0,1,0,0.966
2022-04-19 16:05:48,0.667,1,1,0,0.828
2022-04-19 16:05:50,0.333,0,1,0,0.931
2022-04-19 16:05:52,0.333,1,0,0,0.966
2022-04-19 16:05:54,0.667,1,0,1,0.931
2022-04-19 16:05:56,0,0,0,0,0.897
2022-04-19 16:05:58,0.333,1,0,0,0.897
2022-04-19 16:06:00,0.333,0,0,1,0.897
2022-04-19 16:06:02,0.667,0,1,1,0.931
2022-04-19 16:06:04,1,1,1,1,1.03
2022-04-19 16:06:06,0.667,1,0,1,1.07
2022-04-19 16:06:08,0.333,0,1,0,1.07
2022-04-19 16:06:10,0.333,0,0,1,1.14
2022-04-19 16:06:12,0.999,2,0.996,0,1.21
2022-04-19 16:06:14,0,0,0,0,1.24
2022-04-19 16:06:16,1,2,0,1,1.31
2022-04-19 16:06:18,0,0,0,0,1.17
2022-04-19 16:06:20,0,0,0,0,1.10
2022-04-19 16:06:22,0.333,0,0,1,1.14
2022-04-19 16:06:24,1,1,2,0,1.17
2022-04-19 16:06:26,0.667,1,0,1,1.28
2022-04-19 16:06:28,0,0,0,0,1.24
2022-04-19 16:06:30,0.333,1,0,0,1.24
2022-04-19 16:06:32,0,0,0,0,1.28
2022-04-19 16:06:34,0.333,1,0,0,1.21
2022-04-19 16:06:36,0.667,0,1,1,1.14
2022-04-19 16:06:38,0.667,2,0,0,1.10
2022-04-19 16:06:40,0.333,0,1,0,1.10
2022-04-19 16:06:42,0.333,0,0,1,1.07
2022-04-19 16:06:44,0,0,0,0,1.14
2022-04-19 16:06:46,0.667,1,0,1,1.10
2022-04-19 16:06:48,0,0,0,0,1.17
2022-04-19 16:06:50,0.667,1,0,1,1.24
2022-04-19 16:06:52,0.333,1,0,0,1.21
2022-04-19 16:06:54,0.333,0,1,0,1.07
2022-04-19 16:06:56,0,0,0,0,1.00
2022-04-19 16:06:58,1,1,2,0,1.10
2022-04-19 16:07:00,1,1,2,0,1.03
2022-04-19 16:07:02,0,0,0,0,1
2022-04-19 16:07:04,0.333,0,0,1,1.03
2022-04-19 16:07:06,0.333,0,0,1,1
2022-04-19 16:07:08,0.667,1,0,1,1.07
2022-04-19 16:07:10,0.667,2,0,0,1.07
2022-04-19 16:07:12,0.667,0,1,1,1.10
2022-04-19 16:07:14,0.333,0,0,1,1.14
2022-04-19 16:07:16,0.333,0,0,1,1.10
2022-04-19 16:07:18,0.667,2,0,0,1.14
2022-04-19 16:07:20,0.333,0,1,0,1.14
2022-04-19 16:07:22,0.333,0,1,0,1.24
2022-04-19 16:07:24,0.333,0,1,0,1.28
2022-04-19 16:07:26,0.667,0,0,2,1.31
2022-04-19 16:07:28,0.333,0,1,0,1.28
2022-04-19 16:07:30,0.667,0,1,1,1.24
2022-04-19 16:07:32,0.667,0,1,1,1.31
2022-04-19 16:07:34,0.333,0,0,1,1.38
2022-04-19 16:07:36,0.667,0,2,0,1.41
2022-04-19 16:07:38,0,0,0,0,1.34
2022-04-19 16:07:40,0,0,0,0,1.24
2022-04-19 16:07:42,0.333,1,0,0,1.17
2022-04-19 16:07:44,0.333,0,0,1,1.17
2022-04-19 16:07:46,0.333,1,0,0,1.21
2022-04-19 16:07:48,0.333,1,0,0,1.14
2022-04-19 16:07:50,0,0,0,0,1.03
2022-04-19 16:07:52,0.667,0,1,1,1.07
2022-04-19 16:07:54,0.333,1,0,0,1.14
2022-04-19 16:07:56,0.667,0,1,1,1.14
2022-04-19 16:07:58,0.667,1,0,1,1.17
2022-04-19 16:08:00,0.333,0,1,0,1.17
2022-04-19 16:08:02,0.333,0,0,1,1.14
2022-04-19 16:08:04,0.333,0,0,1,1.10
2022-04-19 16:08:06,0.667,1,1,0,1.14
2022-04-19 16:08:08,0.333,1,0,0,1.17
2022-04-19 16:08:10,0,0,0,0,1.28
2022-04-19 16:08:12,1.67,2.02,1,2,1.34
2022-04-19 16:08:14,0,0,0,0,1.31
2022-04-19 16:08:16,1,2,0,1,1.34
2022-04-19 16:08:18,0,0,0,0,1.31
2022-04-19 16:08:20,0.667,0,1,1,1.38
2022-04-19 16:08:22,0.667,1,0,1,1.31
2022-04-19 16:08:24,1,0,2,1,1.41
2022-04-19 16:08:26,1,2,1,0,1.48
2022-04-19 16:08:28,0.667,0,2,0,1.41
2022-04-19 16:08:30,0.333,0,1,0,1.38
2022-04-19 16:08:32,0.667,2,0,0,1.41
2022-04-19 16:08:34,0,0,0,0,1.34
2022-04-19 16:08:36,0,0,0,0,1.28
2022-04-19 16:08:38,0.667,1,1,0,1.28
2022-04-19 16:08:40,1.33,2,1,1,1.45
2022-04-19 16:08:42,0,0,0,0,1.28
2022-04-19 16:08:44,0,0,0,0,1.31
2022-04-19 16:08:46,0,0,0,0,1.21
2022-04-19 16:08:48,0.667,2,0,0,1.31
2022-04-19 16:08:50,0,0,0,0,1.28
2022-04-19 16:08:52,0,0,0,0,1.21
2022-04-19 16:08:54,0.667,0,2,0,1.17
2022-04-19 16:08:56,0.333,1,0,0,1.14
2022-04-19 16:08:58,0,0,0,0,1.07
2022-04-19 16:09:00,1.67,3,1,1,1.21
2022-04-19 16:09:02,0.333,0,1,0,1.21
2022-04-19 16:09:04,0.333,1,0,0,1.34
2022-04-19 16:09:06,0.667,1,1,0,1.38
2022-04-19 16:09:08,0,0,0,0,1.31
2022-04-19 16:09:10,0.333,0,1,0,1.24
2022-04-19 16:09:12,1,1,1,1,1.34
2022-04-19 16:09:14,0,0,0,0,1.31
2022-04-19 16:09:16,0.333,0,0,1,1.28
2022-04-19 16:09:18,1.33,1,1,2,1.38
2022-04-19 16:09:20,0.667,1,1,0,1.41
2022-04-19 16:09:22,1,0,2,1,1.52
2022-04-19 16:09:24,0.667,1,0,1,1.48
2022-04-19 16:09:26,0,0,0,0,1.41
2022-04-19 16:09:28,0.333,0,1,0,1.45
2022-04-19 16:09:30,0.333,0,0,1,1.34
2022-04-19 16:09:32,0,0,0,0,1.21
2022-04-19 16:09:34,0,0,0,0,1.17
2022-04-19 16:09:36,1,1,2,0,1.17
2022-04-19 16:09:38,0.667,2,0,0,1.28
2022-04-19 16:09:40,0,0,0,0,1.24
2022-04-19 16:09:42,0.333,0,0,1,1.21
2022-04-19 16:09:44,1.00,1.00,2,0,1.41
2022-04-19 16:09:46,0.667,1,0,1,1.48
2022-04-19 16:09:48,0.667,1,1,0,1.41
2022-04-19 16:09:50,0,0,0,0,1.31
2022-04-19 16:09:52,0.667,1,0,1,1.31
2022-04-19 16:09:54,0.333,0,1,0,1.34
2022-04-19 16:09:56,0.333,0,1,0,1.38
2022-04-19 16:09:58,1.33,1,3,0,1.48
2022-04-19 16:10:00,0.333,0,0,1,1.48
2022-04-19 16:10:02,0,0,0,0,1.48
2022-04-19 16:10:04,0.667,2,0,0,1.55
2022-04-19 16:10:06,0.333,1,0,0,1.41
2022-04-19 16:10:08,0.333,0,1,0,1.38
2022-04-19 16:10:10,0.333,0,1,0,1.41
2022-04-19 16:10:12,0.333,1,0,0,1.38
2022-04-19 16:10:14,0,0,0,0,1.24
2022-04-19 16:10:16,0.667,1,1,0,1.24
2022-04-19 16:10:18,0.333,1,0,0,1.24
2022-04-19 16:10:20,0.333,0,1,0,1.31
2022-04-19 16:10:22,0.667,1,1,0,1.31
2022-04-19 16:10:24,0.333,0,0,1,1.41
2022-04-19 16:10:26,0.667,2,0,0,1.52
2022-04-19 16:10:28,0.333,0,0,1,1.45
2022-04-19 16:10:30,0.333,1,0,0,1.48
2022-04-19 16:10:32,0,0,0,0,1.62
2022-04-19 16:10:34,0.667,1,1,0,1.62
2022-04-19 16:10:36,0,0,0,0,1.66
2022-04-19 16:10:38,1.67,3,1,1,1.79
2022-04-19 16:10:40,0.667,1,1,0,1.76
2022-04-19 16:10:42,0.333,0,1,0,1.79
2022-04-19 16:10:44,0.667,2,0,0,1.86
2022-04-19 16:10:46,0,0,0,0,1.76
2022-04-19 16:10:48,0.333,0,0,1,1.72
2022-04-19 16:10:50,0.333,0,0,1,1.69
2022-04-19 16:10:52,0.333,0,0,1,1.52
2022-04-19 16:10:54,0.333,0,0,1,1.38
2022-04-19 16:10:56,0.333,0,0,1,1.28
2022-04-19 16:10:58,0,0,0,0,1.21
2022-04-19 16:11:00,0.667,2,0,0,1.14
2022-04-19 16:11:02,0.667,1,1,0,1.17
2022-04-19 16:11:04,1.33,0,2,2,1.17
2022-04-19 16:11:06,0,0,0,0,1.17
2022-04-19 16:11:08,0.667,0,0,2,1.17
2022-04-19 16:11:10,0,0,0,0,1.07
2022-04-19 16:11:12,0.667,1,1,0,1.10
2022-04-19 16:11:14,0,0,0,0,1.03
2022-04-19 16:11:16,0.333,0,0,1,1.14
2022-04-19 16:11:18,0.333,0,1,0,1.14
2022-04-19 16:11:20,0.333,0,1,0,1.14
2022-04-19 16:11:22,2.33,3,2,2,1.34
2022-04-19 16:11:24,1,2,0,1,1.48
2022-04-19 16:11:26,0.333,0,0,1,1.52
2022-04-19 16:11:28,0,0,0,0,1.59
2022-04-19 16:11:30,0,0,0,0,1.55
2022-04-19 16:11:32,0,0,0,0,1.45
2022-04-19 16:11:34,0.667,0,1,1,1.41
2022-04-19 16:11:36,0.333,1,0,0,1.41
2022-04-19 16:11:38,0,0,0,0,1.38
2022-04-19 16:11:40,0.333,1,0,0,1.38
2022-04-19 16:11:42,0,0,0,0,1.41
2022-04-19 16:11:44,0.333,0,1,0,1.41
2022-04-19 16:11:46,1.33,0,1,3,1.59
2022-04-19 16:11:48,0.333,0,1,0,1.62
2022-04-19 16:11:50,0.333,0,1,0,1.66
2022-04-19 16:11:52,0.333,0,1,0,1.41
2022-04-19 16:11:54,0.333,0,1,0,1.31
2022-04-19 16:11:56,0.333,0,1,0,1.24
2022-04-19 16:11:58,0.333,0,0,1,1.28
2022-04-19 16:12:00,0.667,1,0,1,1.34
2022-04-19 16:12:02,0.667,1,1,0,1.45
2022-04-19 16:12:04,0.333,0,1,0,1.38
2022-04-19 16:12:06,0.333,1,0,0,1.34
2022-04-19 16:12:08,0.667,0,1,1,1.48
2022-04-19 16:12:10,0,0,0,0,1.41
2022-04-19 16:12:12,1,1,2,0,1.52
2022-04-19 16:12:14,0.333,0,1,0,1.48
2022-04-19 16:12:16,0.333,0,1,0,1.41
2022-04-19 16:12:18,0.333,0,0,1,1.38
2022-04-19 16:12:20,0.667,1,1,0,1.45
2022-04-19 16:12:22,0,0,0,0,1.48
2022-04-19 16:12:24,0,0,0,0,1.41
2022-04-19 16:12:26,0.333,0,1,0,1.38
2022-04-19 16:12:28,0,0,0,0,1.38
2022-04-19 16:12:30,0.667,1,1,0,1.34
2022-04-19 16:12:32,0.333,0,0,1,1.31
2022-04-19 16:12:34,1.33,4,0,0,1.34
2022-04-19 16:12:36,0,0,0,0,1.28
2022-04-19 16:12:38,0.333,0,1,0,1.21
2022-04-19 16:12:40,0,0,0,0,1.21
2022-04-19 16:12:42,0.333,0,0,1,1.07
2022-04-19 16:12:44,0.333,0,0,1,1
2022-04-19 16:12:46,0,0,0,0,1
2022-04-19 16:12:48,1.33,1,2,1,1.07
2022-04-19 16:12:50,0.333,0,1,0,0.931
2022-04-19 16:12:52,0.333,0,1,0,1.07
2022-04-19 16:12:54,0.333,0,0,1,1.17
2022-04-19 16:12:56,0,0,0,0,1.21
2022-04-19 16:12:58,0.333,1,0,0,1.24
2022-04-19 16:13:00,0.333,0,1,0,1.24
2022-04-19 16:13:02,1,1,1,1,1.34
2022-04-19 16:13:04,0,0,0,0,1.17
2022-04-19 16:13:06,0.667,0,1,1,1.21
2022-04-19 16:13:08,1,1,1,1,1.21
2022-04-19 16:13:10,0,0,0,0,1.24
2022-04-19 16:13:12,1,2,0,1,1.31
2022-04-19 16:13:14,0,0,0,0,1.28
2022-04-19 16:13:16,0.333,1,0,0,1.31
2022-04-19 16:13:18,0.333,0,1,0,1.21
2022-04-19 16:13:20,0.667,1,0,1,1.21
2022-04-19 16:13:22,0.333,1,0,0,1.21
2022-04-19 16:13:24,0.333,1,0,0,1.21
2022-04-19 16:13:26,0,0,0,0,1.14
2022-04-19 16:13:28,0.333,0,0,1,1.14
2022-04-19 16:13:30,0,0,0,0,1.10
2022-04-19 16:13:32,0,0,0,0,1.07
2022-04-19 16:13:34,0,0,0,0,1.24
2022-04-19 16:13:36,0,0,0,0,1.21
2022-04-19 16:13:38,0,0,0,0,1.07
2022-04-19 16:13:40,0,0,0,0,1.10
2022-04-19 16:13:42,0,0,0,0,1.03
2022-04-19 16:13:44,0.667,1,1,0,1.14
2022-04-19 16:13:46,0.333,0,0,1,1.17
2022-04-19 16:13:48,1,1,1,1,1.17
2022-04-19 16:13:50,0.667,1,0,1,1.14
2022-04-19 16:13:52,0.667,2,0,0,1.10
2022-04-19 16:13:54,0.333,0,1,0,1.17
2022-04-19 16:13:56,0.333,0,1,0,1.31
2022-04-19 16:13:58,1,1,0,2,1.41
2022-04-19 16:14:00,0,0,0,0,1.38
2022-04-19 16:14:02,0.333,0,1,0,1.28
2022-04-19 16:14:04,0.667,0,1,1,1.31
2022-04-19 16:14:06,0.333,1,0,0,1.34
2022-04-19 16:14:08,0.333,0,0,1,1.34
2022-04-19 16:14:10,0.333,1,0,0,1.31
2022-04-19 16:14:12,0.667,0,0,2,1.34
2022-04-19 16:14:14,0.667,0,1,1,1.34
2022-04-19 16:14:16,1.33,0,3,1,1.48
2022-04-19 16:14:18,0.333,0,1,0,1.41
2022-04-19 16:14:20,1,0,1,2,1.55
2022-04-19 16:14:22,0.667,0,1,1,1.48
2022-04-19 16:14:24,0.667,0,0,2,1.41
2022-04-19 16:14:26,0.333,0,0,1,1.38
2022-04-19 16:14:28,0.333,0,0,1,1.41
2022-04-19 16:14:30,1,0,2,1,1.48
2022-04-19 16:14:32,0,0,0,0,1.45
2022-04-19 16:14:34,0.333,0,0,1,1.52
2022-04-19 16:14:36,0.333,1,0,0,1.52
2022-04-19 16:14:38,0.333,0,0,1,1.55
2022-04-19 16:14:40,0.667,1,0,1,1.59
2022-04-19 16:14:42,0.333,0,1,0,1.55
2022-04-19 16:14:44,0,0,0,0,1.48
2022-04-19 16:14:46,1,2,1,0,1.48
2022-04-19 16:14:48,1,0,1,2,1.52
2022-04-19 16:14:50,0.333,0,1,0,1.55
2022-04-19 16:14:52,0.333,0,1,0,1.48
2022-04-19 16:14:54,1,1,1,1,1.52
2022-04-19 16:14:56,0,0,0,0,1.41
2022-04-19 16:14:58,0.333,0,0,1,1.45
2022-04-19 16:15:00,0.333,0,1,0,1.38
2022-04-19 16:15:02,1,2,1,0,1.41
2022-04-19 16:15:04,1,1,1,1,1.55
2022-04-19 16:15:06,0.333,0,0,1,1.48
2022-04-19 16:15:08,0,0,0,0,1.45
2022-04-19 16:15:10,0,0,0,0,1.41
2022-04-19 16:15:12,0.333,0,0,1,1.41
2022-04-19 16:15:14,0.333,0,1,0,1.41
2022-04-19 16:15:16,1,0,1,2,1.38
2022-04-19 16:15:18,0,0,0,0,1.28
2022-04-19 16:15:20,0.333,0,1,0,1.28
2022-04-19 16:15:22,0.667,1,1,0,1.38
2022-04-19 16:15:24,0,0,0,0,1.28
2022-04-19 16:15:26,0.667,2,0,0,1.34
2022-04-19 16:15:28,0.333,1,0,0,1.38
2022-04-19 16:15:30,0.667,1,0,1,1.45
2022-04-19 16:15:32,0.667,0,1,1,1.38
2022-04-19 16:15:34,0,0,0,0,1.28
2022-04-19 16:15:36,0.333,1,0,0,1.28
2022-04-19 16:15:38,0.333,1,0,0,1.38
2022-04-19 16:15:40,0.333,0,1,0,1.41
2022-04-19 16:15:42,0.333,0,0,1,1.38
2022-04-19 16:15:44,0.333,0,0,1,1.34
2022-04-19 16:15:46,0,0,0,0,1.21
2022-04-19 16:15:48,0.333,0,1,0,1.24
2022-04-19 16:15:50,0,0,0,0,1.17
2022-04-19 16:15:52,0,0,0,0,1.07
2022-04-19 16:15:54,0.333,1,0,0,1.14
2022-04-19 16:15:56,0.333,1,0,0,1.10
2022-04-19 16:15:58,0,0,0,0,1.10
2022-04-19 16:16:00,0.667,1,1,0,1.07
2022-04-19 16:16:02,0,0,0,0,1.07
2022-04-19 16:16:04,0.333,0,0,1,1.07
2022-04-19 16:16:06,0.667,0,1,1,1
2022-04-19 16:16:08,1,3,0,0,1.10
2022-04-19 16:16:10,0,0,0,0,1.14
2022-04-19 16:16:12,0.333,0,0,1,1.14
2022-04-19 16:16:14,0.333,1,0,0,1.17
2022-04-19 16:16:16,0,0,0,0,1.17
2022-04-19 16:16:18,0,0,0,0,1.10
2022-04-19 16:16:20,0.667,0,0,2,1.21
2022-04-19 16:16:22,1.67,1,2,2,1.41
2022-04-19 16:16:24,0,0,0,0,1.41
2022-04-19 16:16:26,1,2,0,1,1.48
2022-04-19 16:16:28,0.333,0,1,0,1.55
2022-04-19 16:16:30,1,1,1,1,1.55
2022-04-19 16:16:32,1,0,0,3,1.66
2022-04-19 16:16:34,0.333,0,0,1,1.62
2022-04-19 16:16:36,0.333,0,1,0,1.59
2022-04-19 16:16:38,0,0,0,0,1.55
2022-04-19 16:16:40,1,1,2,0,1.62
2022-04-19 16:16:42,0.333,1,0,0,1.66
2022-04-19 16:16:44,0,0,0,0,1.66
2022-04-19 16:16:46,0,0,0,0,1.72
2022-04-19 16:16:48,0,0,0,0,1.66
2022-04-19 16:16:50,0.333,0,0,1,1.52
2022-04-19 16:16:52,0,0,0,0,1.31
2022-04-19 16:16:54,0,0,0,0,1.24
2022-04-19 16:16:56,1,1,2,0,1.21
2022-04-19 16:16:58,0.667,1,0,1,1.24
2022-04-19 16:17:00,1,1,0,2,1.24
2022-04-19 16:17:02,1.67,4,1,0,1.38
2022-04-19 16:17:04,0.667,0,1,1,1.45
2022-04-19 16:17:06,0,0,0,0,1.38
2022-04-19 16:17:08,0,0,0,0,1.38
2022-04-19 16:17:10,0.333,0,1,0,1.21
2022-04-19 16:17:12,1,0,2,1,1.28
2022-04-19 16:17:14,0,0,0,0,1.21
2022-04-19 16:17:16,0,0,0,0,1.28
2022-04-19 16:17:18,0.333,0,1,0,1.31
2022-04-19 16:17:20,0.667,0,1,1,1.38
2022-04-19 16:17:22,1,1,1,1,1.52
2022-04-19 16:17:24,0.333,0,0,1,1.69
2022-04-19 16:17:26,0,0,0,0,1.59
2022-04-19 16:17:28,0.333,0,1,0,1.62
2022-04-19 16:17:30,1.33,1,0,3,1.62
2022-04-19 16:17:32,0,0,0,0,1.38
2022-04-19 16:17:34,0.333,0,1,0,1.24
2022-04-19 16:17:36,0,0,0,0,1.28
2022-04-19 16:17:38,0.333,0,0,1,1.28
2022-04-19 16:17:40,0.667,2,0,0,1.28
2022-04-19 16:17:42,0,0,0,0,1.17
2022-04-19 16:17:44,0.667,1,0,1,1.24
2022-04-19 16:17:46,0,0,0,0,1.31
2022-04-19 16:17:48,1,3,0,0,1.34
2022-04-19 16:17:50,1,1,1,1,1.38
2022-04-19 16:17:52,0.333,0,0,1,1.17
2022-04-19 16:17:54,0.333,0,1,0,1.17
2022-04-19 16:17:56,0,0,0,0,1.21
2022-04-19 16:17:58,0,0,0,0,1.24
2022-04-19 16:18:00,1,2,0,1,1.17
2022-04-19 16:18:02,0.667,1,1,0,1.28
2022-04-19 16:18:04,0,0,0,0,1.21
2022-04-19 16:18:06,1.33,2,2,0,1.38
2022-04-19 16:18:08,0,0,0,0,1.34
2022-04-19 16:18:10,0.333,1,0,0,1.28
2022-04-19 16:18:12,0,0,0,0,1.24
2022-04-19 16:18:14,0.333,1,0,0,1.17
2022-04-19 16:18:16,2,2,3,1,1.41
2022-04-19 16:18:18,0.333,1,0,0,1.28
2022-04-19 16:18:20,0,0,0,0,1.34
2022-04-19 16:18:22,0.333,0,1,0,1.38
2022-04-19 16:18:24,1,2,1,0,1.38
2022-04-19 16:18:26,0.333,0,0,1,1.31
2022-04-19 16:18:28,0.667,1,1,0,1.48
2022-04-19 16:18:30,1,2,1,0,1.45
2022-04-19 16:18:32,0.333,1,0,0,1.45
2022-04-19 16:18:34,0.667,1,1,0,1.59
2022-04-19 16:18:36,1,0,3,0,1.69
2022-04-19 16:18:38,0,0,0,0,1.72
2022-04-19 16:18:40,0,0,0,0,1.72
2022-04-19 16:18:42,0.667,2,0,0,1.83
