"Time","Average Response Rate","edge-server-cv-74d975f7cd-bbbwx Response","edge-server-cv-74d975f7cd-gw56j Response","edge-server-cv-74d975f7cd-z798l Response"
2022-04-19 16:02:44,326 ms,486 ms,245 ms,248 ms
2022-04-19 16:02:46,283 ms,412 ms,193 ms,243 ms
2022-04-19 16:02:48,263 ms,353 ms,193 ms,241 ms
2022-04-19 16:02:50,277 ms,353 ms,238 ms,240 ms
2022-04-19 16:02:52,310 ms,353 ms,299 ms,277 ms
2022-04-19 16:02:54,289 ms,208 ms,359 ms,300 ms
2022-04-19 16:02:56,315 ms,234 ms,397 ms,316 ms
2022-04-19 16:02:58,327 ms,263 ms,402 ms,316 ms
2022-04-19 16:03:00,385 ms,265 ms,479 ms,410 ms
2022-04-19 16:03:02,310 ms,265 ms,406 ms,258 ms
2022-04-19 16:03:04,355 ms,263 ms,343 ms,460 ms
2022-04-19 16:03:06,381 ms,271 ms,330 ms,541 ms
2022-04-19 16:03:08,341 ms,271 ms,258 ms,495 ms
2022-04-19 16:03:10,,,274 ms,503 ms
2022-04-19 16:03:12,,,267 ms,553 ms
2022-04-19 16:03:14,,,276 ms,276 ms
2022-04-19 16:03:16,,,275 ms,252 ms
2022-04-19 16:03:18,,,434 ms,299 ms
2022-04-19 16:03:20,391 ms,280 ms,593 ms,301 ms
2022-04-19 16:03:22,388 ms,280 ms,593 ms,291 ms
2022-04-19 16:03:24,348 ms,305 ms,433 ms,305 ms
2022-04-19 16:03:26,311 ms,320 ms,344 ms,268 ms
2022-04-19 16:03:28,291 ms,324 ms,282 ms,267 ms
2022-04-19 16:03:30,288 ms,324 ms,268 ms,271 ms
2022-04-19 16:03:32,289 ms,324 ms,276 ms,268 ms
2022-04-19 16:03:34,345 ms,443 ms,333 ms,260 ms
2022-04-19 16:03:36,344 ms,429 ms,343 ms,260 ms
2022-04-19 16:03:38,,400 ms,343 ms,
2022-04-19 16:03:40,336 ms,400 ms,352 ms,256 ms
2022-04-19 16:03:42,392 ms,259 ms,275 ms,642 ms
2022-04-19 16:03:44,405 ms,300 ms,274 ms,642 ms
2022-04-19 16:03:46,403 ms,300 ms,268 ms,642 ms
2022-04-19 16:03:48,412 ms,303 ms,290 ms,644 ms
2022-04-19 16:03:50,354 ms,317 ms,283 ms,462 ms
2022-04-19 16:03:52,298 ms,329 ms,293 ms,272 ms
2022-04-19 16:03:54,,,290 ms,275 ms
2022-04-19 16:03:56,393 ms,621 ms,283 ms,276 ms
2022-04-19 16:03:58,392 ms,621 ms,275 ms,279 ms
2022-04-19 16:04:00,423 ms,621 ms,275 ms,374 ms
2022-04-19 16:04:02,369 ms,425 ms,270 ms,411 ms
2022-04-19 16:04:04,402 ms,425 ms,268 ms,511 ms
2022-04-19 16:04:06,356 ms,229 ms,268 ms,570 ms
2022-04-19 16:04:08,356 ms,229 ms,268 ms,570 ms
2022-04-19 16:04:10,434 ms,256 ms,266 ms,779 ms
2022-04-19 16:04:12,264 ms,269 ms,266 ms,257 ms
2022-04-19 16:04:14,306 ms,383 ms,271 ms,262 ms
2022-04-19 16:04:16,307 ms,383 ms,271 ms,265 ms
2022-04-19 16:04:18,308 ms,388 ms,271 ms,265 ms
2022-04-19 16:04:20,316 ms,388 ms,274 ms,285 ms
2022-04-19 16:04:22,426 ms,388 ms,488 ms,403 ms
2022-04-19 16:04:24,403 ms,265 ms,474 ms,470 ms
2022-04-19 16:04:26,403 ms,262 ms,478 ms,470 ms
2022-04-19 16:04:28,416 ms,261 ms,518 ms,468 ms
2022-04-19 16:04:30,365 ms,261 ms,452 ms,384 ms
2022-04-19 16:04:32,334 ms,261 ms,358 ms,384 ms
2022-04-19 16:04:34,,,378 ms,384 ms
2022-04-19 16:04:36,,,333 ms,299 ms
2022-04-19 16:04:38,443 ms,691 ms,333 ms,304 ms
2022-04-19 16:04:40,,557 ms,308 ms,
2022-04-19 16:04:42,372 ms,555 ms,308 ms,254 ms
2022-04-19 16:04:44,338 ms,487 ms,274 ms,253 ms
2022-04-19 16:04:46,293 ms,316 ms,254 ms,309 ms
2022-04-19 16:04:48,300 ms,338 ms,252 ms,309 ms
2022-04-19 16:04:50,282 ms,270 ms,252 ms,323 ms
2022-04-19 16:04:52,289 ms,275 ms,268 ms,323 ms
2022-04-19 16:04:54,258 ms,252 ms,249 ms,274 ms
2022-04-19 16:04:56,357 ms,555 ms,249 ms,266 ms
2022-04-19 16:04:58,465 ms,517 ms,307 ms,572 ms
2022-04-19 16:05:00,461 ms,515 ms,298 ms,572 ms
2022-04-19 16:05:02,530 ms,634 ms,324 ms,632 ms
2022-04-19 16:05:04,536 ms,625 ms,355 ms,627 ms
2022-04-19 16:05:06,355 ms,268 ms,333 ms,464 ms
2022-04-19 16:05:08,300 ms,286 ms,365 ms,248 ms
2022-04-19 16:05:10,297 ms,276 ms,367 ms,248 ms
2022-04-19 16:05:12,283 ms,276 ms,334 ms,238 ms
2022-04-19 16:05:14,271 ms,276 ms,318 ms,219 ms
2022-04-19 16:05:16,319 ms,272 ms,307 ms,376 ms
2022-04-19 16:05:18,349 ms,240 ms,272 ms,535 ms
2022-04-19 16:05:20,333 ms,245 ms,250 ms,505 ms
2022-04-19 16:05:22,345 ms,237 ms,250 ms,548 ms
2022-04-19 16:05:24,386 ms,243 ms,402 ms,512 ms
2022-04-19 16:05:26,403 ms,243 ms,402 ms,563 ms
2022-04-19 16:05:28,365 ms,263 ms,473 ms,359 ms
2022-04-19 16:05:30,370 ms,263 ms,473 ms,373 ms
2022-04-19 16:05:32,360 ms,254 ms,473 ms,354 ms
2022-04-19 16:05:34,,290 ms,,368 ms
2022-04-19 16:05:36,,270 ms,,391 ms
2022-04-19 16:05:38,245 ms,270 ms,243 ms,223 ms
2022-04-19 16:05:40,235 ms,267 ms,249 ms,187 ms
2022-04-19 16:05:42,223 ms,243 ms,238 ms,187 ms
2022-04-19 16:05:44,258 ms,259 ms,238 ms,276 ms
2022-04-19 16:05:46,288 ms,257 ms,244 ms,365 ms
2022-04-19 16:05:48,372 ms,381 ms,370 ms,365 ms
2022-04-19 16:05:50,388 ms,349 ms,449 ms,365 ms
2022-04-19 16:05:52,,311 ms,449 ms,
2022-04-19 16:05:54,350 ms,303 ms,449 ms,300 ms
2022-04-19 16:05:56,343 ms,303 ms,450 ms,277 ms
2022-04-19 16:05:58,345 ms,268 ms,268 ms,499 ms
2022-04-19 16:06:00,328 ms,277 ms,265 ms,441 ms
2022-04-19 16:06:02,320 ms,283 ms,263 ms,414 ms
2022-04-19 16:06:04,325 ms,299 ms,239 ms,438 ms
2022-04-19 16:06:06,275 ms,285 ms,239 ms,301 ms
2022-04-19 16:06:08,285 ms,317 ms,243 ms,294 ms
2022-04-19 16:06:10,283 ms,308 ms,246 ms,296 ms
2022-04-19 16:06:12,301 ms,349 ms,256 ms,297 ms
2022-04-19 16:06:14,302 ms,360 ms,273 ms,273 ms
2022-04-19 16:06:16,322 ms,417 ms,273 ms,277 ms
2022-04-19 16:06:18,349 ms,451 ms,319 ms,277 ms
2022-04-19 16:06:20,348 ms,451 ms,319 ms,276 ms
2022-04-19 16:06:22,381 ms,470 ms,399 ms,275 ms
2022-04-19 16:06:24,367 ms,372 ms,454 ms,275 ms
2022-04-19 16:06:26,371 ms,256 ms,472 ms,384 ms
2022-04-19 16:06:28,371 ms,256 ms,472 ms,384 ms
2022-04-19 16:06:30,388 ms,266 ms,472 ms,425 ms
2022-04-19 16:06:32,371 ms,262 ms,424 ms,429 ms
2022-04-19 16:06:34,299 ms,278 ms,234 ms,386 ms
2022-04-19 16:06:36,270 ms,280 ms,254 ms,276 ms
2022-04-19 16:06:38,288 ms,333 ms,254 ms,276 ms
2022-04-19 16:06:40,298 ms,364 ms,274 ms,254 ms
2022-04-19 16:06:42,337 ms,388 ms,349 ms,274 ms
2022-04-19 16:06:44,354 ms,437 ms,355 ms,271 ms
2022-04-19 16:06:46,336 ms,353 ms,375 ms,280 ms
2022-04-19 16:06:48,309 ms,270 ms,375 ms,282 ms
2022-04-19 16:06:50,320 ms,268 ms,321 ms,371 ms
2022-04-19 16:06:52,319 ms,270 ms,270 ms,418 ms
2022-04-19 16:06:54,316 ms,263 ms,268 ms,418 ms
2022-04-19 16:06:56,450 ms,271 ms,268 ms,810 ms
2022-04-19 16:06:58,445 ms,270 ms,254 ms,810 ms
2022-04-19 16:07:00,,270 ms,368 ms,
2022-04-19 16:07:02,,267 ms,368 ms,
2022-04-19 16:07:04,349 ms,267 ms,394 ms,385 ms
2022-04-19 16:07:06,339 ms,273 ms,394 ms,351 ms
2022-04-19 16:07:08,372 ms,241 ms,547 ms,328 ms
2022-04-19 16:07:10,323 ms,372 ms,270 ms,328 ms
2022-04-19 16:07:12,300 ms,336 ms,282 ms,283 ms
2022-04-19 16:07:14,298 ms,336 ms,282 ms,276 ms
2022-04-19 16:07:16,310 ms,370 ms,283 ms,277 ms
2022-04-19 16:07:18,303 ms,353 ms,287 ms,271 ms
2022-04-19 16:07:20,267 ms,241 ms,286 ms,274 ms
2022-04-19 16:07:22,287 ms,241 ms,343 ms,278 ms
2022-04-19 16:07:24,283 ms,241 ms,326 ms,282 ms
2022-04-19 16:07:26,305 ms,241 ms,326 ms,347 ms
2022-04-19 16:07:28,326 ms,292 ms,318 ms,367 ms
2022-04-19 16:07:30,299 ms,292 ms,259 ms,347 ms
2022-04-19 16:07:32,298 ms,294 ms,255 ms,347 ms
2022-04-19 16:07:34,298 ms,278 ms,279 ms,338 ms
2022-04-19 16:07:36,338 ms,273 ms,455 ms,286 ms
2022-04-19 16:07:38,349 ms,269 ms,492 ms,286 ms
2022-04-19 16:07:40,345 ms,260 ms,488 ms,286 ms
2022-04-19 16:07:42,367 ms,261 ms,546 ms,295 ms
2022-04-19 16:07:44,344 ms,268 ms,522 ms,242 ms
2022-04-19 16:07:46,263 ms,273 ms,275 ms,242 ms
2022-04-19 16:07:48,258 ms,267 ms,260 ms,248 ms
2022-04-19 16:07:50,257 ms,267 ms,260 ms,243 ms
2022-04-19 16:07:52,239 ms,261 ms,242 ms,213 ms
2022-04-19 16:07:54,239 ms,267 ms,225 ms,225 ms
2022-04-19 16:07:56,247 ms,265 ms,240 ms,237 ms
2022-04-19 16:07:58,248 ms,263 ms,240 ms,242 ms
2022-04-19 16:08:00,273 ms,268 ms,253 ms,298 ms
2022-04-19 16:08:02,285 ms,258 ms,271 ms,326 ms
2022-04-19 16:08:04,328 ms,341 ms,271 ms,374 ms
2022-04-19 16:08:06,343 ms,376 ms,276 ms,375 ms
2022-04-19 16:08:08,354 ms,424 ms,276 ms,363 ms
2022-04-19 16:08:10,351 ms,425 ms,279 ms,350 ms
2022-04-19 16:08:12,345 ms,363 ms,283 ms,388 ms
2022-04-19 16:08:14,335 ms,352 ms,273 ms,380 ms
2022-04-19 16:08:16,299 ms,268 ms,274 ms,356 ms
2022-04-19 16:08:18,305 ms,273 ms,273 ms,371 ms
2022-04-19 16:08:20,291 ms,273 ms,275 ms,324 ms
2022-04-19 16:08:22,263 ms,272 ms,280 ms,237 ms
2022-04-19 16:08:24,278 ms,270 ms,267 ms,297 ms
2022-04-19 16:08:26,273 ms,274 ms,261 ms,284 ms
2022-04-19 16:08:28,273 ms,274 ms,261 ms,284 ms
2022-04-19 16:08:30,281 ms,274 ms,261 ms,309 ms
2022-04-19 16:08:32,247 ms,250 ms,263 ms,228 ms
2022-04-19 16:08:34,258 ms,250 ms,268 ms,257 ms
2022-04-19 16:08:36,272 ms,236 ms,271 ms,309 ms
2022-04-19 16:08:38,344 ms,244 ms,493 ms,295 ms
2022-04-19 16:08:40,382 ms,345 ms,534 ms,269 ms
2022-04-19 16:08:42,408 ms,418 ms,534 ms,273 ms
2022-04-19 16:08:44,401 ms,418 ms,534 ms,250 ms
2022-04-19 16:08:46,356 ms,418 ms,405 ms,246 ms
2022-04-19 16:08:48,300 ms,435 ms,216 ms,248 ms
2022-04-19 16:08:50,291 ms,372 ms,235 ms,265 ms
2022-04-19 16:08:52,314 ms,336 ms,235 ms,370 ms
2022-04-19 16:08:54,318 ms,322 ms,261 ms,370 ms
2022-04-19 16:08:56,348 ms,309 ms,326 ms,411 ms
2022-04-19 16:08:58,384 ms,264 ms,326 ms,561 ms
2022-04-19 16:09:00,339 ms,360 ms,380 ms,277 ms
2022-04-19 16:09:02,343 ms,376 ms,377 ms,277 ms
2022-04-19 16:09:04,332 ms,342 ms,382 ms,271 ms
2022-04-19 16:09:06,347 ms,418 ms,352 ms,271 ms
2022-04-19 16:09:08,328 ms,402 ms,309 ms,271 ms
2022-04-19 16:09:10,323 ms,411 ms,288 ms,269 ms
2022-04-19 16:09:12,341 ms,421 ms,329 ms,273 ms
2022-04-19 16:09:14,358 ms,461 ms,339 ms,273 ms
2022-04-19 16:09:16,366 ms,454 ms,374 ms,271 ms
2022-04-19 16:09:18,296 ms,282 ms,345 ms,260 ms
2022-04-19 16:09:20,292 ms,288 ms,333 ms,255 ms
2022-04-19 16:09:22,266 ms,283 ms,257 ms,258 ms
2022-04-19 16:09:24,263 ms,274 ms,257 ms,259 ms
2022-04-19 16:09:26,262 ms,274 ms,256 ms,257 ms
2022-04-19 16:09:28,265 ms,271 ms,255 ms,270 ms
2022-04-19 16:09:30,304 ms,327 ms,262 ms,322 ms
2022-04-19 16:09:32,312 ms,327 ms,273 ms,337 ms
2022-04-19 16:09:34,333 ms,354 ms,271 ms,374 ms
2022-04-19 16:09:36,362 ms,344 ms,369 ms,374 ms
2022-04-19 16:09:38,553 ms,923 ms,395 ms,341 ms
2022-04-19 16:09:40,531 ms,923 ms,398 ms,272 ms
2022-04-19 16:09:42,533 ms,923 ms,397 ms,277 ms
2022-04-19 16:09:44,466 ms,823 ms,323 ms,252 ms
2022-04-19 16:09:46,429 ms,713 ms,326 ms,248 ms
2022-04-19 16:09:48,304 ms,346 ms,318 ms,248 ms
2022-04-19 16:09:50,307 ms,346 ms,326 ms,248 ms
2022-04-19 16:09:52,319 ms,371 ms,348 ms,239 ms
2022-04-19 16:09:54,304 ms,432 ms,240 ms,239 ms
2022-04-19 16:09:56,326 ms,492 ms,238 ms,247 ms
2022-04-19 16:09:58,406 ms,421 ms,548 ms,247 ms
2022-04-19 16:10:00,448 ms,421 ms,548 ms,374 ms
2022-04-19 16:10:02,410 ms,290 ms,548 ms,393 ms
2022-04-19 16:10:04,440 ms,289 ms,599 ms,432 ms
2022-04-19 16:10:06,526 ms,287 ms,860 ms,432 ms
2022-04-19 16:10:08,285 ms,271 ms,255 ms,328 ms
2022-04-19 16:10:10,318 ms,271 ms,436 ms,246 ms
2022-04-19 16:10:12,316 ms,267 ms,436 ms,246 ms
2022-04-19 16:10:14,314 ms,254 ms,436 ms,253 ms
2022-04-19 16:10:16,289 ms,263 ms,350 ms,253 ms
2022-04-19 16:10:18,295 ms,249 ms,382 ms,256 ms
2022-04-19 16:10:20,307 ms,249 ms,236 ms,436 ms
2022-04-19 16:10:22,395 ms,445 ms,219 ms,522 ms
2022-04-19 16:10:24,396 ms,436 ms,217 ms,536 ms
2022-04-19 16:10:26,373 ms,438 ms,220 ms,460 ms
2022-04-19 16:10:28,365 ms,453 ms,233 ms,410 ms
2022-04-19 16:10:30,343 ms,399 ms,254 ms,375 ms
2022-04-19 16:10:32,281 ms,325 ms,269 ms,250 ms
2022-04-19 16:10:34,283 ms,333 ms,267 ms,250 ms
2022-04-19 16:10:36,274 ms,260 ms,310 ms,251 ms
2022-04-19 16:10:38,299 ms,282 ms,359 ms,255 ms
2022-04-19 16:10:40,299 ms,285 ms,355 ms,255 ms
2022-04-19 16:10:42,287 ms,285 ms,322 ms,255 ms
2022-04-19 16:10:44,360 ms,360 ms,307 ms,412 ms
2022-04-19 16:10:46,363 ms,368 ms,307 ms,412 ms
2022-04-19 16:10:48,364 ms,442 ms,247 ms,404 ms
2022-04-19 16:10:50,423 ms,544 ms,253 ms,470 ms
2022-04-19 16:10:52,362 ms,544 ms,282 ms,259 ms
2022-04-19 16:10:54,388 ms,583 ms,282 ms,298 ms
2022-04-19 16:10:56,,583 ms,,290 ms
2022-04-19 16:10:58,,,266 ms,311 ms
2022-04-19 16:11:00,424 ms,701 ms,266 ms,304 ms
2022-04-19 16:11:02,483 ms,588 ms,592 ms,269 ms
2022-04-19 16:11:04,447 ms,523 ms,571 ms,248 ms
2022-04-19 16:11:06,448 ms,523 ms,574 ms,246 ms
2022-04-19 16:11:08,417 ms,504 ms,483 ms,265 ms
2022-04-19 16:11:10,335 ms,259 ms,483 ms,264 ms
2022-04-19 16:11:12,300 ms,269 ms,367 ms,264 ms
2022-04-19 16:11:14,280 ms,269 ms,296 ms,274 ms
2022-04-19 16:11:16,296 ms,269 ms,341 ms,277 ms
2022-04-19 16:11:18,295 ms,280 ms,327 ms,278 ms
2022-04-19 16:11:20,296 ms,280 ms,331 ms,278 ms
2022-04-19 16:11:22,337 ms,364 ms,317 ms,331 ms
2022-04-19 16:11:24,301 ms,310 ms,283 ms,309 ms
2022-04-19 16:11:26,309 ms,309 ms,270 ms,349 ms
2022-04-19 16:11:28,301 ms,309 ms,257 ms,337 ms
2022-04-19 16:11:30,297 ms,309 ms,245 ms,337 ms
2022-04-19 16:11:32,265 ms,237 ms,222 ms,336 ms
2022-04-19 16:11:34,274 ms,267 ms,214 ms,340 ms
2022-04-19 16:11:36,370 ms,642 ms,208 ms,261 ms
2022-04-19 16:11:38,385 ms,584 ms,310 ms,260 ms
2022-04-19 16:11:40,370 ms,541 ms,310 ms,260 ms
2022-04-19 16:11:42,407 ms,651 ms,296 ms,276 ms
2022-04-19 16:11:44,306 ms,339 ms,299 ms,279 ms
2022-04-19 16:11:46,255 ms,241 ms,239 ms,284 ms
2022-04-19 16:11:48,253 ms,241 ms,233 ms,284 ms
2022-04-19 16:11:50,245 ms,227 ms,229 ms,279 ms
2022-04-19 16:11:52,253 ms,232 ms,247 ms,279 ms
2022-04-19 16:11:54,266 ms,270 ms,254 ms,275 ms
2022-04-19 16:11:56,265 ms,268 ms,261 ms,266 ms
2022-04-19 16:11:58,279 ms,268 ms,263 ms,305 ms
2022-04-19 16:12:00,276 ms,268 ms,271 ms,288 ms
2022-04-19 16:12:02,271 ms,274 ms,262 ms,276 ms
2022-04-19 16:12:04,269 ms,278 ms,259 ms,271 ms
2022-04-19 16:12:06,259 ms,250 ms,256 ms,272 ms
2022-04-19 16:12:08,264 ms,261 ms,259 ms,271 ms
2022-04-19 16:12:10,293 ms,259 ms,257 ms,364 ms
2022-04-19 16:12:12,338 ms,253 ms,261 ms,500 ms
2022-04-19 16:12:14,414 ms,489 ms,261 ms,493 ms
2022-04-19 16:12:16,437 ms,604 ms,264 ms,442 ms
2022-04-19 16:12:18,413 ms,604 ms,264 ms,370 ms
2022-04-19 16:12:20,396 ms,673 ms,271 ms,244 ms
2022-04-19 16:12:22,358 ms,555 ms,269 ms,249 ms
2022-04-19 16:12:24,426 ms,741 ms,276 ms,261 ms
2022-04-19 16:12:26,430 ms,741 ms,276 ms,273 ms
2022-04-19 16:12:28,430 ms,741 ms,276 ms,274 ms
2022-04-19 16:12:30,262 ms,266 ms,258 ms,261 ms
2022-04-19 16:12:32,263 ms,261 ms,258 ms,270 ms
2022-04-19 16:12:34,340 ms,491 ms,258 ms,270 ms
2022-04-19 16:12:36,326 ms,463 ms,246 ms,269 ms
2022-04-19 16:12:38,324 ms,440 ms,243 ms,288 ms
2022-04-19 16:12:40,343 ms,516 ms,241 ms,271 ms
2022-04-19 16:12:42,341 ms,516 ms,241 ms,266 ms
2022-04-19 16:12:44,322 ms,448 ms,241 ms,277 ms
2022-04-19 16:12:46,326 ms,432 ms,269 ms,277 ms
2022-04-19 16:12:48,333 ms,263 ms,451 ms,287 ms
2022-04-19 16:12:50,320 ms,263 ms,411 ms,287 ms
2022-04-19 16:12:52,318 ms,263 ms,402 ms,288 ms
2022-04-19 16:12:54,311 ms,264 ms,417 ms,251 ms
2022-04-19 16:12:56,309 ms,260 ms,410 ms,258 ms
2022-04-19 16:12:58,285 ms,247 ms,356 ms,252 ms
2022-04-19 16:13:00,265 ms,291 ms,256 ms,249 ms
2022-04-19 16:13:02,276 ms,289 ms,261 ms,279 ms
2022-04-19 16:13:04,293 ms,295 ms,258 ms,325 ms
2022-04-19 16:13:06,292 ms,316 ms,270 ms,290 ms
2022-04-19 16:13:08,276 ms,273 ms,259 ms,295 ms
2022-04-19 16:13:10,279 ms,278 ms,263 ms,295 ms
2022-04-19 16:13:12,289 ms,347 ms,260 ms,261 ms
2022-04-19 16:13:14,290 ms,347 ms,258 ms,265 ms
2022-04-19 16:13:16,277 ms,314 ms,241 ms,276 ms
2022-04-19 16:13:18,296 ms,337 ms,278 ms,272 ms
2022-04-19 16:13:20,270 ms,271 ms,264 ms,276 ms
2022-04-19 16:13:22,254 ms,215 ms,276 ms,272 ms
2022-04-19 16:13:24,259 ms,242 ms,274 ms,261 ms
2022-04-19 16:13:26,264 ms,257 ms,274 ms,261 ms
2022-04-19 16:13:28,431 ms,765 ms,278 ms,250 ms
2022-04-19 16:13:30,428 ms,780 ms,267 ms,238 ms
2022-04-19 16:13:32,,882 ms,,259 ms
2022-04-19 16:13:34,558 ms,840 ms,579 ms,255 ms
2022-04-19 16:13:36,431 ms,463 ms,579 ms,250 ms
2022-04-19 16:13:38,446 ms,511 ms,579 ms,248 ms
2022-04-19 16:13:40,416 ms,589 ms,418 ms,241 ms
2022-04-19 16:13:42,244 ms,274 ms,220 ms,237 ms
2022-04-19 16:13:44,,273 ms,256 ms,
2022-04-19 16:13:46,272 ms,273 ms,256 ms,287 ms
2022-04-19 16:13:48,275 ms,284 ms,257 ms,285 ms
2022-04-19 16:13:50,276 ms,284 ms,282 ms,263 ms
2022-04-19 16:13:52,302 ms,367 ms,275 ms,263 ms
2022-04-19 16:13:54,316 ms,368 ms,266 ms,315 ms
2022-04-19 16:13:56,321 ms,330 ms,287 ms,347 ms
2022-04-19 16:13:58,340 ms,312 ms,288 ms,420 ms
2022-04-19 16:14:00,351 ms,300 ms,285 ms,468 ms
2022-04-19 16:14:02,322 ms,238 ms,284 ms,445 ms
2022-04-19 16:14:04,315 ms,239 ms,278 ms,429 ms
2022-04-19 16:14:06,315 ms,244 ms,273 ms,429 ms
2022-04-19 16:14:08,273 ms,274 ms,273 ms,273 ms
2022-04-19 16:14:10,261 ms,262 ms,273 ms,249 ms
2022-04-19 16:14:12,262 ms,262 ms,267 ms,256 ms
2022-04-19 16:14:14,263 ms,262 ms,277 ms,250 ms
2022-04-19 16:14:16,376 ms,501 ms,348 ms,280 ms
2022-04-19 16:14:18,373 ms,501 ms,321 ms,297 ms
2022-04-19 16:14:20,458 ms,753 ms,335 ms,284 ms
2022-04-19 16:14:22,466 ms,753 ms,351 ms,294 ms
2022-04-19 16:14:24,329 ms,261 ms,393 ms,334 ms
2022-04-19 16:14:26,331 ms,261 ms,425 ms,309 ms
2022-04-19 16:14:28,355 ms,275 ms,484 ms,307 ms
2022-04-19 16:14:30,372 ms,275 ms,543 ms,299 ms
2022-04-19 16:14:32,372 ms,289 ms,519 ms,307 ms
2022-04-19 16:14:34,346 ms,329 ms,466 ms,244 ms
2022-04-19 16:14:36,335 ms,326 ms,458 ms,220 ms
2022-04-19 16:14:38,342 ms,326 ms,458 ms,241 ms
2022-04-19 16:14:40,295 ms,320 ms,318 ms,247 ms
2022-04-19 16:14:42,264 ms,295 ms,249 ms,247 ms
2022-04-19 16:14:44,268 ms,295 ms,258 ms,250 ms
2022-04-19 16:14:46,414 ms,293 ms,256 ms,694 ms
2022-04-19 16:14:48,528 ms,293 ms,422 ms,869 ms
2022-04-19 16:14:50,675 ms,280 ms,783 ms,963 ms
2022-04-19 16:14:52,702 ms,275 ms,869 ms,963 ms
2022-04-19 16:14:54,591 ms,275 ms,783 ms,714 ms
2022-04-19 16:14:56,457 ms,263 ms,781 ms,326 ms
2022-04-19 16:14:58,302 ms,262 ms,404 ms,240 ms
2022-04-19 16:15:00,253 ms,263 ms,256 ms,240 ms
2022-04-19 16:15:02,257 ms,293 ms,240 ms,239 ms
2022-04-19 16:15:04,275 ms,297 ms,232 ms,295 ms
2022-04-19 16:15:06,279 ms,297 ms,232 ms,310 ms
2022-04-19 16:15:08,289 ms,297 ms,243 ms,326 ms
2022-04-19 16:15:10,305 ms,297 ms,226 ms,391 ms
2022-04-19 16:15:12,274 ms,249 ms,233 ms,339 ms
2022-04-19 16:15:14,281 ms,255 ms,240 ms,349 ms
2022-04-19 16:15:16,352 ms,240 ms,232 ms,584 ms
2022-04-19 16:15:18,349 ms,265 ms,260 ms,523 ms
