"Time","Average Request Rate","edge-server-cv-78d887c496-kcrxl Requests/2s","edge-server-cv-78d887c496-pr2rl Requests/2s","edge-server-cv-78d887c496-r2wgp Requests/2s","avg_requests/30"
2022-04-19 17:51:56,2,1,1,4,4.72
2022-04-19 17:51:58,0.667,0,1,1,4.52
2022-04-19 17:52:00,1,1,0,2,4.62
2022-04-19 17:52:02,1.33,3,0,1,4.69
2022-04-19 17:52:04,2,3,2,1,4.69
2022-04-19 17:52:06,0.333,1,0,0,4.38
2022-04-19 17:52:08,1.33,1,0,3,4.14
2022-04-19 17:52:10,0.667,1,0,1,4.21
2022-04-19 17:52:12,1.67,2,2,1,4
2022-04-19 17:52:14,1,1,1,1,3.69
2022-04-19 17:52:16,0.667,0,2,0,3.59
2022-04-19 17:52:18,2,1,1,4,3.72
2022-04-19 17:52:20,1,0,1,2,3.79
2022-04-19 17:52:22,1.67,3,2,0,3.72
2022-04-19 17:52:24,0.333,1,0,0,3.41
2022-04-19 17:52:26,1.33,1,1,2,3.38
2022-04-19 17:52:28,0.667,0,1,1,3.34
2022-04-19 17:52:30,1.33,1,0.989,2,3.38
2022-04-19 17:52:32,2,4,2,0,3.45
2022-04-19 17:52:34,0.667,0,1,1,3.52
2022-04-19 17:52:36,2,0,5,1,3.76
2022-04-19 17:52:38,1.00,1,1.01,0.993,3.83
2022-04-19 17:52:40,0.998,0,0.993,2,3.86
2022-04-19 17:52:42,2,2,2,2,3.93
2022-04-19 17:52:44,2,2,1,3,4.03
2022-04-19 17:52:46,3,3,4,2,4.34
2022-04-19 17:52:48,1.00,2,1.00,0,4.31
2022-04-19 17:52:50,1.33,1,3,0,4.34
2022-04-19 17:52:52,2.67,3.01,3.01,2,4.55
2022-04-19 17:52:54,0.667,0,0,2,4.52
2022-04-19 17:52:56,0.667,1,1,0,4.45
2022-04-19 17:52:58,1.33,1,0,3,4.55
2022-04-19 17:53:00,0.333,0,1,0,4.38
2022-04-19 17:53:02,1.67,1,1,3,4.14
2022-04-19 17:53:04,1.33,0,3,1,4.24
2022-04-19 17:53:06,1,2,0,1,4.00
2022-04-19 17:53:08,1.33,0,3,1.00,4.07
2022-04-19 17:53:10,1,0,1,2,4.03
2022-04-19 17:53:12,1,1,0,2,3.93
2022-04-19 17:53:14,2,3,1,2,3.86
2022-04-19 17:53:16,1.33,1,2,0.997,3.72
2022-04-19 17:53:18,0,0,0,0,3.66
2022-04-19 17:53:20,1.33,1,2,1,3.72
2022-04-19 17:53:22,1.33,0,0,4,3.55
2022-04-19 17:53:24,0.333,0,0,1,3.62
2022-04-19 17:53:26,0.666,1,0,0.997,3.69
2022-04-19 17:53:28,1.33,1,3,0,3.69
2022-04-19 17:53:30,1.67,1,1,3,3.86
2022-04-19 17:53:32,0.667,2,0,0,3.79
2022-04-19 17:53:34,1.33,2,0,2,3.76
2022-04-19 17:53:36,2.67,1,5,2,3.97
2022-04-19 17:53:38,1,0,3,0,3.90
2022-04-19 17:53:40,0.667,1,1,0,3.86
2022-04-19 17:53:42,1.33,3,1,0,3.93
2022-04-19 17:53:44,1.33,1,3,0,3.72
2022-04-19 17:53:46,1,2,1,0,3.72
2022-04-19 17:53:48,1.67,1,2,2,3.79
2022-04-19 17:53:50,1,1,2,0,3.76
2022-04-19 17:53:52,1.33,0,3,1,3.76
2022-04-19 17:53:54,1,0,2,1,3.79
2022-04-19 17:53:56,1,2,0,1,3.72
2022-04-19 17:53:58,2,2,3,1,3.83
2022-04-19 17:54:00,0.667,0,1,1,3.69
2022-04-19 17:54:02,1,0,2,1,3.83
2022-04-19 17:54:04,1.67,2,3,0,3.76
2022-04-19 17:54:06,2,4,2,0,3.83
2022-04-19 17:54:08,1.33,0,0,4,3.90
2022-04-19 17:54:10,0.671,1,1.01,0,3.90
2022-04-19 17:54:12,1.67,2,0.997,2,4.00
2022-04-19 17:54:14,0.333,0,1,0,3.83
2022-04-19 17:54:16,0.664,0.992,1,0,3.97
2022-04-19 17:54:18,0.667,0,2,0,3.93
2022-04-19 17:54:20,1.67,1,3,1,3.86
2022-04-19 17:54:22,1,2,0,1,3.76
2022-04-19 17:54:24,0.667,0,1,1,3.72
2022-04-19 17:54:26,1.67,1,1,3,3.83
2022-04-19 17:54:28,0.333,0,1,0,3.62
2022-04-19 17:54:30,0.333,0,0,1,3.59
2022-04-19 17:54:32,2.34,2.01,2,3,3.93
2022-04-19 17:54:34,1.33,1,1,2,3.86
2022-04-19 17:54:36,0.333,0,0,1,3.62
2022-04-19 17:54:38,2,3,3,0,3.59
2022-04-19 17:54:40,1.67,3,1,1,3.62
2022-04-19 17:54:42,1,0,2,1,3.52
2022-04-19 17:54:44,2.33,3,3,1,3.62
2022-04-19 17:54:46,0.667,2,0,0,3.55
2022-04-19 17:54:48,1.33,3,0,1,3.69
2022-04-19 17:54:50,1.33,2,1,1,3.62
2022-04-19 17:54:52,1.67,2,2,1,3.86
2022-04-19 17:54:54,1,1,1,1,3.86
2022-04-19 17:54:56,2,3,1,2,3.83
2022-04-19 17:54:58,2.67,1,5,2,4.03
2022-04-19 17:55:00,1.33,0,4,0,4.07
2022-04-19 17:55:02,2.33,5,1,1,4.10
2022-04-19 17:55:04,1.67,2,3,0,4.17
2022-04-19 17:55:06,0.667,1,0,1,4.24
2022-04-19 17:55:08,0.333,0,1,0,4.10
2022-04-19 17:55:10,0.667,1,1,0,4.10
2022-04-19 17:55:12,2.33,1,2,4,4.21
2022-04-19 17:55:14,1.67,0,3,2,4.24
2022-04-19 17:55:16,1.33,0,3,1,4.34
2022-04-19 17:55:18,1.67,2,2,1,4.41
2022-04-19 17:55:20,2,1,3,2,4.24
2022-04-19 17:55:22,2,1,1,4,4.31
2022-04-19 17:55:24,1,0,3,0,4.48
2022-04-19 17:55:26,1.67,2,2,1,4.45
2022-04-19 17:55:28,1,1,0,2,4.24
2022-04-19 17:55:30,0.333,0,1,0,4
2022-04-19 17:55:32,1.67,3,1,1,3.90
2022-04-19 17:55:34,0,0,0,0,3.76
2022-04-19 17:55:36,1.33,1,2,1,3.83
2022-04-19 17:55:38,1.67,2,1,2,3.86
2022-04-19 17:55:40,1,2,0,1,3.97
2022-04-19 17:55:42,2.00,2,2.00,2,3.90
2022-04-19 17:55:44,0.667,0,2,0,3.66
2022-04-19 17:55:46,2.66,2,4,1.99,3.79
2022-04-19 17:55:48,0.667,2,0,0,3.90
2022-04-19 17:55:50,0.333,0,0,1,3.72
2022-04-19 17:55:52,1.67,1,4,0,3.62
2022-04-19 17:55:54,3.67,3,1,7,3.97
2022-04-19 17:55:56,2.33,3,2,2,3.93
2022-04-19 17:55:58,1,0,2,1,4.03
2022-04-19 17:56:00,1.99,0.979,4,1,4.27
2022-04-19 17:56:02,1.33,2,0,2,4.38
2022-04-19 17:56:04,1,1,1,1,4.41
2022-04-19 17:56:06,2.67,3,4,1,4.59
2022-04-19 17:56:08,1.33,1,2,1,4.45
2022-04-19 17:56:10,2.33,2,3,2,4.62
2022-04-19 17:56:12,1.67,1,2,2,4.69
2022-04-19 17:56:14,0.667,0,1,1,4.62
2022-04-19 17:56:16,0.667,0,0,2,4.31
2022-04-19 17:56:18,2,3,2,1,4.45
2022-04-19 17:56:20,0.333,0,0,1,4.52
2022-04-19 17:56:22,1.67,3,2,0,4.48
2022-04-19 17:56:24,1.33,2,0,2,4.31
2022-04-19 17:56:26,0.667,2,0,0,4.07
2022-04-19 17:56:28,2.33,4,2,1,4.21
2022-04-19 17:56:30,0.667,0,1,1,4.00
2022-04-19 17:56:32,0.333,1,0,0,3.97
2022-04-19 17:56:34,2,4,1,1,4.10
2022-04-19 17:56:36,1.33,2,0,2,4
2022-04-19 17:56:38,2.67,2,5,1,4.10
2022-04-19 17:56:40,1,1,2,0,3.93
2022-04-19 17:56:42,1.33,2,2,0,4.10
2022-04-19 17:56:44,2.33,3,3,1,4.31
2022-04-19 17:56:46,1.33,0,1,3,4.31
2022-04-19 17:56:48,0.667,1,1,0,4.10
2022-04-19 17:56:50,1.67,2,3,0,4.21
2022-04-19 17:56:52,0.668,0,1,1.00,4.10
2022-04-19 17:56:54,1.67,2,0,3,4.24
2022-04-19 17:56:56,0,0,0,0,4.14
2022-04-19 17:56:58,1.33,1,1,2,4.10
2022-04-19 17:57:00,0.667,1,1,0,4.10
2022-04-19 17:57:02,1.33,0,1,3,4.07
2022-04-19 17:57:04,1.33,2,2,0,4
2022-04-19 17:57:06,0,0,0,0,3.90
2022-04-19 17:57:08,2.67,3,2.01,3,4.03
2022-04-19 17:57:10,1,2,1,0,3.83
2022-04-19 17:57:12,2,2,2,2,3.83
2022-04-19 17:57:14,1,1,0,2,3.72
2022-04-19 17:57:16,2,1,4,1,3.90
2022-04-19 17:57:18,1.67,1,3,1,3.93
2022-04-19 17:57:20,1.33,4,0,0,3.79
2022-04-19 17:57:22,1.67,2,2,1,3.76
2022-04-19 17:57:24,0.333,0,1,0,3.59
2022-04-19 17:57:26,1,1,0,2,3.52
2022-04-19 17:57:28,2,1,3,2,3.66
2022-04-19 17:57:30,1.34,0,2.01,2,3.83
2022-04-19 17:57:32,1.33,1,1,2,3.90
2022-04-19 17:57:34,1.67,0,2,3,3.79
2022-04-19 17:57:36,1.33,2,1,1,3.90
2022-04-19 17:57:38,2.66,4,3,0.981,4.17
2022-04-19 17:57:40,1.33,0,3,1,4.21
2022-04-19 17:57:42,1.33,2,2,0,4.21
2022-04-19 17:57:44,1.33,1,1,2,4.21
2022-04-19 17:57:46,1.67,2,2,1,4.24
2022-04-19 17:57:48,1,2,1,0,4.17
2022-04-19 17:57:50,1,2,1,0,4.24
2022-04-19 17:57:52,1.33,2,2,0,4.31
2022-04-19 17:57:54,1.67,2,0,3,4.52
2022-04-19 17:57:56,1.33,1,2,1,4.59
2022-04-19 17:57:58,0.333,1,0,0,4.41
2022-04-19 17:58:00,1,2,0,1,4.48
2022-04-19 17:58:02,0.667,0,2,0,4.38
2022-04-19 17:58:04,1.67,1,2,2,4.31
2022-04-19 17:58:06,0.667,1,1,0,4.07
2022-04-19 17:58:08,1,1,1,1,3.86
2022-04-19 17:58:10,2.67,3,4,1,4.07
2022-04-19 17:58:12,2.67,2,3,3,4.10
2022-04-19 17:58:14,0.999,1,0.997,1,4.07
2022-04-19 17:58:16,1.67,3,1,1,4.24
2022-04-19 17:58:18,0.333,1,0,0,4.07
2022-04-19 17:58:20,0.666,0,1,0.997,3.90
2022-04-19 17:58:22,1,1,1,1,3.83
2022-04-19 17:58:24,0.667,1,1,0,3.59
2022-04-19 17:58:26,1.67,0,2,3,3.66
2022-04-19 17:58:28,2,2,2,2,3.69
2022-04-19 17:58:30,1,1,1,1,3.79
2022-04-19 17:58:32,2.33,2,1,4,4.03
2022-04-19 17:58:34,1,1,1,1,4.17
2022-04-19 17:58:36,1.33,1,1,2,4.38
2022-04-19 17:58:38,0.667,2,0,0,4.21
2022-04-19 17:58:40,1.33,2,0,2,4.10
2022-04-19 17:58:42,0,0,0,0,3.76
2022-04-19 17:58:44,0.667,0,1,1,3.62
2022-04-19 17:58:46,0.667,0,1,1,3.45
2022-04-19 17:58:48,1.33,2,0,2,3.55
2022-04-19 17:58:50,0.667,1,0,1.00,3.55
2022-04-19 17:58:52,1.34,1.01,3,0,3.76
2022-04-19 17:58:54,2,1,2,3,3.83
2022-04-19 17:58:56,1.67,1,0,4,3.93
2022-04-19 17:58:58,1,2,0,1,3.86
2022-04-19 17:59:00,1.67,2,2,1,3.86
2022-04-19 17:59:02,2,1,4,1,3.66
2022-04-19 17:59:04,0.667,0,2,0,3.62
2022-04-19 17:59:06,1.00,0,3.01,0,3.59
2022-04-19 17:59:08,0.667,1,0,1,3.59
2022-04-19 17:59:10,1.33,1,1,2,3.66
2022-04-19 17:59:12,0.667,1,0,1,3.76
2022-04-19 17:59:14,1,1,0,2,3.86
2022-04-19 17:59:16,1,1,1,1,4
2022-04-19 17:59:18,2.33,1,3,3,4.14
2022-04-19 17:59:20,1.67,2,2,1.00,4.21
2022-04-19 17:59:22,0.667,0,0,2,4.21
2022-04-19 17:59:24,0.667,0,1,1,3.83
2022-04-19 17:59:26,1,0,1,2,3.83
2022-04-19 17:59:28,2.33,2,3,2,3.97
2022-04-19 17:59:30,0.333,0,1,0,3.83
2022-04-19 17:59:32,3,1,6,2,3.79
2022-04-19 17:59:34,1.33,1,2,1,3.90
2022-04-19 17:59:36,1.33,2,1,1,4
2022-04-19 17:59:38,1.67,2,3,0,4.03
2022-04-19 17:59:40,0.333,1,0,0,3.93
2022-04-19 17:59:42,1.67,3,0,2,4.14
2022-04-19 17:59:44,1,0,1,2,4.14
2022-04-19 17:59:46,2.33,0,3,4,4.21
2022-04-19 17:59:48,0,0,0,0,3.83
2022-04-19 17:59:50,2.69,1,5.08,2,3.90
2022-04-19 17:59:52,0,0,0,0,4
2022-04-19 17:59:54,0.667,1,0,1,3.83
2022-04-19 17:59:56,2.67,2,1.00,5,4.10
2022-04-19 17:59:58,0.667,0,2,0,3.97
2022-04-19 18:00:00,0.333,0,1,0,4.07
2022-04-19 18:00:02,1,0,2,1,3.79
2022-04-19 18:00:04,0,0,0,0,3.66
2022-04-19 18:00:06,1.67,2,2,1,3.79
2022-04-19 18:00:08,0.667,1,0,1,3.66
2022-04-19 18:00:10,2.00,0,1.99,4,3.69
2022-04-19 18:00:12,1.33,1,3,0,3.62
2022-04-19 18:00:14,2.67,2,3,3,3.97
2022-04-19 18:00:16,1.67,2,1,2,3.93
2022-04-19 18:00:18,1.67,2,1,2,4.00
2022-04-19 18:00:20,1,1,0,2,3.72
2022-04-19 18:00:22,0.669,1,1.01,0,3.86
2022-04-19 18:00:24,1.33,1,2,1,3.79
2022-04-19 18:00:26,1.33,2,0,2,3.59
2022-04-19 18:00:28,0.333,0,0,1,3.45
2022-04-19 18:00:30,0.667,1,0,1,3.55
2022-04-19 18:00:32,0.333,0,0,1,3.52
2022-04-19 18:00:34,1,1,1,1,3.59
2022-04-19 18:00:36,0.333,0,0,1,3.41
2022-04-19 18:00:38,2.67,3,2,3,3.72
2022-04-19 18:00:40,2,3,0,3,3.62
2022-04-19 18:00:42,2.01,0,3.02,3,3.72
2022-04-19 18:00:44,1.67,1,3,1,3.55
2022-04-19 18:00:46,0.669,1.01,0,1.00,3.55
2022-04-19 18:00:48,1.33,0,2,2,3.48
2022-04-19 18:00:50,0.333,1,0,0,3.55
2022-04-19 18:00:52,0.333,0,1,0,3.52
2022-04-19 18:00:54,1,1,1,1,3.38
2022-04-19 18:00:56,2.33,0,4,3,3.48
2022-04-19 18:00:58,1,2,1,0,3.59
2022-04-19 18:01:00,0.667,1,0,1,3.38
2022-04-19 18:01:02,0.667,1,1,0,3.31
2022-04-19 18:01:04,1,2,0,1,3.38
2022-04-19 18:01:06,2.33,3,2,2,3.62
2022-04-19 18:01:08,0.333,0,0,1,3.45
2022-04-19 18:01:10,0.667,0,1,1,3.21
2022-04-19 18:01:12,0.667,1,0,1,3.31
2022-04-19 18:01:14,1.33,1,2,1,3.35
2022-04-19 18:01:16,0.667,0,1,1,3.52
2022-04-19 18:01:18,2,1,3,2,3.41
2022-04-19 18:01:20,2,2,3,1,3.66
2022-04-19 18:01:22,0.333,1,0,0,3.79
2022-04-19 18:01:24,0.667,1,0,1,3.90
2022-04-19 18:01:26,0.669,1,1.01,0,3.76
2022-04-19 18:01:28,0.667,1,1,0,3.93
2022-04-19 18:01:30,1.33,0,3,1,4.14
2022-04-19 18:01:32,1.67,0.995,2.01,2,4.31
2022-04-19 18:01:34,1.33,1,1,2,4.28
2022-04-19 18:01:36,0.333,0,0,1,4.10
2022-04-19 18:01:38,1.33,2,0,2,4.07
2022-04-19 18:01:40,1,1,2,0,4
2022-04-19 18:01:42,1.67,2,3,0,4
2022-04-19 18:01:44,0.333,0,1,0,3.72
2022-04-19 18:01:46,0.667,2,0,0,3.79
2022-04-19 18:01:48,2.33,2,2,3,3.83
2022-04-19 18:01:50,1.33,1,2,1,3.72
2022-04-19 18:01:52,0.667,1,0,1,3.72
2022-04-19 18:01:54,0.667,2,0,0,3.59
2022-04-19 18:01:56,0.667,1,0,1,3.38
2022-04-19 18:01:58,1.33,0,2,2,3.41
2022-04-19 18:02:00,1.33,1,1,2,3.34
2022-04-19 18:02:02,1.33,0,3,1,3.31
2022-04-19 18:02:04,0.333,0,1,0,3.14
2022-04-19 18:02:06,1.33,2,0.996,1,3.38
2022-04-19 18:02:08,1.67,2,2,1,3.31
2022-04-19 18:02:10,1.98,0,2.94,3,3.52
2022-04-19 18:02:12,2,3,1,2,3.62
2022-04-19 18:02:14,1.67,1,2,2,3.72
2022-04-19 18:02:16,1,1,0,2,3.66
2022-04-19 18:02:18,1.67,2,0,3,3.59
2022-04-19 18:02:20,2.67,4,3,1,3.86
2022-04-19 18:02:22,2.33,4,2,0.997,4.10
2022-04-19 18:02:24,2.00,1.99,1,3,4.28
2022-04-19 18:02:26,1,1,2,0,4.48
2022-04-19 18:02:28,2.33,2,1,4,4.66
2022-04-19 18:02:30,1.33,2,0,2,4.69
2022-04-19 18:02:32,0.667,1,1,0,4.59
2022-04-19 18:02:34,1.33,0,2,2,4.72
2022-04-19 18:02:36,0.672,1,0,1.02,4.76
2022-04-19 18:02:38,1.33,1,1,2,4.62
2022-04-19 18:02:40,0.667,1,1,0,4.38
2022-04-19 18:02:42,2,3,2,1,4.31
2022-04-19 18:02:44,1.67,3,2,0,4.38
2022-04-19 18:02:46,2,4,2,0,4.62
2022-04-19 18:02:48,2,2,2,2,4.55
2022-04-19 18:02:50,1,1,0,2,4.28
2022-04-19 18:02:52,1.67,1,0,4,4.17
2022-04-19 18:02:54,1.67,0,2,3,3.90
2022-04-19 18:02:56,0.661,0.983,1,0,3.79
2022-04-19 18:02:58,1.67,0.995,0,4,3.90
2022-04-19 18:03:00,3.67,4,1.00,6,4.24
2022-04-19 18:03:02,1.33,2,1.00,1,4.28
2022-04-19 18:03:04,2.00,1,1.00,4,4.31
2022-04-19 18:03:06,1.67,0,3,2,4.41
2022-04-19 18:03:08,1.33,1,1,2,4.48
2022-04-19 18:03:10,0.667,2,0,0,4.52
2022-04-19 18:03:12,1.67,2,0,3,4.52
2022-04-19 18:03:14,1.33,1,1,2,4.38
2022-04-19 18:03:16,1,1,1,1,4.28
2022-04-19 18:03:18,2.00,1.00,4,1,4.41
2022-04-19 18:03:20,1.67,0,5,0,4.66
2022-04-19 18:03:22,0.667,1,1,0,4.59
2022-04-19 18:03:24,2,2,2,2,4.55
2022-04-19 18:03:26,2,5,0,1,4.45
2022-04-19 18:03:28,1.67,0,3,2,4.48
2022-04-19 18:03:30,1.67,3,2.02,0,4.38
2022-04-19 18:03:32,1.67,0,4,1,4.48
2022-04-19 18:03:34,1.67,1,2,2,4.45
2022-04-19 18:03:36,0.667,0,1,1,4.34
2022-04-19 18:03:38,1.67,2,3,0,4.48
2022-04-19 18:03:40,1.33,4,0,0,4.48
2022-04-19 18:03:42,1.67,4,0,1,4.41
2022-04-19 18:03:44,1.67,1,1,3.01,4.48
2022-04-19 18:03:46,1.67,4,0,1,4.41
2022-04-19 18:03:48,1,1,1,1,4.24
2022-04-19 18:03:50,1.33,1,2,1,4.38
2022-04-19 18:03:52,1.33,0,2,2,4.66
2022-04-19 18:03:54,1,2,0,1,4.59
2022-04-19 18:03:56,1.67,4,1,0,4.48
2022-04-19 18:03:58,1.67,1,0,4,4.35
2022-04-19 18:04:00,1,2,0,1,4.14
2022-04-19 18:04:02,1.34,1,2.01,1,4.17
2022-04-19 18:04:04,1,1,1,1,4.10
2022-04-19 18:04:06,1,1,0,2,3.97
2022-04-19 18:04:08,0.333,0,0,1,3.76
2022-04-19 18:04:10,1.33,0,2,2,3.79
2022-04-19 18:04:12,1.33,1,1,2,3.62
2022-04-19 18:04:14,0.667,1,0,1,3.79
2022-04-19 18:04:16,1.33,1,1,2,3.86
2022-04-19 18:04:18,2,1,1,4,3.79
2022-04-19 18:04:20,1,1,1,1,3.66
2022-04-19 18:04:22,1.67,0,3,2,3.79
2022-04-19 18:04:24,1.33,2,1,1,3.79
2022-04-19 18:04:26,1.67,2,1,2,3.72
2022-04-19 18:04:28,1,1,1,1,3.62
2022-04-19 18:04:30,1.67,2.01,2,1,3.66
2022-04-19 18:04:32,0.667,1,0,1,3.72
2022-04-19 18:04:34,1.67,1,2,2,3.76
2022-04-19 18:04:36,0.667,1,1,0,3.90
2022-04-19 18:04:38,1.33,1,2,1,3.97
2022-04-19 18:04:40,0.333,0,0,1,3.93
2022-04-19 18:04:42,1.34,3,1.01,0,3.66
2022-04-19 18:04:44,2,3,2,1,3.72
2022-04-19 18:04:46,0.667,0,1,1,3.66
2022-04-19 18:04:48,0.333,0,0,1,3.48
2022-04-19 18:04:50,1.67,1,2,2,3.38
2022-04-19 18:04:52,1.33,0,2,2,3.48
2022-04-19 18:04:54,1.34,1,2.02,1,3.62
2022-04-19 18:04:56,1.66,1,1.99,2,3.69
2022-04-19 18:04:58,0.667,0,2,0,3.66
2022-04-19 18:05:00,1.67,1,1,3,3.45
2022-04-19 18:05:02,1.67,1,1,3,3.62
2022-04-19 18:05:04,1.66,2,0.993,2,3.52
2022-04-19 18:05:06,1,0,1,2,3.55
2022-04-19 18:05:08,2,2,3,1,3.55
2022-04-19 18:05:10,1.67,3,2,0,3.79
2022-04-19 18:05:12,1,2,1,0,3.72
2022-04-19 18:05:14,2,1,4,1,3.97
2022-04-19 18:05:16,1.33,2,0,2,4.00
2022-04-19 18:05:18,2.33,2,0,5,4.28
2022-04-19 18:05:20,0.667,1,1,0,4.03
2022-04-19 18:05:22,1.33,2,2,0,4.07
2022-04-19 18:05:24,1,0,3,0,4.17
2022-04-19 18:05:26,1.67,3,2,0,4.17
2022-04-19 18:05:28,1.67,1,4,0,4.34
2022-04-19 18:05:30,2.33,2,2,3,4.48
2022-04-19 18:05:32,1.67,0,2.01,3,4.66
2022-04-19 18:05:34,1.67,0,0,5,4.69
2022-04-19 18:05:36,1.67,2,0,3,4.79
2022-04-19 18:05:38,1.67,0,4,1,4.79
2022-04-19 18:05:40,1.33,1,2,1,4.72
2022-04-19 18:05:42,1.33,3,0,1,4.66
2022-04-19 18:05:44,0,0,0,0,4.45
2022-04-19 18:05:46,2.33,2,2,3,4.52
2022-04-19 18:05:48,1,2,1,0,4.38
2022-04-19 18:05:50,2,3,3,0,4.38
2022-04-19 18:05:52,1,2,0,1,4.28
2022-04-19 18:05:54,1.33,4,0,0,4.28
2022-04-19 18:05:56,2.00,1,2.01,3,4.38
2022-04-19 18:05:58,0.333,1,0,0,4.17
2022-04-19 18:06:00,1.33,2,1.99,0,3.93
2022-04-19 18:06:02,1.67,2,0,3,3.93
2022-04-19 18:06:04,1.67,1,3,1,3.86
2022-04-19 18:06:06,1.67,3,2,0,3.69
2022-04-19 18:06:08,1.33,2,0,2,3.62
2022-04-19 18:06:10,1,0,1,2,3.52
2022-04-19 18:06:12,1.33,1,1,2,3.41
2022-04-19 18:06:14,0.333,1,0,0,3.52
2022-04-19 18:06:16,2.33,4,2,1,3.59
2022-04-19 18:06:18,1,2,1,0,3.55
2022-04-19 18:06:20,0,0,0,0,3.28
2022-04-19 18:06:22,1,1,0,2,3.24
2022-04-19 18:06:24,1,1,2,0,3.14
2022-04-19 18:06:26,1.67,2,2,1,3.10
2022-04-19 18:06:28,0.333,1,0,0,3.24
2022-04-19 18:06:30,1.67,3,2,0,3.21
2022-04-19 18:06:32,0.667,0,1,1,3.10
2022-04-19 18:06:34,0.667,1,1,0,3.10
2022-04-19 18:06:36,1.67,2,1,2,3.10
2022-04-19 18:06:38,1.67,2,3,0,3.10
2022-04-19 18:06:40,0.667,1,0,1,3.24
2022-04-19 18:06:42,2.67,4,4,0,3.48
2022-04-19 18:06:44,1.33,0,1,3,3.59
2022-04-19 18:06:46,2,2,1,3,3.62
2022-04-19 18:06:48,1.67,1,2,2,3.83
2022-04-19 18:06:50,2,1,4,1,4.07
2022-04-19 18:06:52,0.667,1,0,1,3.97
2022-04-19 18:06:54,1,2,1,0,4.03
2022-04-19 18:06:56,1.33,1,2,1,3.72
2022-04-19 18:06:58,0.667,0,2,0,3.79
2022-04-19 18:07:00,0.667,1,1,0,3.66
2022-04-19 18:07:02,2.00,0.992,0,5,3.83
2022-04-19 18:07:04,2.33,1,3,3,4.10
2022-04-19 18:07:06,1.67,0,2,3,4.07
2022-04-19 18:07:08,1.33,1,0,3,3.93
2022-04-19 18:07:10,1,2,0,1,3.86
2022-04-19 18:07:12,0.999,0,2,0.997,3.62
2022-04-19 18:07:14,1.67,2,2,1,3.66
2022-04-19 18:07:16,0.670,1.01,0,1,3.52
2022-04-19 18:07:18,0.667,1,0,1,3.52
2022-04-19 18:07:20,1.33,2,1,1,3.59
2022-04-19 18:07:22,2.33,2,4,1,3.69
2022-04-19 18:07:24,1,2,0,1,3.72
2022-04-19 18:07:26,1.33,1,0,3,3.72
2022-04-19 18:07:28,1.67,0,2,3,3.97
2022-04-19 18:07:30,1.67,2,2,0.997,4.10
2022-04-19 18:07:32,1,1,1,1,3.93
2022-04-19 18:07:34,1,2,0,1,3.79
2022-04-19 18:07:36,0.667,1,0,1,3.72
2022-04-19 18:07:38,1,1,1,1,3.66
2022-04-19 18:07:40,1.00,2.01,0,1,3.62
