"Time","Average Request Rate","edge-server-cv-78d887c496-cqvkm Requests/2s","edge-server-cv-78d887c496-s6h4q Requests/2s","edge-server-cv-78d887c496-wf72b Requests/2s","avg_requests/30"
2022-04-19 17:18:40,1.33,3.00,1,0,6.14
2022-04-19 17:18:42,2.67,3.00,3,2,6.34
2022-04-19 17:18:44,3.33,3.00,4,3,6.52
2022-04-19 17:18:46,1.33,2.00,0,2,6.66
2022-04-19 17:18:48,2.33,1.000,4,2,6.83
2022-04-19 17:18:50,2,2.00,1,3,6.66
2022-04-19 17:18:52,2.67,3.00,2,3,6.90
2022-04-19 17:18:54,1.67,3.00,0,2,6.69
2022-04-19 17:18:56,1,0,1,2,6.62
2022-04-19 17:18:58,2.67,5.00,1,2,6.66
2022-04-19 17:19:00,2.67,2.00,4,2,6.59
2022-04-19 17:19:02,3.33,4.00,3,3,6.45
2022-04-19 17:19:04,3,2.00,4,3,6.69
2022-04-19 17:19:06,1.67,4.00,0,1,6.59
2022-04-19 17:19:08,2.33,2.00,0.997,4,6.76
2022-04-19 17:19:10,2.33,2.00,4,1,6.83
2022-04-19 17:19:12,0.333,0,0,1,6.72
2022-04-19 17:19:14,3.33,3.00,4,3,6.48
2022-04-19 17:19:16,2,1.000,2,3,6.66
2022-04-19 17:19:18,3.67,6.00,3,2,6.83
2022-04-19 17:19:20,1.33,1.000,1,2,6.66
2022-04-19 17:19:22,4.33,4.00,5,4,6.76
2022-04-19 17:19:24,1.67,1.000,1,3,6.66
2022-04-19 17:19:26,2,2.00,1,3,6.66
2022-04-19 17:19:28,4,5.00,2,5,6.90
2022-04-19 17:19:30,2.33,0,5,2,6.83
2022-04-19 17:19:32,3,4.00,2,3,6.79
2022-04-19 17:19:34,2.33,4.00,3,0,6.90
2022-04-19 17:19:36,0.667,2.00,0,0,6.90
2022-04-19 17:19:38,3.66,2.00,4,4.99,7.00
2022-04-19 17:19:40,1.33,2.00,2,0,6.90
2022-04-19 17:19:42,3.33,2.00,5,3,7.38
2022-04-19 17:19:44,2,1.000,3,2,7.21
2022-04-19 17:19:46,2.67,4.00,2,2,7.31
2022-04-19 17:19:48,3.66,0,4,6.99,7.62
2022-04-19 17:19:50,2.67,4.00,2,2,7.86
2022-04-19 17:19:52,2.67,5.00,3,0,7.76
2022-04-19 17:19:54,1,1.000,1,1,7.76
2022-04-19 17:19:56,2,2.00,1,3,7.69
2022-04-19 17:19:58,2.67,2.00,1,5,7.66
2022-04-19 17:20:00,2.33,2.00,5,0,7.45
2022-04-19 17:20:02,2.33,3.00,0,4,7.38
2022-04-19 17:20:04,3,2.00,5,2,7.48
2022-04-19 17:20:06,1.67,0,4.01,1,7.55
2022-04-19 17:20:08,1.99,4.98,0,1,7.31
2022-04-19 17:20:10,2.33,3.00,0,4,7.34
2022-04-19 17:20:12,2.66,2.99,3,2,7.17
2022-04-19 17:20:14,2.67,3.00,3,2,7.41
2022-04-19 17:20:16,3.66,3.00,2.97,5,7.31
2022-04-19 17:20:18,2.67,1.000,1,6,7.14
2022-04-19 17:20:20,1,1.000,2,0,7.14
2022-04-19 17:20:22,2.00,3.01,1,2,7.14
2022-04-19 17:20:24,1.67,2.00,2,1,7.24
2022-04-19 17:20:26,1.67,0.996,3,1,7.21
2022-04-19 17:20:28,2,2.00,3,1,7.34
2022-04-19 17:20:30,2,0,4,2,7.34
2022-04-19 17:20:32,2,2.00,1,3,7.17
2022-04-19 17:20:34,2,1.000,3,2,6.86
2022-04-19 17:20:36,2,4.00,1,1,6.90
2022-04-19 17:20:38,1.33,1.000,2,1,6.79
2022-04-19 17:20:40,1.67,2.00,0,3,6.86
2022-04-19 17:20:42,1,1.000,0,2,6.45
2022-04-19 17:20:44,1.33,1.000,1,2,6.17
2022-04-19 17:20:46,3.33,4.00,3,3,6.03
2022-04-19 17:20:48,3,2.00,4,3,5.86
2022-04-19 17:20:50,2,1.000,4,1,5.83
2022-04-19 17:20:52,2.67,3.00,2,3,5.83
2022-04-19 17:20:54,2.33,3.00,1,3,5.86
2022-04-19 17:20:56,2.33,3.00,3,1,5.62
2022-04-19 17:20:58,1.33,3.00,0,1,5.52
2022-04-19 17:21:00,1.33,3.00,1,0,5.38
2022-04-19 17:21:02,3,4.00,3,2,5.76
2022-04-19 17:21:04,4,3.00,7,2,6.07
2022-04-19 17:21:06,4.33,4.00,7,2,6.28
2022-04-19 17:21:08,3.67,1.000,4,6,6.31
2022-04-19 17:21:10,2.33,1.000,3,3,6.55
2022-04-19 17:21:12,3.35,2.00,5,3.05,6.76
2022-04-19 17:21:14,2,1.000,5,0,6.83
2022-04-19 17:21:16,1.67,1.000,3,0.996,6.72
2022-04-19 17:21:18,2.00,4.00,0,2,6.79
2022-04-19 17:21:20,3.33,3.00,3,4,7.07
2022-04-19 17:21:22,2.00,3.00,1,2,6.86
2022-04-19 17:21:24,2.67,4.00,3,1,7.03
2022-04-19 17:21:26,3.67,3.00,3,5,7.10
2022-04-19 17:21:28,1.33,2.00,1,1,7.24
2022-04-19 17:21:30,2.33,2.00,3,2,7.34
2022-04-19 17:21:32,1.67,2.00,1,2,7.17
2022-04-19 17:21:34,2.67,1.000,4,3,7.10
2022-04-19 17:21:36,2.67,3.00,2,3,7
2022-04-19 17:21:38,1,0,2,1,6.79
2022-04-19 17:21:40,1.67,2.00,1,2,6.79
2022-04-19 17:21:42,1.67,2.00,2,1,6.79
2022-04-19 17:21:44,1.000,3.00,0,0,6.59
2022-04-19 17:21:46,3,4.00,1,4,6.76
2022-04-19 17:21:48,1.33,1.000,1,2,6.66
2022-04-19 17:21:50,1.67,1.000,4,0,6.55
2022-04-19 17:21:52,2.67,3.00,4,1,6.59
2022-04-19 17:21:54,2.67,3.00,0,5,6.72
2022-04-19 17:21:56,1.33,1.000,2,1,6.48
2022-04-19 17:21:58,2,2.00,1,3,6.38
2022-04-19 17:22:00,3.67,5.00,3,3,6.45
2022-04-19 17:22:02,2.33,3.00,2,2,6.59
2022-04-19 17:22:04,3,2.00,1,6,6.76
2022-04-19 17:22:06,1,1.000,1,1,6.45
2022-04-19 17:22:08,2.67,2.00,5,1,6.52
2022-04-19 17:22:10,1.66,1.000,1.99,2,6.34
2022-04-19 17:22:12,3.66,3.01,3,4.98,6.83
2022-04-19 17:22:14,3,4.00,1,4,6.90
2022-04-19 17:22:16,3.33,3.00,2,5,6.90
2022-04-19 17:22:18,1.33,2.00,1,1,6.86
2022-04-19 17:22:20,2.33,4.00,2,1,7
2022-04-19 17:22:22,1.000,2.00,0,1,6.69
2022-04-19 17:22:24,1.67,2.00,1,2,6.62
2022-04-19 17:22:26,2.67,3.00,2,3,6.90
2022-04-19 17:22:28,1.33,4.00,0,0,6.86
2022-04-19 17:22:30,2.33,4.00,1,2,6.72
2022-04-19 17:22:32,0.667,0,0,2,6.34
2022-04-19 17:22:34,2.98,2.95,5,1,6.45
2022-04-19 17:22:36,3.01,3.02,3,3,6.76
2022-04-19 17:22:38,2.66,2.00,4,1.99,6.76
2022-04-19 17:22:40,2.67,1.000,5,2,6.72
2022-04-19 17:22:42,2.33,3.00,3,1,6.69
2022-04-19 17:22:44,1.33,2.00,0,2,6.34
2022-04-19 17:22:46,2.00,3.00,1,2,6.24
2022-04-19 17:22:48,1.67,3.00,2,0,6.28
2022-04-19 17:22:50,1.67,3.00,0,2,6.21
2022-04-19 17:22:52,1.000,3.00,0,0,6.14
2022-04-19 17:22:54,2.67,1.000,2,5,6.24
2022-04-19 17:22:56,1.000,3.00,0,0,6.14
2022-04-19 17:22:58,2.33,4.00,1,2,6.14
2022-04-19 17:23:00,2.67,4.00,3,1,6.24
2022-04-19 17:23:02,3.00,5.00,2,2,6.31
2022-04-19 17:23:04,3.01,4.00,3,2.02,6.24
2022-04-19 17:23:06,1.33,1.000,1,2,6.10
2022-04-19 17:23:08,3,3.00,2,4,6.03
2022-04-19 17:23:10,2,1.000,3,2,5.83
2022-04-19 17:23:12,2.33,3.00,0,4,6.14
2022-04-19 17:23:14,2,3.00,2,1,6.28
2022-04-19 17:23:16,2.67,0,3,5,6.21
2022-04-19 17:23:18,0.667,1.000,0,1,6.10
2022-04-19 17:23:20,2.67,4.00,2,2,6.14
2022-04-19 17:23:22,3.67,2.00,4,5,6.28
2022-04-19 17:23:24,2.67,2.00,2.01,4,6.10
2022-04-19 17:23:26,1.67,1.000,4,0,6.28
2022-04-19 17:23:28,1.33,0,2,2,6.28
2022-04-19 17:23:30,3,1.000,4,4,6.31
2022-04-19 17:23:32,1.33,0,2,2,6.17
2022-04-19 17:23:34,1.33,0,0,4,6
2022-04-19 17:23:36,2.34,3.00,2,2.01,6.17
2022-04-19 17:23:38,1.33,3.00,1,0,6.21
2022-04-19 17:23:40,2.67,3.00,3,2,6.24
2022-04-19 17:23:42,1.35,0,0,4.06,6.28
2022-04-19 17:23:44,1.33,0,0,3.99,6.41
2022-04-19 17:23:46,2.67,1.000,4,3,6.41
2022-04-19 17:23:48,1.33,1.000,0,3,6.76
2022-04-19 17:23:50,2,0,4,2,6.76
2022-04-19 17:23:52,1.33,0,2,2,6.52
2022-04-19 17:23:54,2,1.000,2,3,6.52
2022-04-19 17:23:56,1.33,2.00,1,1,6.45
2022-04-19 17:23:58,1,1.000,0,2,6.48
2022-04-19 17:24:00,2,2.00,1,3,6.41
2022-04-19 17:24:02,1.33,1.000,1,2,6.38
2022-04-19 17:24:04,1.33,0,1,3,6.38
2022-04-19 17:24:06,1.67,3.00,2,0,6.07
2022-04-19 17:24:08,3.68,1.000,1,9.03,6.10
2022-04-19 17:24:10,3.00,5.00,1,3,6.00
2022-04-19 17:24:12,1.67,1.000,3,1,5.86
2022-04-19 17:24:14,2.67,4.00,4,0,6
2022-04-19 17:24:16,2.33,3.00,3,1,5.76
2022-04-19 17:24:18,1.67,1.000,4,0,5.76
2022-04-19 17:24:20,2.67,4.00,3,1,6
2022-04-19 17:24:22,1.33,2.00,1,1,5.83
2022-04-19 17:24:24,3,1.000,4,4,6.10
2022-04-19 17:24:26,1.99,4.98,0,1,6.17
2022-04-19 17:24:28,2,0,2,4,6.24
2022-04-19 17:24:30,4.33,3.00,5,5,6.48
2022-04-19 17:24:32,3.33,3.00,1,6,6.93
2022-04-19 17:24:34,1.33,1.000,1.00,2,6.93
2022-04-19 17:24:36,2.33,5.00,1,1,7.07
2022-04-19 17:24:38,1.33,1.000,2,1,6.86
2022-04-19 17:24:40,2.34,3.00,1,3.01,6.90
2022-04-19 17:24:42,2.67,3.00,2,3,6.90
2022-04-19 17:24:44,3.33,2.00,2,6,7.00
2022-04-19 17:24:46,1.67,1.000,2.01,2,7.03
2022-04-19 17:24:48,2,1.000,3,2,6.90
2022-04-19 17:24:50,2.67,3.00,2,3,6.93
2022-04-19 17:24:52,1,0,2,1,6.79
2022-04-19 17:24:54,1,2.00,1,0,6.59
2022-04-19 17:24:56,2.00,3.00,0,3,6.66
2022-04-19 17:24:58,1,0,2,1,6.79
2022-04-19 17:25:00,1.67,2.00,1,2,6.21
2022-04-19 17:25:02,1.000,3.00,0,0,6.17
2022-04-19 17:25:04,2.00,3.00,1,2,6.17
2022-04-19 17:25:06,3.33,2.00,3,5,6.31
2022-04-19 17:25:08,3.33,3.00,5,2,6.48
2022-04-19 17:25:10,4,3.00,6,3,6.76
2022-04-19 17:25:12,2,3.00,2,1,6.69
2022-04-19 17:25:14,3.33,3.00,4,3,6.66
2022-04-19 17:25:16,1.67,4.00,0,1,6.69
2022-04-19 17:25:18,1.67,1.000,4,0,6.72
2022-04-19 17:25:20,3.00,6.00,2,1,6.69
2022-04-19 17:25:22,1.67,2.00,0,3,6.86
2022-04-19 17:25:24,2.67,2.00,4,2,7.07
2022-04-19 17:25:26,2.33,0,5,2,6.83
2022-04-19 17:25:28,4.67,6.00,7,1,7.21
2022-04-19 17:25:30,2.33,2.00,4,1,7.17
2022-04-19 17:25:32,2.67,4.00,2.01,2,7.52
2022-04-19 17:25:34,2.33,1.000,1,5,7.55
2022-04-19 17:25:36,3,1.000,4,4,7.52
2022-04-19 17:25:38,2.67,2.00,5,1,7.45
2022-04-19 17:25:40,2,2.00,2,2,7.24
2022-04-19 17:25:42,1.33,1.000,3,0,7.10
2022-04-19 17:25:44,2.33,3.00,3,1,6.93
2022-04-19 17:25:46,1.67,2.00,0,3,6.83
2022-04-19 17:25:48,1.000,2.00,0,1,6.76
2022-04-19 17:25:50,3.00,5.00,3,1,6.79
2022-04-19 17:25:52,1.66,1.98,2,1,6.79
2022-04-19 17:25:54,3.99,5.97,3,3,7.03
2022-04-19 17:25:56,2,2.00,0,4,7.03
2022-04-19 17:25:58,1.67,2.00,2,1,6.79
2022-04-19 17:26:00,2.33,5.00,0,2,6.76
2022-04-19 17:26:02,3.33,3.00,4,3,6.79
2022-04-19 17:26:04,2.00,3.00,1,2,6.83
2022-04-19 17:26:06,1.67,1.000,2,2,6.69
2022-04-19 17:26:08,2.00,2.00,2,2.01,6.69
2022-04-19 17:26:10,2.33,2.00,2,3,6.76
2022-04-19 17:26:12,1.67,2.00,2,1,6.86
2022-04-19 17:26:14,2.33,2.00,2,3,6.90
2022-04-19 17:26:16,2.67,4.00,3,1,6.83
2022-04-19 17:26:18,1.67,1.000,1,3,6.69
2022-04-19 17:26:20,1.67,1.000,1,3,6.55
2022-04-19 17:26:22,3.33,4.00,1,5,6.59
2022-04-19 17:26:24,0.667,0,2,0,6.24
2022-04-19 17:26:26,3.33,4.00,3,3,6.28
2022-04-19 17:26:28,2.33,3.00,1,3,6.31
2022-04-19 17:26:30,2.33,0,4,3,6.28
2022-04-19 17:26:32,2.33,2.00,1,4,6.28
2022-04-19 17:26:34,2,3.00,2,1,6.52
2022-04-19 17:26:36,1.67,1.000,2,2,6.21
2022-04-19 17:26:38,3.00,4.00,3,2.01,6.52
2022-04-19 17:26:40,1.66,2.99,1,1,6.45
2022-04-19 17:26:42,2.33,0.995,3,3,6.52
2022-04-19 17:26:44,0.667,1.000,1,0,6.52
2022-04-19 17:26:46,2.33,2.00,1,4,6.41
2022-04-19 17:26:48,0.667,0,1,1,6.24
2022-04-19 17:26:50,1.67,2.00,0,3,6.34
2022-04-19 17:26:52,2,3.00,2,1,6.28
2022-04-19 17:26:54,1.33,2.00,2,0,6.31
2022-04-19 17:26:56,1.33,2.00,1,1,6.21
2022-04-19 17:26:58,2.33,2.00,4,1,6.21
2022-04-19 17:27:00,2,2.00,3,1,6.07
2022-04-19 17:27:02,1.67,2.00,1,2,5.83
2022-04-19 17:27:04,2,2.00,2,2,6
2022-04-19 17:27:06,2,2.00,2,2,5.90
2022-04-19 17:27:08,1.67,1.000,3,1.00,5.79
2022-04-19 17:27:10,2,1.000,4,1,5.93
2022-04-19 17:27:12,3,3.00,2,4,5.93
2022-04-19 17:27:14,4,3.00,4,5,6.41
2022-04-19 17:27:16,1.33,2.00,0,2,6.31
2022-04-19 17:27:18,1,1.000,1,1,6.38
2022-04-19 17:27:20,1.33,0,1,3,6.28
2022-04-19 17:27:22,2.67,2.00,3,3.02,6.34
2022-04-19 17:27:24,2.67,2.00,1,5,6.52
2022-04-19 17:27:26,3.98,5.95,1,5,6.86
2022-04-19 17:27:28,2,1.000,2,3,6.79
2022-04-19 17:27:30,2,4.00,2,0,6.79
2022-04-19 17:27:32,1.33,0,1,3,6.90
2022-04-19 17:27:34,2.33,2.00,4,1,6.79
2022-04-19 17:27:36,2.33,2.00,3,2,6.69
2022-04-19 17:27:38,2.67,2.00,4,2,6.72
2022-04-19 17:27:40,2,2.00,2,2,6.86
2022-04-19 17:27:42,2.67,3.00,5,0,6.86
2022-04-19 17:27:44,2.33,2.00,2,3,6.66
2022-04-19 17:27:46,1.33,3.00,1,0,6.72
2022-04-19 17:27:48,3,2.00,5,2,7.07
2022-04-19 17:27:50,2,1.000,1,4,7.31
2022-04-19 17:27:52,2.00,3.00,1.00,2,7.07
2022-04-19 17:27:54,3.33,5.00,1,4,7
2022-04-19 17:27:56,2.67,4.00,2,2,6.86
2022-04-19 17:27:58,1.33,2.00,1.98,0,6.79
2022-04-19 17:28:00,2.67,2.00,3,3,6.97
2022-04-19 17:28:02,3.33,2.00,2,6,7.45
2022-04-19 17:28:04,2.67,1.000,2,5,7.55
2022-04-19 17:28:06,2.67,1.000,3,4,7.52
2022-04-19 17:28:08,1.67,3.00,1,1,7.28
2022-04-19 17:28:10,1.33,2.00,1,1,7.17
2022-04-19 17:28:12,2.00,0,1.00,5,7.03
2022-04-19 17:28:14,2.36,0,5.07,2,7.03
2022-04-19 17:28:16,1.67,1.000,2,2,6.90
2022-04-19 17:28:18,2.33,2.00,4,1,6.69
2022-04-19 17:28:20,1.33,2.00,2,0,6.66
2022-04-19 17:28:22,3,2.00,3,4,6.86
2022-04-19 17:28:24,0.667,2.00,0,0,6.55
2022-04-19 17:28:26,2.67,4.00,1,3,6.55
2022-04-19 17:28:28,3,3.00,6,0,6.48
2022-04-19 17:28:30,1,2.00,1,0,6.28
2022-04-19 17:28:32,1.67,1.000,1.00,3,6.03
2022-04-19 17:28:34,2,2.00,2,2,5.93
2022-04-19 17:28:36,1.67,1.000,1,3,6.07
2022-04-19 17:28:38,1.33,2.00,1,1,6.10
2022-04-19 17:28:40,2.33,4.00,2,1,6.38
2022-04-19 17:28:42,2.01,1.000,3.04,1.99,6.28
2022-04-19 17:28:44,1.67,4.00,1,0,6.28
2022-04-19 17:28:46,4.33,7.00,2,4,6.48
2022-04-19 17:28:48,1.99,2.00,2,1.98,6.59
2022-04-19 17:28:50,1.67,1.00,1,3,6.55
2022-04-19 17:28:52,2.02,1.01,4.06,1,6.45
2022-04-19 17:28:54,0.667,0,0,2,6.48
2022-04-19 17:28:56,2.00,2.00,1,3,6.45
2022-04-19 17:28:58,2,2.00,3,1,6.17
2022-04-19 17:29:00,3,2.00,3,4,6.48
2022-04-19 17:29:02,2,2.00,1,3,6.62
2022-04-19 17:29:04,0.667,1.000,0,1,6.38
2022-04-19 17:29:06,1.67,1.000,2,2,6.31
2022-04-19 17:29:08,1.33,0,3,1,6.28
2022-04-19 17:29:10,3.33,4.00,2,4,6.35
2022-04-19 17:29:12,2,2.00,3,1,6.31
2022-04-19 17:29:14,2.67,4.00,1,3,6.55
2022-04-19 17:29:16,3.33,7.00,1,1.99,6.59
2022-04-19 17:29:18,3.33,5.00,4,1,6.86
2022-04-19 17:29:20,3.67,6.00,2,3,7.14
2022-04-19 17:29:22,1.33,1.000,2,1,7.07
2022-04-19 17:29:24,0.667,0,1,1,7.17
2022-04-19 17:29:26,2,0,3,3,7.17
2022-04-19 17:29:28,1.67,0,2,3,7.07
2022-04-19 17:29:30,1.67,0,2,3,7.07
2022-04-19 17:29:32,0,0,0,0,6.59
2022-04-19 17:29:34,4.33,2.00,6,5,6.90
2022-04-19 17:29:36,1.67,0,3,2,6.90
2022-04-19 17:29:38,4.33,6.00,3,3.99,7.31
2022-04-19 17:29:40,0.667,1.000,1,0,7.03
2022-04-19 17:29:42,2.33,4.00,2,1,7.14
2022-04-19 17:29:44,2,2.00,4,0,6.76
2022-04-19 17:29:46,2.33,1.000,1,5,6.48
2022-04-19 17:29:48,0.667,0,0,2,6.24
2022-04-19 17:29:50,1.67,3.00,1,1,5.90
2022-04-19 17:29:52,2.33,2.00,2,3,6
2022-04-19 17:29:54,2,1.000,1,4,6.10
2022-04-19 17:29:56,1.66,1.97,2,1,6.14
2022-04-19 17:29:58,2.00,4.00,0,2,6.03
2022-04-19 17:30:00,1.33,1.000,1,2,6.10
2022-04-19 17:30:02,1.67,2.00,1,2,6.38
2022-04-19 17:30:04,2.00,3.00,0,3,6.10
2022-04-19 17:30:06,1,1.000,2,0,6.00
2022-04-19 17:30:08,2.34,2.00,4,1.01,5.79
2022-04-19 17:30:10,3.00,5.00,3,1,6.03
2022-04-19 17:30:12,4.00,6.01,2,4,6.21
2022-04-19 17:30:14,2.00,3.00,1,2,6.28
2022-04-19 17:30:16,3,3.00,1,5,6.21
2022-04-19 17:30:18,1,1.000,0,2,6.41
2022-04-19 17:30:20,2.67,3.00,4,1,6.45
2022-04-19 17:30:22,1.67,2.00,2,1,6.38
2022-04-19 17:30:24,3,4.00,2,3,6.59
2022-04-19 17:30:26,2.00,5.00,1,0,6.66
2022-04-19 17:30:28,2.33,2.00,3,2,6.86
2022-04-19 17:30:30,1.67,1.000,2,2,6.93
2022-04-19 17:30:32,1.67,1.000,2,2,6.97
2022-04-19 17:30:34,2.67,3.00,2,3,7.00
2022-04-19 17:30:36,1.67,2.00,3,0,7.31
2022-04-19 17:30:38,1,1.000,2,0,7.00
2022-04-19 17:30:40,2.33,0,3,4,7.03
2022-04-19 17:30:42,2.67,4.00,2.01,2,6.86
2022-04-19 17:30:44,3.00,5.00,3,1,7.17
2022-04-19 17:30:46,3.67,3.00,5,3,7.07
2022-04-19 17:30:48,2.33,2.00,2,3,7.17
2022-04-19 17:30:50,1.67,3.00,0,2,7.14
2022-04-19 17:30:52,2.33,1.000,3,3,7.10
2022-04-19 17:30:54,1.33,0,2,2,6.93
2022-04-19 17:30:56,2.33,2.00,4,1,6.86
2022-04-19 17:30:58,2.67,4.00,3,1,6.90
2022-04-19 17:31:00,2,1.000,2,3,6.83
2022-04-19 17:31:02,2,4.00,2,0,6.90
2022-04-19 17:31:04,1.33,1.000,1,2,6.52
2022-04-19 17:31:06,3,2.00,4,3,6.83
2022-04-19 17:31:08,3.33,3.00,5,2,7.03
2022-04-19 17:31:10,2.67,1.000,2,5,7.04
2022-04-19 17:31:12,3.33,4.00,3,3,6.97
2022-04-19 17:31:14,1.67,0,4,1,6.93
2022-04-19 17:31:16,1.33,2.00,2,0,6.79
2022-04-19 17:31:18,1.33,1.000,2,1,6.76
2022-04-19 17:31:20,1.33,1.000,2,1.00,6.76
2022-04-19 17:31:22,1.67,2.00,1,2,6.66
2022-04-19 17:31:24,2.67,4.00,3,1,6.90
2022-04-19 17:31:26,3.33,2.00,3.99,4,6.86
2022-04-19 17:31:28,1.67,3.00,2,0,7
2022-04-19 17:31:30,3.33,4.00,3,3,7.14
2022-04-19 17:31:32,2.33,1.000,3,3,7
2022-04-19 17:31:34,2.67,4.00,2,2,7
2022-04-19 17:31:36,2,4.00,2,0,6.86
