"Time","Average Request Rate","edge-server-cv-78d887c496-c9b5z Requests/2s","edge-server-cv-78d887c496-pgbtd Requests/2s","avg_requests/30"
2022-04-19 14:35:59,2.50,2,3,8.34
2022-04-19 14:36:00,3,2,4,8.28
2022-04-19 14:36:01,5,5,5,8.34
2022-04-19 14:36:02,3,4,2,8.10
2022-04-19 14:36:03,3.50,4,3,8
2022-04-19 14:36:04,6,7,5,8.17
2022-04-19 14:36:05,5.50,6,5,8.31
2022-04-19 14:36:06,3,,3,8.09
2022-04-19 14:36:07,7,,7,8.38
2022-04-19 14:36:08,4,,4,8.33
2022-04-19 14:36:09,5,,5,8.38
2022-04-19 14:36:10,5,5,5,8.45
2022-04-19 14:36:11,5,10,0,8.55
2022-04-19 14:36:12,2,1,3,8.35
2022-04-19 14:36:13,3.50,2,5,8.34
2022-04-19 14:36:14,1.50,0,3,8.17
2022-04-19 14:36:15,6,6,6,8.14
2022-04-19 14:36:16,3,5,1,8
2022-04-19 14:36:17,3,2,4,7.93
2022-04-19 14:36:18,2,2,2,7.83
2022-04-19 14:36:19,1.50,2,1,7.72
2022-04-19 14:36:20,8.50,7,10,8.03
2022-04-19 14:36:21,1.50,2,1,7.83
2022-04-19 14:36:22,2.99,2.97,3,7.90
2022-04-19 14:36:23,4.53,6.06,3,7.72
2022-04-19 14:36:24,5,4,6,7.83
2022-04-19 14:36:25,2.50,4,1,7.72
2022-04-19 14:36:26,3.50,6,1,7.59
2022-04-19 14:36:27,1.50,2,1,7.52
2022-04-19 14:36:28,4.50,6,3,7.66
2022-04-19 14:36:29,3.50,5,2,7.69
2022-04-19 14:36:30,4,3,5,7.62
2022-04-19 14:36:31,2.50,3,2,7.59
2022-04-19 14:36:32,5,5,5,7.69
2022-04-19 14:36:33,3.50,2.99,4,7.52
2022-04-19 14:36:34,2.50,1.00,4,7.31
2022-04-19 14:36:35,3.50,3,4,7.03
2022-04-19 14:36:36,3,2,4,7
2022-04-19 14:36:37,3.50,1,6,6.92
2022-04-19 14:36:38,4,4,4,7.03
2022-04-19 14:36:39,4.50,5,4,7
2022-04-19 14:36:40,6,7,5,7.07
2022-04-19 14:36:41,6,5,7,7.34
2022-04-19 14:36:42,6,7,5,7.52
2022-04-19 14:36:43,4.50,4,5,7.72
2022-04-19 14:36:44,4.50,4,5,7.62
2022-04-19 14:36:45,4.50,6,3,7.72
2022-04-19 14:36:46,4,5,3,7.79
2022-04-19 14:36:47,3,3,3,7.86
2022-04-19 14:36:48,3.50,5,2,8
2022-04-19 14:36:49,1.50,1,1.99,7.52
2022-04-19 14:36:50,3,6,0,7.62
2022-04-19 14:36:51,1.50,2,1,7.52
2022-04-19 14:36:52,4,2,6,7.48
2022-04-19 14:36:53,3.50,3,4,7.38
2022-04-19 14:36:54,3.50,6,1,7.45
2022-04-19 14:36:55,3.50,1,6,7.45
2022-04-19 14:36:56,2.50,1,4,7.52
2022-04-19 14:36:57,4.49,5,3.99,7.52
2022-04-19 14:36:58,3,3,,7.34
2022-04-19 14:36:59,2,2,,7.45
2022-04-19 14:37:00,5.50,6,5,7.66
2022-04-19 14:37:01,5,5,5,7.66
2022-04-19 14:37:02,6,6,6,7.83
2022-04-19 14:37:03,5,3,7,8
2022-04-19 14:37:04,2.50,4,1,7.93
2022-04-19 14:37:05,5.50,5,6,8.10
2022-04-19 14:37:06,6,3,9,8.28
2022-04-19 14:37:07,0.996,1.99,0,8.07
2022-04-19 14:37:08,3.51,4.02,3,8
2022-04-19 14:37:09,4,2,6,7.86
2022-04-19 14:37:10,5,4,6,7.79
2022-04-19 14:37:11,4,5,3,7.66
2022-04-19 14:37:12,3.50,1,6,7.59
2022-04-19 14:37:13,5,4,6,7.62
2022-04-19 14:37:14,2.50,1,4,7.48
2022-04-19 14:37:15,2,3,1,7.34
2022-04-19 14:37:16,3.50,4,3,7.38
2022-04-19 14:37:17,1.50,1,2,7.24
2022-04-19 14:37:18,2,1,3,7.28
2022-04-19 14:37:19,2.50,4,1,7.24
2022-04-19 14:37:20,3.46,3.93,2.99,7.38
2022-04-19 14:37:21,5.57,7.13,4.02,7.48
2022-04-19 14:37:22,4,4,4,7.52
2022-04-19 14:37:23,5,5,5,7.62
2022-04-19 14:37:24,1.50,1,2,7.48
2022-04-19 14:37:25,2,2,2,7.45
2022-04-19 14:37:26,2.50,3,2,7.31
2022-04-19 14:37:27,8.50,6,11,7.57
2022-04-19 14:37:28,2,3,1,7.59
2022-04-19 14:37:29,3,3,,7.27
2022-04-19 14:37:30,4,4,,7.07
2022-04-19 14:37:31,2,2,,6.73
2022-04-19 14:37:32,5,5,,6.56
2022-04-19 14:37:33,6,6,,7.45
2022-04-19 14:37:34,4.52,4,5.03,7.38
2022-04-19 14:37:35,2.50,2,3,7.14
2022-04-19 14:37:36,5.50,1,10,7.45
2022-04-19 14:37:37,5,5,5,7.55
2022-04-19 14:37:38,2.50,1,4,7.45
2022-04-19 14:37:39,7,7,7,7.59
2022-04-19 14:37:40,1.50,1,2,7.41
2022-04-19 14:37:41,3.50,3,4,7.41
2022-04-19 14:37:42,5.50,4,7,7.45
2022-04-19 14:37:43,2,3,1,7.41
2022-04-19 14:37:44,4,3,5,7.55
2022-04-19 14:37:45,4.50,3,6,7.62
2022-04-19 14:37:46,4,5,3,7.79
2022-04-19 14:37:47,3,4,2,7.86
2022-04-19 14:37:48,5.99,6,5.97,8.10
2022-04-19 14:37:49,5.51,6,5.03,8.24
2022-04-19 14:37:50,2,3,1,8
2022-04-19 14:37:51,4.50,6,3,8.03
2022-04-19 14:37:52,3.50,4,3,7.93
2022-04-19 14:37:53,4.50,5,4,8.14
2022-04-19 14:37:54,2.50,2,3,8.17
2022-04-19 14:37:55,2,3,1,8.14
2022-04-19 14:37:56,2,1,3,7.69
2022-04-19 14:37:57,2,2,2,7.69
2022-04-19 14:37:58,2,1,3,6.96
2022-04-19 14:37:59,5,7,3,7.16
2022-04-19 14:38:00,4,6,2,7.36
2022-04-19 14:38:01,4.50,3,6,7.50
2022-04-19 14:38:02,4.49,3.99,5,7.55
2022-04-19 14:38:03,4.00,3.01,5,7.52
2022-04-19 14:38:04,3.98,3,4.96,7.62
2022-04-19 14:38:05,2.51,3,2.02,7.41
2022-04-19 14:38:06,4.00,6,1.99,7.34
2022-04-19 14:38:07,4.01,4,4.02,7.45
2022-04-19 14:38:08,5.50,7,4,7.34
2022-04-19 14:38:09,5.50,6,5,7.62
2022-04-19 14:38:10,4,4,4,7.66
2022-04-19 14:38:11,3.50,4,3,7.52
2022-04-19 14:38:12,3,2,4,7.59
2022-04-19 14:38:13,5.50,7,4,7.69
2022-04-19 14:38:14,2.50,2,3,7.55
2022-04-19 14:38:15,7.50,6,9,7.79
2022-04-19 14:38:16,1,1,1,7.66
2022-04-19 14:38:17,3,1,5,7.45
2022-04-19 14:38:18,3,4,2,7.28
2022-04-19 14:38:19,5,3,7,7.48
2022-04-19 14:38:20,3.50,3,4,7.41
2022-04-19 14:38:21,3.50,3,4,7.41
2022-04-19 14:38:22,3,4,2,7.31
2022-04-19 14:38:23,4.50,1,8,7.45
2022-04-19 14:38:24,4.50,7,2,7.62
2022-04-19 14:38:25,3,5,1,7.69
2022-04-19 14:38:26,4,2,6,7.83
2022-04-19 14:38:27,4.50,5,4,8
2022-04-19 14:38:28,4.50,2,7,7.97
2022-04-19 14:38:29,4,5,3,7.97
2022-04-19 14:38:30,3.50,3,4,7.90
2022-04-19 14:38:31,4,5,3,7.86
2022-04-19 14:38:32,5,7,3,7.93
2022-04-19 14:38:33,2.50,4,1,7.83
2022-04-19 14:38:34,1,,1,7.71
2022-04-19 14:38:35,4,,4,8.00
2022-04-19 14:38:36,3.50,1,6,7.97
2022-04-19 14:38:37,4,6,2,7.86
2022-04-19 14:38:38,2.50,2,3,7.66
2022-04-19 14:38:39,4.48,1,7.96,7.69
2022-04-19 14:38:40,4.02,2,6.03,7.72
2022-04-19 14:38:41,2.50,2,3,7.69
2022-04-19 14:38:42,2.99,3,2.99,7.52
2022-04-19 14:38:43,2.01,2,2.01,7.48
2022-04-19 14:38:44,4.50,5,4,7.28
2022-04-19 14:38:45,2,1,3,7.34
2022-04-19 14:38:46,2.50,3,2,7.31
2022-04-19 14:38:47,2.50,5,0,7.28
2022-04-19 14:38:48,4,7,1,7.21
2022-04-19 14:38:49,4.50,4,5,7.28
2022-04-19 14:38:50,3.50,4,3,7.28
2022-04-19 14:38:51,4,3,5,7.34
2022-04-19 14:38:52,4.50,3,6,7.34
2022-04-19 14:38:53,5,1,9,7.38
2022-04-19 14:38:54,3,4,2,7.38
2022-04-19 14:38:55,3,3,3,7.31
2022-04-19 14:38:56,2.50,1,4,7.17
2022-04-19 14:38:57,6,8,4,7.28
2022-04-19 14:38:58,2.50,0.998,4,7.17
2022-04-19 14:38:59,3.00,4.01,2,7.14
2022-04-19 14:39:00,2.50,0,5,7.03
2022-04-19 14:39:01,5,6,4,7.03
2022-04-19 14:39:02,4.50,5,4,7.17
2022-04-19 14:39:03,2.50,3,2,6.86
2022-04-19 14:39:04,2,2,2,6.86
2022-04-19 14:39:05,4.50,4,5,6.93
2022-04-19 14:39:06,4.50,5,4,6.97
2022-04-19 14:39:07,4.50,6,3,7.10
2022-04-19 14:39:08,5.50,5,6,7.17
2022-04-19 14:39:09,4.49,3,5.98,7.21
2022-04-19 14:39:10,7.01,9,5.02,7.52
2022-04-19 14:39:11,3,2,4,7.52
2022-04-19 14:39:12,4.50,4,5,7.69
2022-04-19 14:39:13,6,10,2,7.79
2022-04-19 14:39:14,5,3,7,8
2022-04-19 14:39:15,3,2,4,8.03
2022-04-19 14:39:16,4.50,5,4,8.17
2022-04-19 14:39:17,3.50,3,4,8.14
2022-04-19 14:39:18,6,6,6,8.24
2022-04-19 14:39:19,5.50,7,4,8.38
2022-04-19 14:39:20,4,3,5,8.38
2022-04-19 14:39:21,5,5,5,8.41
2022-04-19 14:39:22,3,3,3,8.28
2022-04-19 14:39:23,7.50,9,6,8.59
2022-04-19 14:39:24,2,0,4,8.52
2022-04-19 14:39:25,2,3,1,8.48
2022-04-19 14:39:26,3.99,2,5.98,8.34
2022-04-19 14:39:27,4.51,5,4.01,8.48
2022-04-19 14:39:28,5.50,5,6,8.66
2022-04-19 14:39:29,2.50,3,2,8.66
2022-04-19 14:39:30,6,6,6,8.72
2022-04-19 14:39:31,5.50,6,5,8.79
2022-04-19 14:39:32,4,7,1,8.90
2022-04-19 14:39:33,3.50,4,3,9
2022-04-19 14:39:34,5,6,4,9.03
2022-04-19 14:39:35,6.50,6,7,9.17
2022-04-19 14:39:36,4.50,5,4,9.17
2022-04-19 14:39:37,2.50,5,0,8.97
2022-04-19 14:39:38,3,4,2,8.86
2022-04-19 14:39:39,4,5,3,8.66
2022-04-19 14:39:40,4,4,4,8.72
2022-04-19 14:39:41,4.50,6,3,8.72
2022-04-19 14:39:42,5.00,1.99,8,8.65
2022-04-19 14:39:43,2.51,2.01,3,8.48
2022-04-19 14:39:44,3.50,3,4,8.52
2022-04-19 14:39:45,5,7,3,8.55
2022-04-19 14:39:46,2,1,3,8.45
2022-04-19 14:39:47,3,4,2,8.24
2022-04-19 14:39:48,3,3,3,8.07
2022-04-19 14:39:49,1,0,2,7.86
2022-04-19 14:39:50,5,3,7,7.86
2022-04-19 14:39:51,2,3,1,7.79
2022-04-19 14:39:52,3.50,3,4,7.52
2022-04-19 14:39:53,4,4,4,7.66
2022-04-19 14:39:54,4,4,4,7.79
2022-04-19 14:39:55,3,3,3,7.72
2022-04-19 14:39:56,2.50,3,1.99,7.59
2022-04-19 14:39:57,4.01,5,3.01,7.48
2022-04-19 14:39:58,3,1,5,7.52
2022-04-19 14:39:59,4,3,5,7.38
2022-04-19 14:40:00,4.50,3,6,7.31
2022-04-19 14:40:01,2.50,3,2,7.21
2022-04-19 14:40:02,4,4,4,7.24
2022-04-19 14:40:03,3,4,2,7.10
2022-04-19 14:40:04,6.50,8,5,7.10
2022-04-19 14:40:05,1.50,2,1,6.90
2022-04-19 14:40:06,5.50,4,7,7.10
2022-04-19 14:40:07,3,2,4,7.10
2022-04-19 14:40:08,1.50,2,1,6.93
2022-04-19 14:40:09,2,2,2,6.79
2022-04-19 14:40:10,8,10,6,7.03
2022-04-19 14:40:11,3,4,2,6.90
2022-04-19 14:40:12,2,2,2,6.86
2022-04-19 14:40:13,4,6,2,6.90
2022-04-19 14:40:14,2,1,3,6.69
2022-04-19 14:40:15,1.50,1,2,6.66
2022-04-19 14:40:16,4,5,3,6.72
2022-04-19 14:40:17,3,3,3,6.72
2022-04-19 14:40:18,3.50,4,3,6.90
2022-04-19 14:40:19,2.50,3,2,6.72
2022-04-19 14:40:20,3.50,3,4,6.83
2022-04-19 14:40:21,3.50,3,4,6.83
2022-04-19 14:40:22,1.50,2,1,6.66
2022-04-19 14:40:23,4.50,4,5,6.69
2022-04-19 14:40:24,4,5,3,6.76
2022-04-19 14:40:25,4.50,5,4,6.90
2022-04-19 14:40:26,3.50,2,5,6.86
2022-04-19 14:40:27,3,3,3,6.86
2022-04-19 14:40:28,5,7,3,6.93
2022-04-19 14:40:29,3.50,2,5,6.86
2022-04-19 14:40:30,4,3,5,6.97
2022-04-19 14:40:31,6.50,6,7,7.14
2022-04-19 14:40:32,4,3,5,7.21
2022-04-19 14:40:33,3,3,3,6.97
2022-04-19 14:40:34,0.500,0,1,6.90
2022-04-19 14:40:35,4.50,2,7,6.83
2022-04-19 14:40:36,2.50,1,4,6.79
2022-04-19 14:40:37,1.50,1,2,6.79
2022-04-19 14:40:38,3.50,3,4,6.90
2022-04-19 14:40:39,4.50,3,6,6.66
2022-04-19 14:40:40,3,4,2,6.66
2022-04-19 14:40:41,4.50,4,5,6.83
2022-04-19 14:40:42,3.50,6,1,6.79
2022-04-19 14:40:43,2.50,3,2,6.83
2022-04-19 14:40:44,2.50,2,3,6.90
2022-04-19 14:40:45,2.49,3,1.99,6.79
2022-04-19 14:40:46,2.51,2,3.02,6.76
2022-04-19 14:40:47,5,6,4,6.86
2022-04-19 14:40:48,4.49,4,4.97,7.00
2022-04-19 14:40:49,2.01,2,2.01,6.90
2022-04-19 14:40:50,2.50,2,3,6.83
2022-04-19 14:40:51,3.50,2,5,6.97
2022-04-19 14:40:52,5,5,5,7
2022-04-19 14:40:53,4,3,5,7.00
2022-04-19 14:40:54,5,4,6,7.03
2022-04-19 14:40:55,2.50,1.99,3,6.97
2022-04-19 14:40:56,4.00,2.01,6,7.03
2022-04-19 14:40:57,2,2,2,6.83
2022-04-19 14:40:58,1.50,1,2,6.69
2022-04-19 14:40:59,1.50,3,0,6.52
2022-04-19 14:41:00,4.50,6,3,6.38
2022-04-19 14:41:01,3.50,2,5,6.34
2022-04-19 14:41:02,5.50,9,2,6.52
2022-04-19 14:41:03,1.50,2,1,6.59
2022-04-19 14:41:04,4.50,2,7,6.59
2022-04-19 14:41:05,3,3,3,6.62
2022-04-19 14:41:06,3.50,3,4,6.76
2022-04-19 14:41:07,2.50,3,2,6.69
2022-04-19 14:41:08,4,5,3,6.66
2022-04-19 14:41:09,4.50,4,5,6.76
2022-04-19 14:41:10,3,3,3,6.66
2022-04-19 14:41:11,5.50,3,8,6.79
2022-04-19 14:41:12,4,1,7,6.90
2022-04-19 14:41:13,3.50,4,3,6.97
2022-04-19 14:41:14,3.50,1,6,7.04
2022-04-19 14:41:15,3.50,0,7,7.10
2022-04-19 14:41:16,3,2,4,6.97
2022-04-19 14:41:17,3.50,5,2,6.90
2022-04-19 14:41:18,2.50,0,5,6.93
2022-04-19 14:41:19,4,4,4,7.03
2022-04-19 14:41:20,5,7,3,7.14
2022-04-19 14:41:21,2,3,1,6.93
2022-04-19 14:41:22,4.50,7,2,6.97
2022-04-19 14:41:23,4,5,3,6.90
2022-04-19 14:41:24,3,3,3,6.93
2022-04-19 14:41:25,4.50,4,5,6.97
2022-04-19 14:41:26,5.50,7,4,7.21
2022-04-19 14:41:27,3.50,5,2,7.34
2022-04-19 14:41:28,5.50,5,6,7.62
2022-04-19 14:41:29,3,3,3,7.52
2022-04-19 14:41:30,4.50,5,4,7.59
2022-04-19 14:41:31,2,1,3,7.34
2022-04-19 14:41:32,4,5,3,7.52
2022-04-19 14:41:33,3,2,4,7.41
2022-04-19 14:41:34,4.50,3,6,7.52
2022-04-19 14:41:35,5,3,7,7.62
2022-04-19 14:41:36,5,4,6,7.79
2022-04-19 14:41:37,4,4,4,7.79
2022-04-19 14:41:38,3.00,5,0.995,7.69
2022-04-19 14:41:39,5.52,4,7.04,7.86
2022-04-19 14:41:40,2.50,3,2,7.66
2022-04-19 14:41:41,2,3,1,7.52
2022-04-19 14:41:42,6,5,7,7.69
2022-04-19 14:41:43,4.50,4,5,7.76
2022-04-19 14:41:44,4.50,5,4,7.83
2022-04-19 14:41:45,3.50,5,2,7.86
2022-04-19 14:41:46,3.50,4,3,7.86
2022-04-19 14:41:47,5,7,3,8.03
2022-04-19 14:41:48,3.50,3,4,8
2022-04-19 14:41:49,5,6,4,8
2022-04-19 14:41:50,2.50,3,2,8.03
2022-04-19 14:41:51,6,6,6,8.14
2022-04-19 14:41:52,3,4,2,8.07
2022-04-19 14:41:53,2.50,1,4,8.03
2022-04-19 14:41:54,5.50,6,5,8.10
2022-04-19 14:41:55,4.48,3.97,5,8.03
2022-04-19 14:41:56,3.52,5.04,2,8.03
2022-04-19 14:41:57,1,1,1,7.72
2022-04-19 14:41:58,4.50,3,6,7.83
2022-04-19 14:41:59,5.50,8,3,7.90
2022-04-19 14:42:00,3,4,2,7.97
2022-04-19 14:42:01,3.50,5,2,7.93
2022-04-19 14:42:02,5,6,4,8.07
2022-04-19 14:42:03,3.50,2,5,8
2022-04-19 14:42:04,6,6,6,8.07
2022-04-19 14:42:05,4,4,4,8
2022-04-19 14:42:06,3,5,1,7.93
2022-04-19 14:42:07,4.50,3,6,8.04
2022-04-19 14:42:08,5.50,3,8,8.03
2022-04-19 14:42:09,3,4,2,8.07
2022-04-19 14:42:10,2,0,4,8.07
2022-04-19 14:42:11,2.50,3,2,7.83
2022-04-19 14:42:12,1.99,2.98,1,7.65
2022-04-19 14:42:13,2.01,2.01,2,7.48
2022-04-19 14:42:14,4,5,3,7.52
2022-04-19 14:42:15,6,7,5,7.69
2022-04-19 14:42:16,5,4,6,7.69
2022-04-19 14:42:17,2,2,2,7.59
2022-04-19 14:42:18,2,2,2,7.38
2022-04-19 14:42:19,4,6,2,7.48
2022-04-19 14:42:20,4.50,5,4,7.38
2022-04-19 14:42:21,4,4,4,7.45
2022-04-19 14:42:22,4,5,3,7.55
2022-04-19 14:42:23,4,3,5,7.45
2022-04-19 14:42:24,3.00,4,1.99,7.35
2022-04-19 14:42:25,6.52,5,8.04,7.55
2022-04-19 14:42:26,7,7,7,7.97
2022-04-19 14:42:27,3.50,5,2,7.90
2022-04-19 14:42:28,1.50,1,2,7.62
2022-04-19 14:42:29,4,3,5,7.69
2022-04-19 14:42:30,3.50,5,2,7.69
2022-04-19 14:42:31,6,5,7,7.76
2022-04-19 14:42:32,4.50,4,5,7.83
2022-04-19 14:42:33,4.50,5,4,7.72
2022-04-19 14:42:34,4.50,4,5,7.76
2022-04-19 14:42:35,2.50,2,3,7.72
2022-04-19 14:42:36,4.50,4,5,7.72
2022-04-19 14:42:37,4.50,6,3,7.66
2022-04-19 14:42:38,3.50,4,3,7.69
2022-04-19 14:42:39,4,5,3,7.83
2022-04-19 14:42:40,3,3,3,7.86
2022-04-19 14:42:41,7.50,6,9,8.24
2022-04-19 14:42:42,3.50,3,4,8.34
2022-04-19 14:42:43,4.50,4,5,8.38
2022-04-19 14:42:44,3.50,4,3,8.21
2022-04-19 14:42:45,4.50,4,5,8.17
2022-04-19 14:42:46,4,6,2,8.31
2022-04-19 14:42:47,5.50,5,6,8.55
2022-04-19 14:42:48,2,1,3,8.41
2022-04-19 14:42:49,5.50,6,5,8.48
2022-04-19 14:42:50,3.50,5,2,8.45
2022-04-19 14:42:51,5,9,1,8.52
2022-04-19 14:42:52,6,4,8,8.66
2022-04-19 14:42:53,3.50,4,3,8.69
2022-04-19 14:42:54,1.50,1,2,8.34
2022-04-19 14:42:55,8.50,5,12,8.45
2022-04-19 14:42:56,3,6,0,8.41
2022-04-19 14:42:57,5.50,3,8,8.69
2022-04-19 14:42:58,2.50,3,2,8.59
2022-04-19 14:42:59,4.50,3,6,8.66
2022-04-19 14:43:00,4.50,6,3,8.55
2022-04-19 14:43:01,5,5,5,8.59
2022-04-19 14:43:02,1,2,0,8.34
2022-04-19 14:43:03,3.50,4,3,8.28
2022-04-19 14:43:04,5.50,5,6,8.48
2022-04-19 14:43:05,4.50,4,5,8.48
2022-04-19 14:43:06,4,3,5,8.45
2022-04-19 14:43:07,3.50,4,3,8.45
2022-04-19 14:43:08,4,3,5,8.45
2022-04-19 14:43:09,4,2,6,8.52
2022-04-19 14:43:10,3.50,3,4,8.24
2022-04-19 14:43:11,5,5,5,8.34
2022-04-19 14:43:12,3.50,3,4,8.28
2022-04-19 14:43:13,3.50,3,4,8.28
2022-04-19 14:43:14,4,4,4,8.24
2022-04-19 14:43:15,2.99,3,2.99,8.17
2022-04-19 14:43:16,2.51,2,3.02,7.97
2022-04-19 14:43:17,5,4,6,8.17
2022-04-19 14:43:18,4,5,3,8.07
2022-04-19 14:43:19,5,4,6,8.17
2022-04-19 14:43:20,3.50,4,3,8.07
2022-04-19 14:43:21,2.50,1,4,7.83
2022-04-19 14:43:22,2.50,4,1,7.76
2022-04-19 14:43:23,2.50,2,3,7.83
2022-04-19 14:43:24,5.50,5,6,7.62
2022-04-19 14:43:25,1.50,0,3,7.52
2022-04-19 14:43:26,4.99,3.99,6,7.48
2022-04-19 14:43:27,3,2,4,7.52
2022-04-19 14:43:28,3.51,4.01,3,7.45
2022-04-19 14:43:29,3.50,3,4,7.38
2022-04-19 14:43:30,5.50,5,6,7.41
2022-04-19 14:43:31,3,4,2,7.55
2022-04-19 14:43:32,4.50,5,4,7.62
2022-04-19 14:43:33,6.50,7,6,7.69
2022-04-19 14:43:34,5,6,4,7.72
2022-04-19 14:43:35,4,6,2,7.72
2022-04-19 14:43:36,3.50,5,2,7.72
2022-04-19 14:43:37,5.50,3,8,7.83
2022-04-19 14:43:38,3.50,2,5,7.79
2022-04-19 14:43:39,2.50,5,0,7.72
2022-04-19 14:43:40,7.50,5,10,7.90
2022-04-19 14:43:41,1,,1,7.71
2022-04-19 14:43:42,7,,7,8.03
2022-04-19 14:43:43,4,4,4,8.03
2022-04-19 14:43:44,5.50,5,6,8.21
2022-04-19 14:43:45,4,7,1,8.31
2022-04-19 14:43:46,5,5,5,8.31
2022-04-19 14:43:47,5.50,5,6,8.41
2022-04-19 14:43:48,3,2,4,8.28
2022-04-19 14:43:49,5,2,8,8.38
2022-04-19 14:43:50,1.50,1,2,8.31
2022-04-19 14:43:51,3,5,1,8.34
2022-04-19 14:43:52,4,3,5,8.45
2022-04-19 14:43:53,4,7,1,8.34
2022-04-19 14:43:54,6,6,6,8.66
2022-04-19 14:43:55,6,6,6,8.72
2022-04-19 14:43:56,2.99,3,2.99,8.72
2022-04-19 14:43:57,4.02,2,6.03,8.76
2022-04-19 14:43:58,2,1,3,8.66
2022-04-19 14:43:59,2,3,1,8.41
2022-04-19 14:44:00,3,0,6,8.41
2022-04-19 14:44:01,4,2,6,8.38
2022-04-19 14:44:02,3,0,6,8.14
2022-04-19 14:44:03,5.50,5,6,8.17
2022-04-19 14:44:04,4.50,5,4,8.21
2022-04-19 14:44:05,6,8,4,8.38
2022-04-19 14:44:06,1,1,,7.99
