"Time","Average Request Rate","edge-server-cv-74d975f7cd-8snqw Requests/2s","edge-server-cv-74d975f7cd-kf4xg Requests/2s","edge-server-cv-74d975f7cd-zpwg8 Requests/2s","avg_requests/30"
2022-04-19 15:27:10,0.333,1,0,0,2.59
2022-04-19 15:27:12,1,1,1,1,2.62
2022-04-19 15:27:14,0.666,0.998,1,0,2.52
2022-04-19 15:27:16,1,1,0,2,2.52
2022-04-19 15:27:18,0.666,0.997,1,0,2.48
2022-04-19 15:27:20,0,0,0,0,2.34
2022-04-19 15:27:22,1.33,0,3,1,2.41
2022-04-19 15:27:24,0.667,0,1,1,2.52
2022-04-19 15:27:26,1.33,0,3,1,2.48
2022-04-19 15:27:28,0,0,0,0,2.14
2022-04-19 15:27:30,1.33,2,1,1,2.28
2022-04-19 15:27:32,0,0,0,0,2.10
2022-04-19 15:27:34,0.333,0,0,1,2.21
2022-04-19 15:27:36,1,1,1,1,2.34
2022-04-19 15:27:38,1,2,0,1,2.34
2022-04-19 15:27:40,0.333,1,0,0,2.38
2022-04-19 15:27:42,1.33,1,1,2,2.52
2022-04-19 15:27:44,1.67,2,2,1,2.52
2022-04-19 15:27:46,1,0,0,3,2.59
2022-04-19 15:27:48,1.67,1,1,3,2.83
2022-04-19 15:27:50,0.667,1,1,0,2.90
2022-04-19 15:27:52,1,2,1,0,2.83
2022-04-19 15:27:54,1,2,1,0,3.00
2022-04-19 15:27:56,1,2,0,1,3.03
2022-04-19 15:27:58,1.67,2,2,1,3.24
2022-04-19 15:28:00,0.333,0,0,1,3.21
2022-04-19 15:28:02,0.333,0,0,1,3.21
2022-04-19 15:28:04,0.333,0,0,1,3.14
2022-04-19 15:28:06,2.01,2.02,1,3,3.28
2022-04-19 15:28:08,1.33,3,0,1,3.34
2022-04-19 15:28:10,0.667,1,1,0,3.34
2022-04-19 15:28:12,1,1,2,0,3.31
2022-04-19 15:28:14,1,1,0,2,3.21
2022-04-19 15:28:16,1,1,1,1,3.07
2022-04-19 15:28:18,1,0,1,2,3.07
2022-04-19 15:28:20,1.33,3,1,0,3
2022-04-19 15:28:22,1.33,0,3,1,2.93
2022-04-19 15:28:24,0.333,1,0,0,2.83
2022-04-19 15:28:26,1,1,0,2,2.83
2022-04-19 15:28:28,1.67,0,3,2,2.79
2022-04-19 15:28:30,1,2,1,0,2.79
2022-04-19 15:28:32,0.332,0.996,0,0,2.83
2022-04-19 15:28:34,1.33,0,2,2,2.90
2022-04-19 15:28:36,1.67,0,4,1,2.86
2022-04-19 15:28:38,1,2,1,0,2.79
2022-04-19 15:28:40,0.667,0,1,1,2.69
2022-04-19 15:28:42,0.998,1.99,0,1,2.79
2022-04-19 15:28:44,0.667,2,0,0,2.83
2022-04-19 15:28:46,0.667,1,1,0,2.76
2022-04-19 15:28:48,1.33,1,2,1,2.90
2022-04-19 15:28:50,2.33,2,2,3,3.03
2022-04-19 15:28:52,0,0,0,0,2.86
2022-04-19 15:28:54,1.33,3,1,0,3
2022-04-19 15:28:56,1,0,2,1,2.97
2022-04-19 15:28:58,1.33,2,2,0,3
2022-04-19 15:29:00,0.333,1,0,0,2.93
2022-04-19 15:29:02,0,0,0,0,2.83
2022-04-19 15:29:04,0.333,1,0,0,2.76
2022-04-19 15:29:06,0.333,0,0,1,2.55
2022-04-19 15:29:08,1,1,1,1,2.59
2022-04-19 15:29:10,1.67,1,2,2,2.66
2022-04-19 15:29:12,1.33,1,2,1,2.72
2022-04-19 15:29:14,0.335,1.00,0,0,2.66
2022-04-19 15:29:16,0.667,2,0,0,2.55
2022-04-19 15:29:18,1.67,1,2,2,2.45
2022-04-19 15:29:20,1.33,0,2,2,2.31
2022-04-19 15:29:22,1,0,2,1,2.34
2022-04-19 15:29:24,0.333,1,0,0,2.24
2022-04-19 15:29:26,0.333,0,0,1,2.24
2022-04-19 15:29:28,0.333,0,0,1,2.21
2022-04-19 15:29:30,0.667,1,0,1,2.28
2022-04-19 15:29:32,0.333,0,1,0,2.21
2022-04-19 15:29:34,1,1,0,2,2.34
2022-04-19 15:29:36,1,1,0,2,2.55
2022-04-19 15:29:38,1,1,0,2,2.52
2022-04-19 15:29:40,0.333,0,1,0,2.34
2022-04-19 15:29:42,0.667,1,0,1,2.34
2022-04-19 15:29:44,1,0,1,2,2.66
2022-04-19 15:29:46,0.667,1,1,0,2.76
2022-04-19 15:29:48,1.33,3,1,0,2.83
2022-04-19 15:29:50,1.33,2,1,1,2.79
2022-04-19 15:29:52,0.667,0,2,0,2.76
2022-04-19 15:29:54,0.667,1,0,1,2.76
2022-04-19 15:29:56,1,0,2,1,2.79
2022-04-19 15:29:58,0.333,0,1,0,2.72
2022-04-19 15:30:00,1,0,1,2,2.86
2022-04-19 15:30:02,0.667,0,1,1,2.90
2022-04-19 15:30:04,0.333,1,0,0,2.93
2022-04-19 15:30:06,0.333,0,0,1,2.90
2022-04-19 15:30:08,0.667,0,2,0,2.93
2022-04-19 15:30:10,0.667,1,1,0,2.90
2022-04-19 15:30:12,1,1,1,1,2.76
2022-04-19 15:30:14,0.333,0,0,1,2.62
2022-04-19 15:30:16,2.33,2,2,3,2.66
2022-04-19 15:30:18,0.667,1,1,0,2.62
2022-04-19 15:30:20,0.667,1,1,0,2.62
2022-04-19 15:30:22,0.998,0,0.994,2,2.72
2022-04-19 15:30:24,1.33,2,1,1,2.79
2022-04-19 15:30:26,1,0,3,0,2.93
2022-04-19 15:30:28,1,1,0,2,2.90
2022-04-19 15:30:30,1.33,2,0,2,2.86
2022-04-19 15:30:32,1,1,1,1,2.66
2022-04-19 15:30:34,0,0,0,0,2.52
2022-04-19 15:30:36,1,1,2,0,2.52
2022-04-19 15:30:38,1.33,1,2,1,2.59
2022-04-19 15:30:40,2,0,4,2,2.69
2022-04-19 15:30:42,0.333,0,0,1,2.59
2022-04-19 15:30:44,0.333,1,0,0,2.72
2022-04-19 15:30:46,0.667,1,1,0,2.62
2022-04-19 15:30:48,0.667,0,2,0,2.59
2022-04-19 15:30:50,1.67,1,2,2,2.55
2022-04-19 15:30:52,1.33,2,0,2,2.66
2022-04-19 15:30:54,0.333,1,0,0,2.45
2022-04-19 15:30:56,0.667,1,1,0,2.48
2022-04-19 15:30:58,0.999,0.997,2,0,2.62
2022-04-19 15:31:00,1,1,1,1,2.55
2022-04-19 15:31:02,0.333,1,0,0,2.59
2022-04-19 15:31:04,0.667,1,0,1,2.62
2022-04-19 15:31:06,0.667,1,1,0,2.69
2022-04-19 15:31:08,1.33,0,4,0,2.79
2022-04-19 15:31:10,2,1,2,3,2.83
2022-04-19 15:31:12,0.997,1.99,1,0,2.79
2022-04-19 15:31:14,1,0,2,1,2.72
2022-04-19 15:31:16,2,2,1,3,2.93
2022-04-19 15:31:18,0.667,2,0,0,2.93
2022-04-19 15:31:20,1,1,0,2,2.93
2022-04-19 15:31:22,2,1,2,3,3
2022-04-19 15:31:24,1.33,1,3,0,3
2022-04-19 15:31:26,0.667,0,2,0,2.93
2022-04-19 15:31:28,0,0,0,0,2.97
2022-04-19 15:31:30,0.333,1,0,0,2.97
2022-04-19 15:31:32,0.333,1,0,0,2.93
2022-04-19 15:31:34,1.33,2,1,1,2.90
2022-04-19 15:31:36,1,0,2,1,2.90
2022-04-19 15:31:38,0.667,0,1,1,2.86
2022-04-19 15:31:40,1,0,0,3,2.83
2022-04-19 15:31:42,0.667,1,1,0,2.86
2022-04-19 15:31:44,1,2,1,0,2.79
2022-04-19 15:31:46,1,1,1,1,2.66
2022-04-19 15:31:48,0.333,1,0,0,2.38
2022-04-19 15:31:50,0.667,1,1,0,2.38
2022-04-19 15:31:52,1,0,0,3,2.34
2022-04-19 15:31:54,0.333,0,0,1,2.31
2022-04-19 15:31:56,0.667,1,0,1,2.41
2022-04-19 15:31:58,1,3,0,0,2.55
2022-04-19 15:32:00,1,0,1,2,2.66
2022-04-19 15:32:02,0.667,1,0,1,2.69
2022-04-19 15:32:04,1,0,0,3,2.69
2022-04-19 15:32:06,0.667,0,1,1,2.55
2022-04-19 15:32:08,0.667,1,0,1,2.52
2022-04-19 15:32:10,1.33,1,0,3,2.66
2022-04-19 15:32:12,2.33,2.00,3,2,2.83
2022-04-19 15:32:14,0.333,0,1,0,2.90
2022-04-19 15:32:16,1.33,2,2,0,2.97
2022-04-19 15:32:18,1,0,0,3,3.17
2022-04-19 15:32:20,1.66,3,0.994,1,3.38
2022-04-19 15:32:22,1.50,2,1,,3.41
2022-04-19 15:32:24,0.667,0,0,2,3.38
2022-04-19 15:32:26,1,1,1,1,3.24
2022-04-19 15:32:28,1.33,1,2,1,3.31
2022-04-19 15:32:30,0.667,0,0,2,3.28
2022-04-19 15:32:32,1,3,0,0,3.17
2022-04-19 15:32:34,0.333,0,0,1,3.14
2022-04-19 15:32:36,0,0,0,0,3.03
2022-04-19 15:32:38,1,3,0,0,3
2022-04-19 15:32:40,1,0,3,0,2.90
2022-04-19 15:32:42,1.33,2,1,1,2.66
2022-04-19 15:32:44,1.33,0,3,1,2.86
2022-04-19 15:32:46,1,1,1,1,2.66
2022-04-19 15:32:48,0.333,0,0,1,2.59
2022-04-19 15:32:50,1.33,1,1,2,2.39
2022-04-19 15:32:52,1.33,2,1,1,2.41
2022-04-19 15:32:54,0.665,0,1,0.995,2.38
2022-04-19 15:32:56,1.67,3,1,1,2.48
2022-04-19 15:32:58,1.33,3,0,1,2.52
2022-04-19 15:33:00,1.67,0,2,3,2.72
2022-04-19 15:33:02,1,0,1,2,2.83
2022-04-19 15:33:04,0.333,0,0,1,2.93
2022-04-19 15:33:06,2,2,2,2,3.10
2022-04-19 15:33:08,1,2,1,0,3.28
2022-04-19 15:33:10,0.667,0,1,1,3.41
2022-04-19 15:33:12,0,0,0,0,3.21
2022-04-19 15:33:14,0.331,0.992,0,0,3.10
2022-04-19 15:33:16,1,0,1,2,2.97
2022-04-19 15:33:18,0.667,0,1,1,3.17
2022-04-19 15:33:20,2,1,3,2,3.07
2022-04-19 15:33:22,0.333,0,0,1,3.07
2022-04-19 15:33:24,2,4,2,0,3.17
2022-04-19 15:33:26,1.33,0,1,3,3.10
2022-04-19 15:33:28,1,1,0,2,3.07
2022-04-19 15:33:30,1.67,0,3,2,2.93
2022-04-19 15:33:32,1.33,0,2,2,2.97
2022-04-19 15:33:34,0.667,0,1,1,3.03
2022-04-19 15:33:36,1,2,0,1,2.76
2022-04-19 15:33:38,1.67,2,1,2,2.69
2022-04-19 15:33:40,1,0,0,3,2.79
2022-04-19 15:33:42,0.333,1,0,0,2.90
2022-04-19 15:33:44,1,2,0,1,2.97
2022-04-19 15:33:46,1.33,2,2,0,2.90
2022-04-19 15:33:48,0.667,1,1,0,3
2022-04-19 15:33:50,0.333,1,0,0,2.79
2022-04-19 15:33:52,1.67,2,2,1,2.86
2022-04-19 15:33:54,0.667,2,0,0,2.69
2022-04-19 15:33:56,0.667,0,0,2,2.59
2022-04-19 15:33:58,0,0,0,0,2.66
2022-04-19 15:34:00,0.500,,1,0,2.49
2022-04-19 15:34:02,2.00,2.01,3,1,2.59
2022-04-19 15:34:04,2.00,2.99,0,3,2.79
2022-04-19 15:34:06,1.33,2,0,2,2.93
2022-04-19 15:34:08,0.666,0,1,0.997,2.93
2022-04-19 15:34:10,0,0,0,0,2.86
2022-04-19 15:34:12,0.667,2,0,0,2.93
2022-04-19 15:34:14,1.33,1,2,1,2.97
2022-04-19 15:34:16,0.667,0,1,1,2.90
2022-04-19 15:34:18,0.333,1,0,0,2.79
2022-04-19 15:34:20,1.34,0,2,2.02,3.03
2022-04-19 15:34:22,1.33,3,1,0,3.07
2022-04-19 15:34:24,1,0,,2,3.14
2022-04-19 15:34:26,0.999,2,0.997,0,3.14
2022-04-19 15:34:28,0.667,0,1,1,3.17
2022-04-19 15:34:30,1.33,2,1,1,3.24
2022-04-19 15:34:32,0.667,1,0,1,3.17
2022-04-19 15:34:34,0.332,0.996,0,0,2.90
2022-04-19 15:34:36,1,1,1,1,2.69
2022-04-19 15:34:38,0.667,0,1,1,2.66
2022-04-19 15:34:40,0,0,0,0,2.69
2022-04-19 15:34:42,0.334,1.00,0,0,2.66
2022-04-19 15:34:44,0.333,1,0,0,2.59
2022-04-19 15:34:46,1,0,1,2,2.66
2022-04-19 15:34:48,0.333,0,0,1,2.55
2022-04-19 15:34:50,1.67,2,2,1,2.55
2022-04-19 15:34:52,2,2,1,3,2.66
2022-04-19 15:34:54,0.667,0,0,2,2.52
2022-04-19 15:34:56,0.333,0,0,1,2.52
2022-04-19 15:34:58,1,0,2,1,2.59
2022-04-19 15:35:00,1.33,1,3,0,2.52
2022-04-19 15:35:02,0.667,0,1,1,2.52
2022-04-19 15:35:04,0,0,0,0,2.59
2022-04-19 15:35:06,0.667,1,1,0,2.48
2022-04-19 15:35:08,1.33,0,1,3,2.59
2022-04-19 15:35:10,0.333,0,1,0,2.66
2022-04-19 15:35:12,0.333,0,1,0,2.55
2022-04-19 15:35:14,1.67,2,0,3,2.72
2022-04-19 15:35:16,2,2,2,2,2.79
2022-04-19 15:35:18,2,1,4,1,2.93
2022-04-19 15:35:20,1.33,1,3,0,2.90
2022-04-19 15:35:22,1.33,2,1,1,2.93
2022-04-19 15:35:24,1,2,0,1,3
2022-04-19 15:35:26,0.667,2,0,0,3
2022-04-19 15:35:28,1,0,2,1,3.00
2022-04-19 15:35:30,1.33,0,0,4,3.00
2022-04-19 15:35:32,0,0,0,0,2.86
2022-04-19 15:35:34,0.333,0,1,0,2.86
2022-04-19 15:35:36,1.33,1,2,1,2.86
2022-04-19 15:35:38,1,1,0,2,2.79
2022-04-19 15:35:40,0.667,0,0,2,2.97
2022-04-19 15:35:42,0.333,0,0,1,3.03
2022-04-19 15:35:44,0.333,1,0,0,2.86
2022-04-19 15:35:46,0,0,0,0,2.79
2022-04-19 15:35:48,1,1,1,1,2.59
2022-04-19 15:35:50,0.667,0,1,1,2.55
2022-04-19 15:35:52,1,2,1,0,2.48
2022-04-19 15:35:54,1,1,1,1,2.41
2022-04-19 15:35:56,1,0,2,1,2.41
2022-04-19 15:35:58,1,3,0,0,2.34
2022-04-19 15:36:00,1.33,1,2,1,2.28
2022-04-19 15:36:02,0.667,1,0,1,2.45
2022-04-19 15:36:04,1.33,1,2,1,2.52
2022-04-19 15:36:06,0,0,0,,2.37
2022-04-19 15:36:08,0.500,1,0,,2.38
2022-04-19 15:36:10,1,0,1,2,2.45
2022-04-19 15:36:12,1,2,1,0,2.59
2022-04-19 15:36:14,1.67,1,2,2,2.62
2022-04-19 15:36:16,1,1,2,0,2.86
2022-04-19 15:36:18,0.667,0,1,1,2.76
2022-04-19 15:36:20,1,3,0,0,2.66
2022-04-19 15:36:22,2,2,2,2,2.79
2022-04-19 15:36:24,0.667,0,1,1,2.72
2022-04-19 15:36:26,0.333,1,0,0,2.69
2022-04-19 15:36:28,0.668,0,1,1.01,2.72
2022-04-19 15:36:30,0.333,0,1,0,2.69
2022-04-19 15:36:32,0.667,2,0,0,2.76
2022-04-19 15:36:34,0.667,0,1,1,2.66
2022-04-19 15:36:36,0.667,0,0,2,2.59
2022-04-19 15:36:38,0,0,0,0,2.59
2022-04-19 15:36:40,0.667,2,0,0,2.52
2022-04-19 15:36:42,1.67,2,2,1,2.66
2022-04-19 15:36:44,0.667,1,0,1,2.41
2022-04-19 15:36:46,0.333,0,0,1,2.38
2022-04-19 15:36:48,0.667,1,1,0,2.45
2022-04-19 15:36:50,0.333,0,1,0,2.34
2022-04-19 15:36:52,0.333,0,1,0,2.34
2022-04-19 15:36:54,0.667,0,0,2,2.31
2022-04-19 15:36:56,2.33,2,2,3,2.41
2022-04-19 15:36:58,0.667,0,2,0,2.31
2022-04-19 15:37:00,0.667,1,1,0,2.28
2022-04-19 15:37:02,1,1,0,2,2.41
2022-04-19 15:37:04,1,0,3,0,2.38
2022-04-19 15:37:06,0.333,0,0,1,2.21
2022-04-19 15:37:08,1.33,0,2,2,2.55
2022-04-19 15:37:10,0.667,1,1,0,2.41
2022-04-19 15:37:12,0.667,0,1,1,2.24
2022-04-19 15:37:14,0.667,1,0,1,2.28
2022-04-19 15:37:16,0.333,0,1,0,2.24
2022-04-19 15:37:18,1.67,2,2,1,2.41
2022-04-19 15:37:20,0.667,0,0,2,2.31
2022-04-19 15:37:22,2.00,1,1.99,3,2.52
2022-04-19 15:37:24,1.67,3,2,0,2.76
2022-04-19 15:37:26,1,0,3,0,2.66
2022-04-19 15:37:28,0.667,0,2,0,2.66
2022-04-19 15:37:30,1.66,2,1.99,1,2.79
