"Time","Average Request Rate","edge-server-cv-78d887c496-hwv29 Requests/2s","edge-server-cv-78d887c496-rpl2c Requests/2s","avg_requests/30"
2022-04-19 14:02:06,3,2,4,5.28
2022-04-19 14:02:08,3,5,1,5.38
2022-04-19 14:02:10,2.50,2,3,5.17
2022-04-19 14:02:12,1.50,2,1,5.14
2022-04-19 14:02:14,3,2,4,5.24
2022-04-19 14:02:16,1.50,2,1,4.97
2022-04-19 14:02:18,3.50,4,3,5
2022-04-19 14:02:20,2,1,3,4.93
2022-04-19 14:02:22,3.50,3,4,4.79
2022-04-19 14:02:24,4,5,3,4.76
2022-04-19 14:02:26,1,1,1,4.76
2022-04-19 14:02:28,3.50,1,6,4.93
2022-04-19 14:02:30,6,6,6,5.07
2022-04-19 14:02:32,2.50,1,4,5.07
2022-04-19 14:02:34,3.50,4,3,5
2022-04-19 14:02:36,3,2,4,4.86
2022-04-19 14:02:38,2.50,2,3,4.93
2022-04-19 14:02:40,1.50,1,2,4.97
2022-04-19 14:02:42,2,2,2,5.10
2022-04-19 14:02:44,1,0,2,5
2022-04-19 14:02:46,3,2,4,5.03
2022-04-19 14:02:48,2.48,2,2.97,4.83
2022-04-19 14:02:50,1.50,1,2,4.93
2022-04-19 14:02:52,2,3,1,4.76
2022-04-19 14:02:54,5.02,4,6.03,4.90
2022-04-19 14:02:56,2,1,3,4.97
2022-04-19 14:02:58,2,3,1,4.90
2022-04-19 14:03:00,2,4,0,4.59
2022-04-19 14:03:02,2,3,1,4.55
2022-04-19 14:03:04,2.50,3,2,4.59
2022-04-19 14:03:06,3.01,2.01,4,4.69
2022-04-19 14:03:08,4,5,3,4.76
2022-04-19 14:03:10,1.50,1,2,4.62
2022-04-19 14:03:12,4.50,6,3,4.90
2022-04-19 14:03:14,3.50,5,2,5
2022-04-19 14:03:16,4,2,6,5.28
2022-04-19 14:03:18,4,4,4,5.38
2022-04-19 14:03:20,2.50,1,4,5.38
2022-04-19 14:03:22,0.500,1,0,5.21
2022-04-19 14:03:24,4,4,4,5.10
2022-04-19 14:03:26,2.50,3,2,5.03
2022-04-19 14:03:28,4.50,4,5,5.24
2022-04-19 14:03:30,3.50,2,5,5.41
2022-04-19 14:03:32,1.50,1,2,5.34
2022-04-19 14:03:34,3,2,4,5.31
2022-04-19 14:03:36,2.98,2,3.96,5.24
2022-04-19 14:03:38,3,5,1,5.17
2022-04-19 14:03:40,1,1,1,5.10
2022-04-19 14:03:42,3.50,2,5,5.24
2022-04-19 14:03:44,5,4,6,5.38
2022-04-19 14:03:46,1.50,2,0.998,5.14
2022-04-19 14:03:48,1,2,0,5.07
2022-04-19 14:03:50,1,1,1,5.14
2022-04-19 14:03:52,2,3,1,5.38
2022-04-19 14:03:54,3.48,3,3.96,5.38
2022-04-19 14:03:56,4.50,5,4,5.55
2022-04-19 14:03:58,3,4,2,5.34
2022-04-19 14:04:00,3,1,5,5.38
2022-04-19 14:04:02,5,2,8,5.76
2022-04-19 14:04:04,4.50,5,4,6.03
2022-04-19 14:04:06,1.50,0,3,5.93
2022-04-19 14:04:08,3,4,2,6
2022-04-19 14:04:10,3,3,3,5.90
2022-04-19 14:04:12,3.50,1,6,5.79
2022-04-19 14:04:14,2,4,0,5.62
2022-04-19 14:04:16,3.50,4,3,5.69
2022-04-19 14:04:18,3.50,4,3,5.76
2022-04-19 14:04:20,0,0,0,5.69
2022-04-19 14:04:22,2.50,2,3,5.66
2022-04-19 14:04:24,3,4,2,5.52
2022-04-19 14:04:26,1.50,2,1,5.45
2022-04-19 14:04:28,1.50,2,1,5.34
2022-04-19 14:04:30,4.50,7,2,5.34
2022-04-19 14:04:32,4,4,4,5.17
2022-04-19 14:04:34,3,3,3,5.03
2022-04-19 14:04:36,2,3,1,4.97
2022-04-19 14:04:38,1,0,2,4.97
2022-04-19 14:04:40,1.50,1,2,4.86
2022-04-19 14:04:42,1,1,1,4.66
2022-04-19 14:04:44,2,2,2,4.76
2022-04-19 14:04:46,2,2,2,4.62
2022-04-19 14:04:48,2.50,2,3,4.48
2022-04-19 14:04:50,3.50,5,2,4.76
2022-04-19 14:04:52,5,4,6,5.14
2022-04-19 14:04:54,2,1,3,4.93
2022-04-19 14:04:56,0,0,0,4.79
2022-04-19 14:04:58,3.98,2,5.96,5.00
2022-04-19 14:05:00,1,1,1,4.69
2022-04-19 14:05:02,1.50,2,1,4.48
2022-04-19 14:05:04,0.500,0,1,4.41
2022-04-19 14:05:06,1.50,2,1,4.34
2022-04-19 14:05:08,3.50,2,5,4.62
2022-04-19 14:05:10,1,1,1,4.59
2022-04-19 14:05:12,3,0,6,4.62
2022-04-19 14:05:14,2.50,3,2,4.69
2022-04-19 14:05:16,3.50,6,1,4.93
2022-04-19 14:05:18,4,4,4,5.03
2022-04-19 14:05:20,2.50,3,2,4.83
2022-04-19 14:05:22,4,3,5,4.90
2022-04-19 14:05:24,3.50,5,2,4.86
2022-04-19 14:05:26,3,6,0,4.93
2022-04-19 14:05:28,1.50,1,2,4.86
2022-04-19 14:05:30,3.50,2,5,5.07
2022-04-19 14:05:32,1,2,0,4.97
2022-04-19 14:05:34,0.500,1,0,4.90
2022-04-19 14:05:36,1.50,2,1,5
2022-04-19 14:05:38,4,4,4,5.21
2022-04-19 14:05:40,2,2,2,5.28
2022-04-19 14:05:42,3.50,5,2,5.21
2022-04-19 14:05:44,2,3,1,5.10
2022-04-19 14:05:46,1.50,0,3,4.90
2022-04-19 14:05:48,4.50,4,5,4.97
2022-04-19 14:05:50,6.50,9,4,5.21
2022-04-19 14:05:52,4.50,3,6,5.52
2022-04-19 14:05:54,3.50,3,4,5.62
2022-04-19 14:05:56,1,2,0,5.34
2022-04-19 14:05:58,1,2,0,5.21
2022-04-19 14:06:00,2.50,3,2,5.17
2022-04-19 14:06:02,3.50,6,1,5.41
2022-04-19 14:06:04,3,5,1,5.34
2022-04-19 14:06:06,2.50,2,3,5.28
2022-04-19 14:06:08,2.50,3,2,5.03
2022-04-19 14:06:10,0.500,1,0,5.03
2022-04-19 14:06:12,4.50,5,4,5.07
2022-04-19 14:06:14,2.50,3,2,5.17
2022-04-19 14:06:16,5.50,6,5,5.55
2022-04-19 14:06:18,1.50,2,1,5.34
2022-04-19 14:06:20,3.50,2,5,5
2022-04-19 14:06:22,1,1,1,4.90
2022-04-19 14:06:24,2,2,2,4.90
2022-04-19 14:06:26,3,3,3,5.21
2022-04-19 14:06:28,2.99,1,4.98,5.24
2022-04-19 14:06:30,2.50,2,3,5.31
2022-04-19 14:06:32,3.50,3,4,5.34
2022-04-19 14:06:34,2.50,3,2,5.31
2022-04-19 14:06:36,0.500,1,0,5.41
2022-04-19 14:06:38,3.50,3,4,5.52
2022-04-19 14:06:40,3,2,4,5.83
2022-04-19 14:06:42,0.500,1,0,5.62
2022-04-19 14:06:44,4,3,5,5.62
2022-04-19 14:06:46,1.50,2,1,5.41
2022-04-19 14:06:48,1,2,0,5.34
2022-04-19 14:06:50,1.50,2,1,5
2022-04-19 14:06:52,2,1,3,5.03
2022-04-19 14:06:54,1.50,1,2,5
2022-04-19 14:06:56,3.50,2,5,5.14
2022-04-19 14:06:58,0.500,1,0,4.86
2022-04-19 14:07:00,5,6,4,5.17
2022-04-19 14:07:02,1.50,0,3,5.21
2022-04-19 14:07:04,1.50,1,2,5.03
2022-04-19 14:07:06,2,2,2,5
2022-04-19 14:07:08,3,1,5,4.90
2022-04-19 14:07:10,4.50,4,5,4.86
2022-04-19 14:07:12,4.50,6,3,5.10
2022-04-19 14:07:14,4.50,4,5,5.03
2022-04-19 14:07:16,1.50,2,1,5
2022-04-19 14:07:18,2.50,3,2,5.07
2022-04-19 14:07:20,2.01,2,2.01,5.14
2022-04-19 14:07:22,3,4,2,5.21
2022-04-19 14:07:24,3,1,5,5.34
2022-04-19 14:07:26,2.50,2,3,5.31
2022-04-19 14:07:28,4.50,2,7,5.38
2022-04-19 14:07:30,1.50,1,2,5.21
2022-04-19 14:07:32,4,6,2,5.45
2022-04-19 14:07:34,1,2,0,5.55
2022-04-19 14:07:36,3.50,4,3,5.55
2022-04-19 14:07:38,2.50,4,1,5.48
2022-04-19 14:07:40,2,2,2,5.34
2022-04-19 14:07:42,2,2,2,5.21
2022-04-19 14:07:44,1.50,1,1.99,5.00
2022-04-19 14:07:46,3,2,4,5.24
2022-04-19 14:07:48,3,3,3,5.17
2022-04-19 14:07:50,1,0,2,5
2022-04-19 14:07:52,1.50,2,1,4.83
2022-04-19 14:07:54,3.50,6,1,4.79
2022-04-19 14:07:56,2.50,4,1,5.14
2022-04-19 14:07:58,0.500,1,0,4.72
2022-04-19 14:08:00,2,2,2,4.66
2022-04-19 14:08:02,4.50,4,5,4.59
2022-04-19 14:08:04,3,3,3,4.72
2022-04-19 14:08:06,3,2,4,4.76
2022-04-19 14:08:08,2,1,3,4.76
2022-04-19 14:08:10,4,6,2,4.83
2022-04-19 14:08:12,3.50,4,3,4.83
2022-04-19 14:08:14,1,1,1,4.79
2022-04-19 14:08:16,3,5,1,4.90
2022-04-19 14:08:18,1.50,0,3,4.79
2022-04-19 14:08:20,1.50,1,2,4.86
2022-04-19 14:08:22,1.50,2,1,5.10
2022-04-19 14:08:24,2.50,1,4,4.86
2022-04-19 14:08:26,2.50,3,2,5.03
2022-04-19 14:08:28,2,2,2,5.21
2022-04-19 14:08:30,2,2,2,5.24
2022-04-19 14:08:32,3.50,3,4,5.24
2022-04-19 14:08:34,1.50,2,1,5.14
2022-04-19 14:08:36,2,3,1,4.97
2022-04-19 14:08:38,3,4,2,5.03
2022-04-19 14:08:40,3.50,5,2,5.17
2022-04-19 14:08:42,2,3,1,5.03
2022-04-19 14:08:44,2.50,2,3,5.03
2022-04-19 14:08:46,5.50,6,5,5.17
2022-04-19 14:08:48,1.50,3,0,5.03
2022-04-19 14:08:50,2.50,3,2,5
2022-04-19 14:08:52,3.50,2,5,5.10
2022-04-19 14:08:54,2.50,4,1,4.83
2022-04-19 14:08:56,1.50,2,1,4.83
2022-04-19 14:08:58,2,2,2,5
2022-04-19 14:09:00,3.50,3,4,5.07
2022-04-19 14:09:02,1,2,0,4.93
2022-04-19 14:09:04,1.50,1,2,5.03
2022-04-19 14:09:06,2.50,3,2,5.14
2022-04-19 14:09:08,3.50,7,0,5.14
2022-04-19 14:09:10,2.50,0,5,5.24
2022-04-19 14:09:12,2,0,4,5.34
2022-04-19 14:09:14,3,3,3,5.55
2022-04-19 14:09:16,3,3,3,5.55
2022-04-19 14:09:18,3,1,5,5.52
2022-04-19 14:09:20,2.50,4,1,5.52
2022-04-19 14:09:22,2,1,3,5.48
2022-04-19 14:09:24,2,3,1,5.38
2022-04-19 14:09:26,1.50,2,1,5.24
2022-04-19 14:09:28,2.50,2,2.99,5.31
2022-04-19 14:09:30,2,3,1,5.17
2022-04-19 14:09:32,3.00,3,2.99,5.31
2022-04-19 14:09:34,2.50,3,2,5.34
2022-04-19 14:09:36,3.50,2,5,5.55
2022-04-19 14:09:38,4.50,5,4,5.34
2022-04-19 14:09:40,1,1,1,5.28
2022-04-19 14:09:42,0,0,0,5.17
2022-04-19 14:09:44,2.50,3,2,5.10
2022-04-19 14:09:46,3.50,3,4,5.17
2022-04-19 14:09:48,3.50,2,5,5.14
2022-04-19 14:09:50,2.50,3,2,5.31
2022-04-19 14:09:52,1,1,1,5.34
2022-04-19 14:09:54,1.50,1,2,5.31
2022-04-19 14:09:56,3.50,4,3,5.41
2022-04-19 14:09:58,2.50,3,2,5.45
2022-04-19 14:10:00,3,4,2,5.48
2022-04-19 14:10:02,3,2,4,5.55
2022-04-19 14:10:04,0.997,0,1.99,5.48
2022-04-19 14:10:06,2.00,2,2.00,5.45
2022-04-19 14:10:08,3,6,0,5.38
2022-04-19 14:10:10,1.50,1,2,5.24
2022-04-19 14:10:12,0.500,1,0,5.17
2022-04-19 14:10:14,4.50,4,5,5.41
2022-04-19 14:10:16,2.99,0,5.97,5.38
2022-04-19 14:10:18,1,0,2,4.93
2022-04-19 14:10:20,2,2,2,4.76
2022-04-19 14:10:22,4.50,6,3,4.93
2022-04-19 14:10:24,3.50,3,4,5.14
2022-04-19 14:10:26,1,0,2,5.03
2022-04-19 14:10:28,3.50,4,3,5.14
2022-04-19 14:10:30,3,3,,4.93
2022-04-19 14:10:32,5,5,,4.62
2022-04-19 14:10:34,3.01,3,3.01,5.21
2022-04-19 14:10:36,1.50,2,1,5.17
2022-04-19 14:10:38,1.50,2,1,5.07
2022-04-19 14:10:40,4,6,2,5.41
2022-04-19 14:10:42,1,1,1,5.28
2022-04-19 14:10:44,1.50,1,1.99,5.28
2022-04-19 14:10:46,2.50,4,1,5.31
2022-04-19 14:10:48,2,1,3,5.38
2022-04-19 14:10:50,1,2,0,5.41
2022-04-19 14:10:52,2,2,,5.34
2022-04-19 14:10:54,3.50,5,2,5.62
2022-04-19 14:10:56,2.50,3,2,5.76
2022-04-19 14:10:58,3,4,2,5.72
2022-04-19 14:11:00,3.50,3,4,5.32
2022-04-19 14:11:02,3.99,4,3.99,5.62
2022-04-19 14:11:04,1.50,0,3,5.45
2022-04-19 14:11:06,2,2,2,5.69
2022-04-19 14:11:08,4.50,7,2,5.83
2022-04-19 14:11:10,2.50,2,3,5.72
2022-04-19 14:11:12,1,2,0,5.72
2022-04-19 14:11:14,3,3,3,5.83
2022-04-19 14:11:16,4,5,3,6
2022-04-19 14:11:18,2,3,1,6.10
2022-04-19 14:11:20,0.500,0,1,5.90
2022-04-19 14:11:22,1.50,3,0,5.52
2022-04-19 14:11:24,0,0,0,5.14
2022-04-19 14:11:26,4.50,3,6,5.38
2022-04-19 14:11:28,2,1,3,5.31
2022-04-19 14:11:30,2.50,4,1,5.17
2022-04-19 14:11:32,2.50,3,2,5.03
2022-04-19 14:11:34,1.50,1,2,4.97
2022-04-19 14:11:36,3.50,5,2,5.07
2022-04-19 14:11:38,2,2,2,5.07
2022-04-19 14:11:40,5,5,5,5.28
2022-04-19 14:11:42,2,3,1,5.24
2022-04-19 14:11:44,3,2,4,5.17
2022-04-19 14:11:46,3.50,3,4,5.07
2022-04-19 14:11:48,2.50,3,2,5
2022-04-19 14:11:50,1.50,0,3,5.17
2022-04-19 14:11:52,4,2,6,5.41
2022-04-19 14:11:54,3.50,2,5,5.76
2022-04-19 14:11:56,2,2,2,5.62
2022-04-19 14:11:58,2,3,1,5.59
2022-04-19 14:12:00,1.50,3,0,5.66
2022-04-19 14:12:02,3,3,3,5.69
2022-04-19 14:12:04,2,4,0,5.62
2022-04-19 14:12:06,2,2,2,5.52
2022-04-19 14:12:08,1,2,0,5.24
2022-04-19 14:12:10,1.50,0,3,5.17
2022-04-19 14:12:12,3.50,4,3,5.34
2022-04-19 14:12:14,2.50,2,3,5.41
2022-04-19 14:12:16,4,6,2,5.41
2022-04-19 14:12:18,5.50,4,7,5.69
2022-04-19 14:12:20,1,1,1,5.66
2022-04-19 14:12:22,4,4,4,5.45
2022-04-19 14:12:24,3.50,4,3,5.31
2022-04-19 14:12:26,1.50,2,1,5.45
2022-04-19 14:12:28,4.50,6,3,5.59
2022-04-19 14:12:30,3,3,3,5.76
2022-04-19 14:12:32,2.50,4,1,5.97
2022-04-19 14:12:34,2,2,2,5.90
2022-04-19 14:12:36,1,1,1,5.76
2022-04-19 14:12:38,2,2,2,5.79
2022-04-19 14:12:40,3.00,3.01,3,6.10
2022-04-19 14:12:42,2.50,2,3,5.97
2022-04-19 14:12:44,2.50,1,4,6.07
2022-04-19 14:12:46,3.50,2,5,6
2022-04-19 14:12:48,3.50,1,6,5.83
2022-04-19 14:12:50,0.500,0,1,5.93
2022-04-19 14:12:52,2.49,3,1.98,6.10
2022-04-19 14:12:54,2.50,3,2,5.93
2022-04-19 14:12:56,0,0,0,5.83
2022-04-19 14:12:58,7,8,6,5.90
2022-04-19 14:13:00,2,3,1,5.76
2022-04-19 14:13:02,1.50,0,3,5.72
2022-04-19 14:13:04,4.50,5,4,5.97
2022-04-19 14:13:06,3,2,4,6.14
2022-04-19 14:13:08,3.50,5,2,6.00
2022-04-19 14:13:10,2,1,3,5.97
2022-04-19 14:13:12,3,2,4,5.93
2022-04-19 14:13:14,3,3,3,5.93
2022-04-19 14:13:16,3,2,4,5.90
2022-04-19 14:13:18,1.50,0,3,5.72
2022-04-19 14:13:20,4,5,3,5.76
2022-04-19 14:13:22,4,5,3,5.83
2022-04-19 14:13:24,2,2,2,5.86
2022-04-19 14:13:26,2,2,2,5.97
2022-04-19 14:13:28,2,4,0,5.48
2022-04-19 14:13:30,5,3,7,5.55
2022-04-19 14:13:32,2.50,2,3,5.62
2022-04-19 14:13:34,1.50,2,1,5.38
2022-04-19 14:13:36,3,3,3,5.34
2022-04-19 14:13:38,3,3,3,5.17
2022-04-19 14:13:40,3,3,3,5.21
2022-04-19 14:13:42,2.50,1,4,5.14
2022-04-19 14:13:44,2,3,1,5.03
2022-04-19 14:13:46,1.50,1,2,5
2022-04-19 14:13:48,1.50,1,2,5.17
2022-04-19 14:13:50,3,5,1,5.14
2022-04-19 14:13:52,0.500,0,1,4.72
2022-04-19 14:13:54,4,5,3,4.83
2022-04-19 14:13:56,3.50,3,4,5
2022-04-19 14:13:58,1.50,0,3,5.10
2022-04-19 14:14:00,1.50,3,0,4.79
2022-04-19 14:14:02,2.50,5,0,4.79
2022-04-19 14:14:04,2.50,4,1,4.86
2022-04-19 14:14:06,3.50,2,5,4.97
2022-04-19 14:14:08,5.50,5,6,5.10
2022-04-19 14:14:10,1.50,1,2,5.07
2022-04-19 14:14:12,3,2,4,5.34
2022-04-19 14:14:14,2.50,2,3,5.34
2022-04-19 14:14:16,2,2,2,5.28
2022-04-19 14:14:18,3,4,2,5.34
2022-04-19 14:14:20,2,1,3,5.45
2022-04-19 14:14:22,4.50,5,4,5.93
2022-04-19 14:14:24,0,0,0,5.72
2022-04-19 14:14:26,2.50,2,3,5.55
2022-04-19 14:14:28,2,0,4,5.72
2022-04-19 14:14:30,2,1,3,5.72
2022-04-19 14:14:32,2.50,4,0.996,5.72
2022-04-19 14:14:34,2.50,1,4,5.69
2022-04-19 14:14:36,4.50,6,3,5.76
2022-04-19 14:14:38,3.50,3,4,5.52
2022-04-19 14:14:40,3.50,4,3,5.59
2022-04-19 14:14:42,2,0,4,5.45
2022-04-19 14:14:44,1.50,2,1,5.34
2022-04-19 14:14:46,3,3,3,5.41
2022-04-19 14:14:48,3.50,1,6,5.28
2022-04-19 14:14:50,2.50,3,2,5.17
2022-04-19 14:14:52,4,4,4,5.10
2022-04-19 14:14:54,0.500,0,1,5.17
2022-04-19 14:14:56,3.50,3,4,5.10
2022-04-19 14:14:58,2.50,2,3,5.24
2022-04-19 14:15:00,3,3,3,5.38
2022-04-19 14:15:02,3,2,4,5.41
2022-04-19 14:15:04,2.49,1,3.98,5.45
2022-04-19 14:15:06,2.50,1,4,5.52
2022-04-19 14:15:08,4,3,5,5.48
2022-04-19 14:15:10,2.50,2,3,5.45
2022-04-19 14:15:12,2.00,1,2.99,5.38
2022-04-19 14:15:14,1,1,1,5.21
2022-04-19 14:15:16,6,5,7,5.59
2022-04-19 14:15:18,4.00,2.99,5,5.55
2022-04-19 14:15:20,4.00,6,1.99,5.69
2022-04-19 14:15:22,4,4,4,5.79
2022-04-19 14:15:24,3,4,2,5.93
2022-04-19 14:15:26,2.50,2,3,5.79
2022-04-19 14:15:28,2.50,1,4,5.69
2022-04-19 14:15:30,1,2,0,5.52
2022-04-19 14:15:32,3.50,3,4,5.62
2022-04-19 14:15:34,2,2,2,5.45
2022-04-19 14:15:36,3.50,6,1,5.41
2022-04-19 14:15:38,2.50,0,5,5.28
2022-04-19 14:15:40,3.50,5,2,5.59
2022-04-19 14:15:42,4.50,7,2,5.79
2022-04-19 14:15:44,2,1,3,5.66
2022-04-19 14:15:46,1,0,2,5.38
2022-04-19 14:15:48,1.50,1,2,5.03
2022-04-19 14:15:50,2.00,3,0.997,4.69
2022-04-19 14:15:52,4.50,4,5,4.93
2022-04-19 14:15:54,2,3,1,4.97
2022-04-19 14:15:56,3,4,2,5.03
2022-04-19 14:15:58,3,2,4,5.10
2022-04-19 14:16:00,1.50,3,0,5
2022-04-19 14:16:02,2.50,1,4,4.93
2022-04-19 14:16:04,2,1,3,5.03
2022-04-19 14:16:06,3.50,2,5,5.07
2022-04-19 14:16:08,2,1,3,4.93
2022-04-19 14:16:10,3,4,2,4.97
2022-04-19 14:16:12,3,2,4,4.97
2022-04-19 14:16:14,2.50,3,2,5
2022-04-19 14:16:16,1.50,1,2,5.21
2022-04-19 14:16:18,1.50,1,2,5.34
2022-04-19 14:16:20,2,2,2,5.24
2022-04-19 14:16:22,4.50,4,5,5.17
2022-04-19 14:16:24,4,4,4,5.48
2022-04-19 14:16:26,1.50,2,1,5.28
2022-04-19 14:16:28,2.50,1,4,5.31
2022-04-19 14:16:30,1.50,2,1,5.28
2022-04-19 14:16:32,1.50,0,3,5.17
2022-04-19 14:16:34,2.50,1,4,5.03
2022-04-19 14:16:36,3,1,5,4.90
2022-04-19 14:16:38,3,4,2,5.10
2022-04-19 14:16:40,3.50,5,2,5.07
2022-04-19 14:16:42,2.50,2,3,4.93
2022-04-19 14:16:44,3,4,2,4.97
2022-04-19 14:16:46,2,1,3,4.97
2022-04-19 14:16:48,3.50,3,4,5.07
2022-04-19 14:16:50,4,4,4,5.10
2022-04-19 14:16:52,2.50,2,3,4.79
2022-04-19 14:16:54,2.50,2,3,4.79
2022-04-19 14:16:56,3.50,4,3,4.97
2022-04-19 14:16:58,0.500,0,1,4.83
2022-04-19 14:17:00,3,4,2,4.97
2022-04-19 14:17:02,1.50,1,2,5.14
2022-04-19 14:17:04,2,3,1,5.38
2022-04-19 14:17:06,2.99,3,2.98,5.21
2022-04-19 14:17:08,0.500,1,0,5.03
2022-04-19 14:17:10,2,0,4,4.97
2022-04-19 14:17:12,2,3,1,4.79
2022-04-19 14:17:14,1.50,2,1,4.83
2022-04-19 14:17:16,5,5,5,5.07
2022-04-19 14:17:18,1,1,1,4.97
2022-04-19 14:17:20,1.50,2,1,4.79
2022-04-19 14:17:22,2.50,2,3,4.76
2022-04-19 14:17:24,4.50,4,5,4.93
2022-04-19 14:17:26,4,4,4,4.97
2022-04-19 14:17:28,2,4,0,5
2022-04-19 14:17:30,3,2,4,4.90
2022-04-19 14:17:32,3.50,5,2,4.83
2022-04-19 14:17:34,3,4,2,4.93
2022-04-19 14:17:36,3,3,3,5.03
2022-04-19 14:17:38,2,2,2,5.03
2022-04-19 14:17:40,3,4,2,5.24
2022-04-19 14:17:42,4.50,5,4,5.41
2022-04-19 14:17:44,3.50,2,5,5.52
2022-04-19 14:17:46,5,5,5,5.72
2022-04-19 14:17:48,3,4,2,5.86
2022-04-19 14:17:50,2.50,2,3,5.86
2022-04-19 14:17:52,3.50,2,5,5.97
2022-04-19 14:17:54,1.50,2,1,5.90
2022-04-19 14:17:56,4.48,4,4.96,6.14
2022-04-19 14:17:58,2,3,1,6.21
2022-04-19 14:18:00,3,3,3,6.21
2022-04-19 14:18:02,2.50,2,3,6.14
2022-04-19 14:18:04,3.50,3,4,6.07
2022-04-19 14:18:06,3,6,0,6.17
2022-04-19 14:18:08,3,4,2,6.10
2022-04-19 14:18:10,3.50,4,3,6.14
2022-04-19 14:18:12,2.50,0,5,6.07
2022-04-19 14:18:14,3,3,3,5.79
2022-04-19 14:18:16,2.50,4,1,5.62
2022-04-19 14:18:18,0.500,0,1,5.45
2022-04-19 14:18:20,3,4,2,5.52
2022-04-19 14:18:22,3,2,4,5.52
2022-04-19 14:18:24,2.50,2,3,5.41
2022-04-19 14:18:26,3.50,4,3,5.41
2022-04-19 14:18:28,2,2,2,5.34
2022-04-19 14:18:30,4,6,2,5.52
2022-04-19 14:18:32,2.50,3,2,5.41
2022-04-19 14:18:34,1,1,1,5.17
2022-04-19 14:18:36,2,2,2,5.17
2022-04-19 14:18:38,4,4,4,5.14
2022-04-19 14:18:40,4.50,5,4,5.24
2022-04-19 14:18:42,2,3,1,5.34
2022-04-19 14:18:44,2,1,3,5.24
2022-04-19 14:18:46,3.00,3.01,2.99,5.41
2022-04-19 14:18:48,2,2,2,5.41
2022-04-19 14:18:50,3.50,5,2,5.24
2022-04-19 14:18:52,4.50,2,7,5.28
2022-04-19 14:18:54,1.50,1,2,5.03
2022-04-19 14:18:56,0.500,1,0,4.90
