"Time","Average Request Rate","edge-server-cv-74d975f7cd-dh5z7 Requests/2s","edge-server-cv-74d975f7cd-rtzfz Requests/2s","avg_requests/30"
2022-04-18 15:54:12,2.50,2,3,2.34
2022-04-18 15:54:13,2.50,4,1,2.38
2022-04-18 15:54:14,0.500,1,0,2.38
2022-04-18 15:54:15,0.500,0,1,2.38
2022-04-18 15:54:16,0.500,0,1,2.34
2022-04-18 15:54:17,0.500,0,1,2.17
2022-04-18 15:54:18,2,2,2,2.14
2022-04-18 15:54:19,1,1,1,2.14
2022-04-18 15:54:20,1,1,1,2.07
2022-04-18 15:54:21,0.500,1,0,2.03
2022-04-18 15:54:22,2.50,3,2,2.14
2022-04-18 15:54:23,0,0,0,2.10
2022-04-18 15:54:24,0.500,1,0,2.10
2022-04-18 15:54:25,0.500,1,0,2.10
2022-04-18 15:54:26,1.50,1,2,2.17
2022-04-18 15:54:27,0.500,1,0,2.17
2022-04-18 15:54:28,2,1,3,2.28
2022-04-18 15:54:29,0.500,0,1,2.17
2022-04-18 15:54:30,0,0,0,2.03
2022-04-18 15:54:31,0.500,1,0,2
2022-04-18 15:54:32,1.50,0,3,1.97
2022-04-18 15:54:33,0.500,0,1,1.93
2022-04-18 15:54:34,1.50,2,1,2
2022-04-18 15:54:35,0.500,1,0,1.93
2022-04-18 15:54:36,0,0,0,1.86
2022-04-18 15:54:37,1.50,1,2,1.97
2022-04-18 15:54:38,1,0,2,1.97
2022-04-18 15:54:39,0.500,0,1,1.93
2022-04-18 15:54:40,1.50,0,3,1.97
2022-04-18 15:54:41,1,1,1,1.86
2022-04-18 15:54:42,0.500,1,0,1.72
2022-04-18 15:54:43,1,2,0,1.76
2022-04-18 15:54:44,1.50,1,2,1.83
2022-04-18 15:54:45,0,0,0,1.79
2022-04-18 15:54:46,1.50,1,2,1.86
2022-04-18 15:54:47,2,1,3,1.86
2022-04-18 15:54:48,1.50,1,2,1.90
2022-04-18 15:54:49,1,1,1,1.90
2022-04-18 15:54:50,0.500,1,0,1.90
2022-04-18 15:54:51,1,1,1,1.79
2022-04-18 15:54:52,0.500,1,0,1.83
2022-04-18 15:54:53,0,0,0,1.79
2022-04-18 15:54:54,0.500,1,0,1.79
2022-04-18 15:54:55,2,3,1,1.83
2022-04-18 15:54:56,0.500,1,0,1.83
2022-04-18 15:54:57,0.500,0,1,1.72
2022-04-18 15:54:58,0.500,0,1,1.72
2022-04-18 15:54:59,0.500,1,0,1.76
2022-04-18 15:55:00,1.50,3,0,1.83
2022-04-18 15:55:01,0,0,0,1.72
2022-04-18 15:55:02,2.50,1,4,1.86
2022-04-18 15:55:03,0,0,0,1.76
2022-04-18 15:55:04,2,1,3,1.86
2022-04-18 15:55:05,1.50,2,1,1.97
2022-04-18 15:55:06,1,1,1,1.93
2022-04-18 15:55:07,2,1,3,2
2022-04-18 15:55:08,1.50,1,2,2.07
2022-04-18 15:55:09,0,0,0,1.97
2022-04-18 15:55:10,1.50,2,1,2
2022-04-18 15:55:11,1.50,1,2,2.07
2022-04-18 15:55:12,1,0,2,2.07
2022-04-18 15:55:13,1.50,2,1,2.07
2022-04-18 15:55:14,1,0,2,2.14
2022-04-18 15:55:15,0.500,1,0,2.07
2022-04-18 15:55:16,2,3,1,2.07
2022-04-18 15:55:17,1.50,1,2,2.07
2022-04-18 15:55:18,0.500,0,1,2.03
2022-04-18 15:55:19,0.500,1,0,2.03
2022-04-18 15:55:20,2,2,2,2.10
2022-04-18 15:55:21,1,1,1,2.14
2022-04-18 15:55:22,0.500,1,0,2.17
2022-04-18 15:55:23,0.500,1,0,2.17
2022-04-18 15:55:24,0.500,0,1,2.07
2022-04-18 15:55:25,1.50,2,1,2.14
2022-04-18 15:55:26,1.50,2,1,2.21
2022-04-18 15:55:27,1,1,1,2.24
2022-04-18 15:55:28,1.50,2,1,2.31
2022-04-18 15:55:29,1,2,0,2.28
2022-04-18 15:55:30,1,1,1,2.34
2022-04-18 15:55:31,2,3,1,2.31
2022-04-18 15:55:32,0.500,0,1,2.34
2022-04-18 15:55:33,1.50,2,1,2.31
2022-04-18 15:55:34,2,3,1,2.34
2022-04-18 15:55:35,1.50,2,1,2.38
2022-04-18 15:55:36,0.500,1,0,2.28
2022-04-18 15:55:37,1.50,1,2,2.28
2022-04-18 15:55:38,1.50,2,1,2.38
2022-04-18 15:55:39,1,1,1,2.34
2022-04-18 15:55:40,0,0,0,2.24
2022-04-18 15:55:41,0.500,1,0,2.21
2022-04-18 15:55:42,2.50,3,1.99,2.28
2022-04-18 15:55:43,2.01,1,3.01,2.34
2022-04-18 15:55:44,0.500,1,0,2.34
2022-04-18 15:55:45,1,2,0,2.28
2022-04-18 15:55:46,1,1,1,2.24
2022-04-18 15:55:47,2,2,2,2.34
2022-04-18 15:55:48,1,1,1,2.38
2022-04-18 15:55:49,1.50,2,1,2.34
2022-04-18 15:55:50,0.500,0,1,2.31
2022-04-18 15:55:51,1.50,2,1,2.38
2022-04-18 15:55:52,0,0,0,2.34
2022-04-18 15:55:53,1,1,1,2.38
2022-04-18 15:55:54,1.50,2,1,2.38
2022-04-18 15:55:55,0.500,1,0,2.31
2022-04-18 15:55:56,1,0,2,2.31
2022-04-18 15:55:57,0,0,0,2.21
2022-04-18 15:55:58,0.500,1,0,2.17
2022-04-18 15:55:59,0.500,1,0,2.14
2022-04-18 15:56:00,1,1,1,2.07
2022-04-18 15:56:01,1.50,1,2,2.14
2022-04-18 15:56:02,0.500,0,1,2.07
2022-04-18 15:56:03,2.50,0.997,4,2.10
2022-04-18 15:56:04,0.500,0,1,2.03
2022-04-18 15:56:05,1.50,1,2,2.10
2022-04-18 15:56:06,1.50,1,2,2.10
2022-04-18 15:56:07,1,2,0,2.07
2022-04-18 15:56:08,0.500,0,1,2.03
2022-04-18 15:56:09,2,1,3,2.17
2022-04-18 15:56:10,3.50,4,3,2.38
2022-04-18 15:56:11,1.50,2,1,2.31
2022-04-18 15:56:12,0.500,1,0,2.21
2022-04-18 15:56:13,0.500,0,1,2.21
2022-04-18 15:56:14,0.500,0,1,2.17
2022-04-18 15:56:15,1,1,1,2.17
2022-04-18 15:56:16,1,1,1,2.10
2022-04-18 15:56:17,1,0,2,2.10
2022-04-18 15:56:18,2,2,2,2.14
2022-04-18 15:56:19,2,3,1,2.24
2022-04-18 15:56:20,0.500,1,0,2.17
2022-04-18 15:56:21,1.50,2,1,2.28
2022-04-18 15:56:22,1,2,0,2.28
2022-04-18 15:56:23,0.500,0,1,2.21
2022-04-18 15:56:24,0.500,0,1,2.21
2022-04-18 15:56:25,1,2,0,2.21
2022-04-18 15:56:26,2.50,1,4,2.38
2022-04-18 15:56:27,0,0,0,2.34
2022-04-18 15:56:28,1,2,0,2.38
2022-04-18 15:56:29,1.50,3,0,2.41
2022-04-18 15:56:30,2,1,3,2.45
2022-04-18 15:56:31,2.50,2,3,2.59
2022-04-18 15:56:32,1,2,0,2.48
2022-04-18 15:56:33,0.500,0,1,2.48
2022-04-18 15:56:34,0.500,1,0,2.41
2022-04-18 15:56:35,1,1,1,2.38
2022-04-18 15:56:36,1,0,2,2.38
2022-04-18 15:56:37,1,1,1,2.41
2022-04-18 15:56:38,0,0,0,2.28
2022-04-18 15:56:39,1.50,1,2,2.14
2022-04-18 15:56:40,1.50,1,2,2.14
2022-04-18 15:56:41,0.500,0,1,2.14
2022-04-18 15:56:42,1.50,3,0,2.21
2022-04-18 15:56:43,0.500,1,0,2.21
2022-04-18 15:56:44,1,2,0,2.21
2022-04-18 15:56:45,2.50,5,0,2.31
2022-04-18 15:56:46,0.500,1,0,2.28
2022-04-18 15:56:47,1,2,0,2.21
2022-04-18 15:56:48,0.500,1,0,2.10
2022-04-18 15:56:49,1,2,0,2.14
2022-04-18 15:56:50,0.500,1,0,2.07
2022-04-18 15:56:51,0.500,1,0,2.03
2022-04-18 15:56:52,0.996,1,0.992,2.07
2022-04-18 15:56:53,1.50,2,1.01,2.14
2022-04-18 15:56:54,1,0,2,2.14
2022-04-18 15:56:55,1,1,1,2.03
2022-04-18 15:56:56,1.50,1,2,2.14
2022-04-18 15:56:57,0.500,0,1,2.10
2022-04-18 15:56:58,1.50,2,1,2.10
2022-04-18 15:56:59,0.500,1,0,2
2022-04-18 15:57:00,1.50,2,1,1.93
2022-04-18 15:57:01,2,2,2,2
2022-04-18 15:57:02,0.500,1,0,2
2022-04-18 15:57:03,0.500,1,0,2
2022-04-18 15:57:04,0.500,1,0,1.97
2022-04-18 15:57:05,1,2,0,1.97
2022-04-18 15:57:06,1.50,1,2,2
2022-04-18 15:57:07,1,0,2,2.07
2022-04-18 15:57:08,1.50,3,0,2.07
2022-04-18 15:57:09,0.500,1,0,2
2022-04-18 15:57:10,1,1,1,2.03
2022-04-18 15:57:11,0.500,0,1,1.97
2022-04-18 15:57:12,0.500,0,1,1.97
2022-04-18 15:57:13,0.500,0,1,1.93
2022-04-18 15:57:14,1.50,3,0,1.86
2022-04-18 15:57:15,1.50,1,2,1.93
2022-04-18 15:57:16,1,2,0,1.93
2022-04-18 15:57:17,0,0,0,1.90
2022-04-18 15:57:18,1,1,1,1.90
2022-04-18 15:57:19,0.500,0,1,1.90
2022-04-18 15:57:20,0.500,1,0,1.90
2022-04-18 15:57:21,0.500,0,1,1.86
2022-04-18 15:57:22,0.500,0,1,1.79
2022-04-18 15:57:23,0.500,1,0,1.76
2022-04-18 15:57:24,1,2,0,1.76
2022-04-18 15:57:25,1,2,0,1.72
2022-04-18 15:57:26,1.50,0,3,1.79
2022-04-18 15:57:27,0.500,0,1,1.72
2022-04-18 15:57:28,2.50,2,3,1.86
2022-04-18 15:57:29,0.500,0,1,1.79
2022-04-18 15:57:30,1.50,2,1,1.76
2022-04-18 15:57:31,2,1,3,1.86
2022-04-18 15:57:32,1.50,2,1,1.93
2022-04-18 15:57:33,0.500,1,0,1.93
2022-04-18 15:57:34,0.500,1,0,1.90
2022-04-18 15:57:35,1,1,1,1.86
2022-04-18 15:57:36,0.500,0,1,1.83
2022-04-18 15:57:37,0.500,1,0,1.76
2022-04-18 15:57:38,0.500,1,0,1.76
2022-04-18 15:57:39,0.500,1,0,1.72
2022-04-18 15:57:40,1.50,1,2,1.79
2022-04-18 15:57:41,1,1,1,1.83
2022-04-18 15:57:42,2,1,3,1.93
2022-04-18 15:57:43,1,2,0,1.90
2022-04-18 15:57:44,1.50,2,1,1.90
2022-04-18 15:57:45,1.50,1,2,1.93
2022-04-18 15:57:46,0.500,1,0,1.97
2022-04-18 15:57:47,0,0,0,1.90
2022-04-18 15:57:48,1.50,1,2,1.97
2022-04-18 15:57:49,1,2,0,2.00
2022-04-18 15:57:50,1,1,1,2.03
2022-04-18 15:57:51,1,2,0,2.07
2022-04-18 15:57:52,0,0,0,2.03
2022-04-18 15:57:53,0,0,0,1.97
2022-04-18 15:57:54,0.500,0,1,1.93
2022-04-18 15:57:55,0.500,1,0,1.86
2022-04-18 15:57:56,1.50,3,0,1.93
2022-04-18 15:57:57,0,0,0,1.76
2022-04-18 15:57:58,1,1,1,1.79
2022-04-18 15:57:59,2,3,1,1.83
2022-04-18 15:58:00,1,0,2,1.76
2022-04-18 15:58:01,0.500,0,1,1.69
2022-04-18 15:58:02,0.500,0,1,1.69
2022-04-18 15:58:03,1.50,0,3,1.76
2022-04-18 15:58:04,1,1,1,1.76
2022-04-18 15:58:05,1.50,1,2,1.83
2022-04-18 15:58:06,1.50,1,2,1.90
2022-04-18 15:58:07,0,0,0,1.86
2022-04-18 15:58:08,2.50,2,3,2
2022-04-18 15:58:09,0.500,0,1,1.93
2022-04-18 15:58:10,2,1,3,2
2022-04-18 15:58:11,1,1,1,1.93
2022-04-18 15:58:12,0,0,0,1.86
2022-04-18 15:58:13,0,0,0,1.76
2022-04-18 15:58:14,1,0,2,1.72
2022-04-18 15:58:15,0.500,0,1,1.72
2022-04-18 15:58:16,0.500,0,1,1.76
2022-04-18 15:58:17,0.500,1,0,1.69
2022-04-18 15:58:18,0.500,0,1,1.66
2022-04-18 15:58:19,2.00,2,1.99,1.72
2022-04-18 15:58:20,1.00,1,1.00,1.72
2022-04-18 15:58:21,0,0,0,1.72
2022-04-18 15:58:22,0.500,1,0,1.76
2022-04-18 15:58:23,0.500,0,1,1.76
2022-04-18 15:58:24,1,0,2,1.79
2022-04-18 15:58:25,1,1,1,1.76
2022-04-18 15:58:26,1,1,1,1.83
2022-04-18 15:58:27,0.500,0,1,1.79
2022-04-18 15:58:28,0,0,0,1.66
2022-04-18 15:58:29,1,1,1,1.66
2022-04-18 15:58:30,0.500,0,1,1.66
2022-04-18 15:58:31,2,1,3,1.76
2022-04-18 15:58:32,1,0,2,1.72
2022-04-18 15:58:33,1,1,1,1.72
2022-04-18 15:58:34,1,1,1,1.69
2022-04-18 15:58:35,1,1,1,1.66
2022-04-18 15:58:36,0,0,0,1.66
2022-04-18 15:58:37,0.500,1,0,1.52
2022-04-18 15:58:38,1,1,1,1.55
2022-04-18 15:58:39,1.50,3,0,1.52
2022-04-18 15:58:40,0.500,0,1,1.48
2022-04-18 15:58:41,1,2,0,1.55
2022-04-18 15:58:42,1.50,2,1,1.66
2022-04-18 15:58:43,0.500,1,0,1.62
2022-04-18 15:58:44,1,1,1,1.66
2022-04-18 15:58:45,0,0,0,1.62
2022-04-18 15:58:46,0,0,0,1.59
2022-04-18 15:58:47,0.500,1,0,1.59
2022-04-18 15:58:48,2,1,3,1.59
2022-04-18 15:58:49,1,2,0,1.59
2022-04-18 15:58:50,0.500,0,1,1.62
2022-04-18 15:58:51,3,4,2,1.79
2022-04-18 15:58:52,2.50,1,4,1.93
2022-04-18 15:58:53,0.500,0,1,1.90
2022-04-18 15:58:54,2.50,5,0,2.00
2022-04-18 15:58:55,1.50,2,1,2.03
2022-04-18 15:58:56,1.50,1,2,2.10
2022-04-18 15:58:57,0.500,0,1,2.14
2022-04-18 15:58:58,1,0,2,2.14
2022-04-18 15:58:59,0,0,0,2.10
2022-04-18 15:59:00,1,1,1,2.03
2022-04-18 15:59:01,0.500,1,0,2
2022-04-18 15:59:02,1,1,1,2
2022-04-18 15:59:03,1.50,1,2,2.03
2022-04-18 15:59:04,0,0,0,1.97
2022-04-18 15:59:05,1.50,0,3,2.07
2022-04-18 15:59:06,1,1,1,2.10
2022-04-18 15:59:07,0.500,1,0,2.07
2022-04-18 15:59:08,0,0,0,1.97
2022-04-18 15:59:09,1,0,2,2
2022-04-18 15:59:10,1.50,1,2,2.03
2022-04-18 15:59:11,1,1,1,2
2022-04-18 15:59:12,1.50,1,2,2.07
2022-04-18 15:59:13,1,1,1,2.07
2022-04-18 15:59:14,1,1,1,2.14
2022-04-18 15:59:15,1,0,2,2.21
2022-04-18 15:59:16,1,1,1,2.24
2022-04-18 15:59:17,0.500,1,0,2.14
2022-04-18 15:59:18,1.50,2,1,2.17
2022-04-18 15:59:19,1.50,3,0,2.24
2022-04-18 15:59:20,3,2,4,2.24
2022-04-18 15:59:21,0,0,0,2.07
2022-04-18 15:59:22,0.500,0,1,2.07
2022-04-18 15:59:23,0.500,0,1,1.93
2022-04-18 15:59:24,0.500,1,0,1.86
2022-04-18 15:59:25,0.500,1,0,1.79
2022-04-18 15:59:26,0.500,0,1,1.79
2022-04-18 15:59:27,1,1,1,1.79
2022-04-18 15:59:28,1,2,0,1.86
2022-04-18 15:59:29,2,2,2,1.93
2022-04-18 15:59:30,1.50,0,3,2
2022-04-18 15:59:31,1,2,0,2
2022-04-18 15:59:32,1.50,1,2,2
2022-04-18 15:59:33,1,1,1,2.07
2022-04-18 15:59:34,2.50,2,3,2.14
2022-04-18 15:59:35,0.500,1,0,2.10
2022-04-18 15:59:36,1.50,1,2,2.17
2022-04-18 15:59:37,1.50,2,1,2.28
2022-04-18 15:59:38,1.50,1,2,2.31
2022-04-18 15:59:39,0.500,0,1,2.24
2022-04-18 15:59:40,0,0,0,2.17
2022-04-18 15:59:41,0,0,0,2.07
2022-04-18 15:59:42,1,2,0,2.07
2022-04-18 15:59:43,0,0,0,2
2022-04-18 15:59:44,2,2,2,2.07
2022-04-18 15:59:45,0.500,0,1,2.03
2022-04-18 15:59:46,0.500,0,1,2.03
2022-04-18 15:59:47,1,0,2,2
2022-04-18 15:59:48,1.50,3,0,2
2022-04-18 15:59:49,1,2,0,1.86
2022-04-18 15:59:50,1,2,0,1.93
2022-04-18 15:59:51,0.500,0,1,1.93
2022-04-18 15:59:52,0.500,0,1,1.93
2022-04-18 15:59:53,1.50,2,1,2.00
2022-04-18 15:59:54,0.500,0,1,2
2022-04-18 15:59:55,1.50,2,1,2.07
2022-04-18 15:59:56,3,3,3,2.21
2022-04-18 15:59:57,1,1,1,2.21
2022-04-18 15:59:58,1.50,2,1,2.17
2022-04-18 15:59:59,0.500,0,1,2.10
2022-04-18 16:00:00,1,0,2,2.10
2022-04-18 16:00:01,0,0,0,2
2022-04-18 16:00:02,0.500,1,0,1.97
2022-04-18 16:00:03,0.500,0,1,1.83
2022-04-18 16:00:04,0.500,1,0,1.83
2022-04-18 16:00:05,0,0,0,1.72
2022-04-18 16:00:06,1.50,2,1,1.72
2022-04-18 16:00:07,0,0,0,1.62
2022-04-18 16:00:08,0,0,0,1.59
2022-04-18 16:00:09,1,0,2,1.66
2022-04-18 16:00:10,0,0,0,1.66
2022-04-18 16:00:11,1.50,3,0,1.69
2022-04-18 16:00:12,1.50,2,1,1.79
2022-04-18 16:00:13,2,2,2,1.79
2022-04-18 16:00:14,2.50,2,3,1.93
2022-04-18 16:00:15,0.500,1,0,1.93
2022-04-18 16:00:16,2.50,2,3,2.03
2022-04-18 16:00:17,1.50,2,1,2.03
2022-04-18 16:00:18,1,0,2,2.03
2022-04-18 16:00:19,1,2,0,2.03
2022-04-18 16:00:20,0,0,0,2
2022-04-18 16:00:21,2,2,2,2.10
2022-04-18 16:00:22,1,0,2,2.07
2022-04-18 16:00:23,1,2,0,2.10
2022-04-18 16:00:24,1,2,0,2.07
2022-04-18 16:00:25,1,0,2,1.93
2022-04-18 16:00:26,2.50,2,3,2.03
2022-04-18 16:00:27,0.500,1,0,1.97
2022-04-18 16:00:28,1,1,1,2
2022-04-18 16:00:29,0.500,1,0,1.97
2022-04-18 16:00:30,1.50,0,3,2.07
2022-04-18 16:00:31,0.500,0,1,2.07
2022-04-18 16:00:32,0.500,1,0,2.07
2022-04-18 16:00:33,1,1,1,2.10
2022-04-18 16:00:34,1.50,1,2,2.21
2022-04-18 16:00:35,0,0,0,2.10
2022-04-18 16:00:36,1,2,0,2.17
2022-04-18 16:00:37,3,2,4,2.38
2022-04-18 16:00:38,2,3,1,2.45
2022-04-18 16:00:39,2,1,3,2.59
2022-04-18 16:00:40,1,1,1,2.55
2022-04-18 16:00:41,1.50,1,2,2.55
2022-04-18 16:00:42,2,4,0,2.55
2022-04-18 16:00:43,1.50,2,1,2.48
2022-04-18 16:00:44,1.50,1,2,2.55
2022-04-18 16:00:45,0.500,0,1,2.41
2022-04-18 16:00:46,1,1,1,2.38
2022-04-18 16:00:47,0.500,0,1,2.34
2022-04-18 16:00:48,2,2,2,2.41
2022-04-18 16:00:49,0.500,1,0,2.45
2022-04-18 16:00:50,0.500,1,0,2.34
2022-04-18 16:00:51,1.50,2,1,2.38
2022-04-18 16:00:52,1.50,2,1,2.41
2022-04-18 16:00:53,2,3,1,2.48
2022-04-18 16:00:54,2,1,3,2.55
2022-04-18 16:00:55,0.500,1,0,2.41
2022-04-18 16:00:56,0.500,1,0,2.41
2022-04-18 16:00:57,2.50,3,2,2.52
2022-04-18 16:00:58,0.500,1,0,2.52
2022-04-18 16:00:59,1,2,0,2.48
2022-04-18 16:01:00,2,3,1,2.59
2022-04-18 16:01:01,0.500,0,1,2.59
2022-04-18 16:01:02,0,0,0,2.52
2022-04-18 16:01:03,0.500,1,0,2.45
2022-04-18 16:01:04,0.500,1,0,2.48
2022-04-18 16:01:05,1.50,1,2,2.52
2022-04-18 16:01:06,1,0,2,2.38
2022-04-18 16:01:07,2,3,1,2.38
2022-04-18 16:01:08,2,2,2,2.38
2022-04-18 16:01:09,1.50,2,1,2.41
2022-04-18 16:01:10,1,0,2,2.38
2022-04-18 16:01:11,3,2,4,2.45
2022-04-18 16:01:12,1.50,2,0.996,2.45
2022-04-18 16:01:13,2.00,3,1.00,2.48
2022-04-18 16:01:14,1,1,1,2.52
2022-04-18 16:01:15,1,0,2,2.52
2022-04-18 16:01:16,2,2,2,2.62
2022-04-18 16:01:17,1.50,2,1,2.59
2022-04-18 16:01:18,2,2,2,2.69
2022-04-18 16:01:19,3,2,4,2.86
2022-04-18 16:01:20,1.50,2,1,2.86
2022-04-18 16:01:21,0,0,0,2.76
2022-04-18 16:01:22,3,2,4,2.83
2022-04-18 16:01:23,1,2,0,2.76
2022-04-18 16:01:24,0,0,0,2.72
2022-04-18 16:01:25,2.50,2,3,2.86
2022-04-18 16:01:26,0.500,1,0,2.72
2022-04-18 16:01:27,1,0,2,2.76
2022-04-18 16:01:28,1,0,2,2.76
2022-04-18 16:01:29,0,0,0,2.62
2022-04-18 16:01:30,1.50,1,2,2.69
2022-04-18 16:01:31,0,0,0,2.69
2022-04-18 16:01:32,0,0,0,2.66
2022-04-18 16:01:33,1.50,0,3,2.72
2022-04-18 16:01:34,0.500,0,1,2.66
2022-04-18 16:01:35,0.500,0,1,2.62
2022-04-18 16:01:36,1,0,2,2.55
2022-04-18 16:01:37,0,0,0,2.41
2022-04-18 16:01:38,1,1,1,2.38
2022-04-18 16:01:39,0,0,0,2.31
2022-04-18 16:01:40,1,2,0,2.17
2022-04-18 16:01:41,0.500,0,1,2.10
2022-04-18 16:01:42,1.50,1,2,2.07
