"Time","Average Request Rate","edge-server-cv-74d975f7cd-64tvg Requests/2s","edge-server-cv-74d975f7cd-xj7sb Requests/2s","avg_requests/30"
2022-04-18 16:37:42,1.50,2,1,3.52
2022-04-18 16:37:43,0.500,1,0,3.34
2022-04-18 16:37:44,1,1,1,3.21
2022-04-18 16:37:45,1.50,0,3,3.17
2022-04-18 16:37:46,5,4,6,3.34
2022-04-18 16:37:47,1,0,2,3.28
2022-04-18 16:37:48,1.50,2,1,3.28
2022-04-18 16:37:49,1,2,0,3.16
2022-04-18 16:37:50,0.500,1,0,3.17
2022-04-18 16:37:51,1,0,2,3
2022-04-18 16:37:52,2.50,2,3,3.14
2022-04-18 16:37:53,0,0,0,3
2022-04-18 16:37:54,1,1,1,3
2022-04-18 16:37:55,1,0,2,2.97
2022-04-18 16:37:56,3.50,4,3,3.03
2022-04-18 16:37:57,0,0,0,2.97
2022-04-18 16:37:58,1,1,1,2.93
2022-04-18 16:37:59,0.500,0,1,2.86
2022-04-18 16:38:00,1,0,2,2.86
2022-04-18 16:38:01,1.50,1,2,2.83
2022-04-18 16:38:02,1.50,2,1,2.79
2022-04-18 16:38:03,0.500,0,1,2.69
2022-04-18 16:38:04,1.50,3,0,2.72
2022-04-18 16:38:05,0.500,0,1,2.69
2022-04-18 16:38:06,1.50,2,1,2.72
2022-04-18 16:38:07,0.500,1,0,2.69
2022-04-18 16:38:08,1.50,1,2,2.66
2022-04-18 16:38:09,0,0,0,2.52
2022-04-18 16:38:10,3,2,4,2.55
2022-04-18 16:38:11,2,3,1,2.59
2022-04-18 16:38:12,1.50,1,2,2.66
2022-04-18 16:38:13,2,3,1,2.72
2022-04-18 16:38:14,0,0,0,2.62
2022-04-18 16:38:15,3.00,2.01,4,2.48
2022-04-18 16:38:16,1.50,1,2,2.52
2022-04-18 16:38:17,1,2,0,2.48
2022-04-18 16:38:18,0,0,0,2.41
2022-04-18 16:38:19,1,2,0,2.45
2022-04-18 16:38:20,2,2,2,2.52
2022-04-18 16:38:21,1,0,2,2.41
2022-04-18 16:38:22,0.500,0,1,2.45
2022-04-18 16:38:23,2.50,3,1.99,2.55
2022-04-18 16:38:24,1.50,1,2.01,2.59
2022-04-18 16:38:25,2,2,2,2.48
2022-04-18 16:38:26,1.50,2,1,2.59
2022-04-18 16:38:27,1,0,2,2.59
2022-04-18 16:38:28,2,4,0,2.69
2022-04-18 16:38:29,2.50,4,1,2.79
2022-04-18 16:38:30,0.500,1,0,2.72
2022-04-18 16:38:31,1.50,3,0,2.72
2022-04-18 16:38:32,0.500,0,1,2.72
2022-04-18 16:38:33,1.50,1,2,2.72
2022-04-18 16:38:34,1,1,1,2.76
2022-04-18 16:38:35,1.50,0,3,2.76
2022-04-18 16:38:36,2.96,3.91,2,2.93
2022-04-18 16:38:37,0.500,0,1,2.86
2022-04-18 16:38:38,1.50,1,2,2.97
2022-04-18 16:38:39,0.500,0,1,2.79
2022-04-18 16:38:40,2.50,3,2,2.83
2022-04-18 16:38:41,1.50,2,1,2.83
2022-04-18 16:38:42,2,3,1,2.83
2022-04-18 16:38:43,0.500,0,1,2.86
2022-04-18 16:38:44,3,3,3,2.86
2022-04-18 16:38:45,1.50,2,1,2.86
2022-04-18 16:38:46,1.50,2,1,2.90
2022-04-18 16:38:47,1,1,1,2.97
2022-04-18 16:38:48,1.50,1,2,3
2022-04-18 16:38:49,2,3,1,3
2022-04-18 16:38:50,3,3,3,3.14
2022-04-18 16:38:51,1,0,2,3.17
2022-04-18 16:38:52,1,1,1,3.07
2022-04-18 16:38:53,0,,0,2.98
2022-04-18 16:38:54,2,,2,2.97
2022-04-18 16:38:55,3.50,3,4,3.10
2022-04-18 16:38:56,2.50,4,1,3.21
2022-04-18 16:38:57,2.50,4,1,3.24
2022-04-18 16:38:58,1.50,0,3,3.17
2022-04-18 16:38:59,2,3,1,3.28
2022-04-18 16:39:00,1.50,2,1,3.28
2022-04-18 16:39:01,1,1,1,3.31
2022-04-18 16:39:02,0.500,0,1,3.24
2022-04-18 16:39:03,2,2,2,3.31
2022-04-18 16:39:04,3,2,4,3.41
2022-04-18 16:39:05,3,3,,3.29
2022-04-18 16:39:06,2,2,,3.48
2022-04-18 16:39:07,1.50,2,1,3.48
2022-04-18 16:39:08,2.50,1,4,3.62
2022-04-18 16:39:09,1.50,1,2,3.55
2022-04-18 16:39:10,1.50,1,2,3.55
2022-04-18 16:39:11,1.50,1,2,3.52
2022-04-18 16:39:12,2.50,2,3,3.66
2022-04-18 16:39:13,1.50,2,1,3.55
2022-04-18 16:39:14,0,0,0,3.45
2022-04-18 16:39:15,1.50,1,2,3.45
2022-04-18 16:39:16,0.500,1,0,3.41
2022-04-18 16:39:17,1,2,0,3.38
2022-04-18 16:39:18,1.50,2,1,3.34
2022-04-18 16:39:19,1,2,0,3.21
2022-04-18 16:39:20,0,0,0,3.14
2022-04-18 16:39:21,2,2,2,3.21
2022-04-18 16:39:22,2,3,1,3.26
2022-04-18 16:39:23,1.50,2,1,3.31
2022-04-18 16:39:24,3.50,4,3,3.31
2022-04-18 16:39:25,0.500,0,1,3.17
2022-04-18 16:39:26,1,2,0,3.07
2022-04-18 16:39:27,0,,0,2.98
2022-04-18 16:39:28,0,,0,2.93
2022-04-18 16:39:29,2,3,1,2.97
2022-04-18 16:39:30,2.50,3,2,3.07
2022-04-18 16:39:31,1,0,2,3.10
2022-04-18 16:39:32,0.500,0,1,3
2022-04-18 16:39:33,1.50,1,2,2.90
2022-04-18 16:39:34,0.500,0,1,2.71
2022-04-18 16:39:35,3,3,3,2.83
2022-04-18 16:39:36,2.50,3,2,2.90
2022-04-18 16:39:37,3,,3,2.84
2022-04-18 16:39:38,1,,1,2.90
2022-04-18 16:39:39,2,4,0,2.93
2022-04-18 16:39:40,0.500,0,1,2.86
2022-04-18 16:39:41,1,1,1,2.76
2022-04-18 16:39:42,3.50,5,2,2.90
2022-04-18 16:39:43,2,3,1,3.03
2022-04-18 16:39:44,2,2,2,3.07
2022-04-18 16:39:45,1,0,2,3.10
2022-04-18 16:39:46,1,1,1,3.10
2022-04-18 16:39:47,1,2,0,3.07
2022-04-18 16:39:48,1.50,1,2,3.10
2022-04-18 16:39:49,2.50,4,1,3.28
2022-04-18 16:39:50,2.50,1,4,3.31
2022-04-18 16:39:51,2.50,4,1,3.34
2022-04-18 16:39:52,2,2,2,3.38
2022-04-18 16:39:53,1,1,1,3.21
2022-04-18 16:39:54,2,3,1,3.31
2022-04-18 16:39:55,1.50,2,1,3.34
2022-04-18 16:39:56,0.500,1,0,3.26
2022-04-18 16:39:57,1,2,0,3.34
2022-04-18 16:39:58,1.50,3,0,3.31
2022-04-18 16:39:59,0,0,0,3.14
2022-04-18 16:40:00,2,2,2,3.21
2022-04-18 16:40:01,1,2,0,3.24
2022-04-18 16:40:02,1,1,1,3.21
2022-04-18 16:40:03,1,1,1,3.24
2022-04-18 16:40:04,0.500,1,0,3.07
2022-04-18 16:40:05,1.50,1,2,3
2022-04-18 16:40:06,2,2,2,2.88
2022-04-18 16:40:07,0.500,0,1,2.90
2022-04-18 16:40:08,2,0,4,2.90
2022-04-18 16:40:09,0.500,1,0,2.90
2022-04-18 16:40:10,1,1,1,2.90
2022-04-18 16:40:11,2,3,1,2.79
2022-04-18 16:40:12,2,3,1,2.79
2022-04-18 16:40:13,2.50,2,3,2.83
2022-04-18 16:40:14,3.50,5,2,3
2022-04-18 16:40:15,4,,4,3.09
2022-04-18 16:40:16,1,,1,3.07
2022-04-18 16:40:17,2.50,3,2,3.14
2022-04-18 16:40:18,2.50,3,2,3.14
2022-04-18 16:40:19,3,4,2,3.17
2022-04-18 16:40:20,2,2,,3.05
2022-04-18 16:40:21,2,2,,3.10
2022-04-18 16:40:22,1,0,2,3.10
2022-04-18 16:40:23,2,1,3,3.10
2022-04-18 16:40:24,2.50,3,2,3.17
2022-04-18 16:40:25,2.50,4,1,3.31
2022-04-18 16:40:26,3,1,5,3.45
2022-04-18 16:40:27,3,4,2,3.55
2022-04-18 16:40:28,1,2,0,3.62
2022-04-18 16:40:29,1,0,2,3.55
2022-04-18 16:40:30,1,1,1,3.55
2022-04-18 16:40:31,3,3,3,3.69
2022-04-18 16:40:32,0.500,1,0,3.66
2022-04-18 16:40:33,2,3,1,3.76
2022-04-18 16:40:34,1.50,0,3,3.76
2022-04-18 16:40:35,1.50,2,1,3.72
2022-04-18 16:40:36,1.50,2,1,3.79
2022-04-18 16:40:37,1,1,1,3.72
2022-04-18 16:40:38,1.50,2,0.997,3.79
2022-04-18 16:40:39,0.502,0,1.00,3.76
2022-04-18 16:40:40,2,1,3,3.76
2022-04-18 16:40:41,4.50,4,5,3.93
2022-04-18 16:40:42,0,0,0,3.76
2022-04-18 16:40:43,1.50,0,3,3.62
2022-04-18 16:40:44,0,0,0,3.43
2022-04-18 16:40:45,1.50,2,1,3.52
2022-04-18 16:40:46,1.50,1,2,3.45
2022-04-18 16:40:47,1,1,1,3.34
2022-04-18 16:40:48,0.500,1,0,3.17
2022-04-18 16:40:49,2.50,3,2,3.19
2022-04-18 16:40:50,1,0,2,3.17
2022-04-18 16:40:51,1,0,2,3.17
2022-04-18 16:40:52,1.99,1.99,,3.09
2022-04-18 16:40:53,0,0,,3.07
2022-04-18 16:40:54,1.50,1,2,3
2022-04-18 16:40:55,1,1,1,2.86
2022-04-18 16:40:56,1,1,1,2.72
2022-04-18 16:40:57,3,4,2,2.86
2022-04-18 16:40:58,1,2,0,2.86
2022-04-18 16:40:59,0.500,0,1,2.83
2022-04-18 16:41:00,2.50,4,1,2.79
2022-04-18 16:41:01,2.50,2,3,2.93
2022-04-18 16:41:02,0,0,0,2.79
2022-04-18 16:41:03,0,0,0,2.69
2022-04-18 16:41:04,0.500,0,1,2.62
2022-04-18 16:41:05,0.500,1,0,2.55
2022-04-18 16:41:06,1.50,1,2,2.59
2022-04-18 16:41:07,1,2,0,2.55
2022-04-18 16:41:08,2,1,3,2.66
2022-04-18 16:41:09,0.500,0,1,2.55
2022-04-18 16:41:10,2.50,3,2,2.41
2022-04-18 16:41:11,1.50,2,1,2.52
2022-04-18 16:41:12,2,3,1,2.55
2022-04-18 16:41:13,1.50,1,2,2.66
2022-04-18 16:41:14,2,2,2,2.69
2022-04-18 16:41:15,1,1,1,2.66
2022-04-18 16:41:16,0,0,0,2.59
2022-04-18 16:41:17,1.50,3,0,2.66
2022-04-18 16:41:18,0.500,1,0,2.52
2022-04-18 16:41:19,1,1,1,2.52
2022-04-18 16:41:20,0.500,1,0,2.48
2022-04-18 16:41:21,1.50,2,1,2.39
2022-04-18 16:41:22,1.50,1,2,2.48
2022-04-18 16:41:23,1,1,1,2.45
2022-04-18 16:41:24,1.50,2,1,2.48
2022-04-18 16:41:25,2,2,2,2.55
2022-04-18 16:41:26,1,2,0,2.41
2022-04-18 16:41:27,2.50,3,2,2.52
2022-04-18 16:41:28,0,0,0,2.48
2022-04-18 16:41:29,2,2,2,2.45
2022-04-18 16:41:30,3,1,5,2.48
2022-04-18 16:41:31,1.50,0,3,2.59
2022-04-18 16:41:32,0.500,1,0,2.62
2022-04-18 16:41:33,0.500,0,1,2.62
2022-04-18 16:41:34,1.50,1,2,2.69
2022-04-18 16:41:35,1,0,2,2.66
2022-04-18 16:41:36,0.500,1,0,2.62
2022-04-18 16:41:37,0,0,0,2.48
2022-04-18 16:41:38,1,1,1,2.52
2022-04-18 16:41:39,1,1,1,2.41
2022-04-18 16:41:40,0.500,0,1,2.34
2022-04-18 16:41:41,1,2,0,2.28
2022-04-18 16:41:42,0,0,0,2.17
2022-04-18 16:41:43,1,0,2,2.10
2022-04-18 16:41:44,3,4,2,2.24
2022-04-18 16:41:45,0.500,1,0,2.28
2022-04-18 16:41:46,1.50,2,1,2.28
2022-04-18 16:41:47,0.500,0,1,2.28
2022-04-18 16:41:48,0.500,1,0,2.24
2022-04-18 16:41:49,1,2,0,2.28
2022-04-18 16:41:50,1.50,2,1,2.28
2022-04-18 16:41:51,2,3,1,2.31
2022-04-18 16:41:52,1.50,1,2,2.34
2022-04-18 16:41:53,2,3,1,2.38
2022-04-18 16:41:54,0,0,0,2.24
2022-04-18 16:41:55,1,1,1,2.24
2022-04-18 16:41:56,1,0,2,2.14
2022-04-18 16:41:57,0.500,0,1,2.17
2022-04-18 16:41:58,0,0,0,2.03
2022-04-18 16:41:59,1,2,0,1.90
2022-04-18 16:42:00,1,0,2,1.86
2022-04-18 16:42:01,2,2,2,1.97
2022-04-18 16:42:02,1,1,1,2
2022-04-18 16:42:03,3.50,3,4,2.14
2022-04-18 16:42:04,1,1,1,2.14
2022-04-18 16:42:05,0,0,0,2.10
2022-04-18 16:42:06,1,1,1,2.17
2022-04-18 16:42:07,0,0,0,2.10
2022-04-18 16:42:08,3.50,5,2,2.28
2022-04-18 16:42:09,1.50,2,1,2.34
2022-04-18 16:42:10,1.50,2,1,2.38
2022-04-18 16:42:11,1,0,2,2.45
2022-04-18 16:42:12,0.500,1,0,2.41
2022-04-18 16:42:13,0,0,0,2.21
2022-04-18 16:42:14,0.500,1,0,2.21
2022-04-18 16:42:15,2,2,2,2.24
2022-04-18 16:42:16,1.50,1,2,2.31
2022-04-18 16:42:17,1.50,1,2,2.38
2022-04-18 16:42:18,1.50,3,0,2.41
2022-04-18 16:42:19,1.50,1,2,2.41
2022-04-18 16:42:20,1,2,0,2.34
2022-04-18 16:42:21,2,1,3,2.38
2022-04-18 16:42:22,0,0,0,2.24
2022-04-18 16:42:23,2.00,1.99,2,2.38
2022-04-18 16:42:24,2.00,1.01,3,2.45
2022-04-18 16:42:25,0,0,0,2.38
2022-04-18 16:42:26,1,0,2,2.41
2022-04-18 16:42:27,3.50,2,5,2.66
2022-04-18 16:42:28,1,1,1,2.66
2022-04-18 16:42:29,0.500,1,0,2.62
2022-04-18 16:42:30,0.500,1,0,2.52
2022-04-18 16:42:31,2.50,3,2,2.62
2022-04-18 16:42:32,0.500,0,1,2.41
2022-04-18 16:42:33,1,1,1,2.41
2022-04-18 16:42:34,1.50,0,3,2.52
2022-04-18 16:42:35,1,1,1,2.52
2022-04-18 16:42:36,1,2,0,2.59
2022-04-18 16:42:37,2,2,2,2.48
2022-04-18 16:42:38,1.50,2,1,2.48
2022-04-18 16:42:39,0.500,0,1,2.41
2022-04-18 16:42:40,1.50,2,1,2.45
2022-04-18 16:42:41,2,1,3,2.55
2022-04-18 16:42:42,1.50,2,1,2.66
2022-04-18 16:42:43,1.50,1,2,2.72
2022-04-18 16:42:44,1.50,0,3,2.69
2022-04-18 16:42:45,0.500,1,0,2.62
2022-04-18 16:42:46,1.50,0,3,2.62
2022-04-18 16:42:47,1.50,0,3,2.62
2022-04-18 16:42:48,0.500,0,1,2.55
2022-04-18 16:42:49,0,0,0,2.48
2022-04-18 16:42:50,0,0,0,2.34
2022-04-18 16:42:51,2,1,3,2.48
2022-04-18 16:42:52,2,3,1,2.48
2022-04-18 16:42:53,1,2,0,2.41
2022-04-18 16:42:54,1.50,1,2,2.52
2022-04-18 16:42:55,1.50,1,2,2.55
2022-04-18 16:42:56,1.50,2,1,2.41
2022-04-18 16:42:57,1.50,0,3,2.45
2022-04-18 16:42:58,3,2,4,2.62
2022-04-18 16:42:59,2,2,,2.64
2022-04-18 16:43:00,4,4,,2.76
2022-04-18 16:43:01,2.50,2,3.01,2.90
2022-04-18 16:43:02,2,1,3,2.97
2022-04-18 16:43:03,1,1,,2.88
2022-04-18 16:43:04,0,0,,2.90
2022-04-18 16:43:05,3,2,4,3.03
2022-04-18 16:43:06,0.500,1,0,2.93
2022-04-18 16:43:07,1,1,1,2.90
2022-04-18 16:43:08,0,0,0,2.86
2022-04-18 16:43:09,2,2,2,2.90
2022-04-18 16:43:10,0.500,0,1,2.79
2022-04-18 16:43:11,0.500,0,1,2.72
2022-04-18 16:43:12,0.500,0,1,2.66
2022-04-18 16:43:13,3,2,4,2.76
2022-04-18 16:43:14,0,0,0,2.72
2022-04-18 16:43:15,2,2,2,2.76
2022-04-18 16:43:16,1,2,0,2.72
2022-04-18 16:43:17,1,1,1,2.76
2022-04-18 16:43:18,0.500,1,0,2.79
2022-04-18 16:43:19,2,2,2,2.93
2022-04-18 16:43:20,1,1,1,2.86
2022-04-18 16:43:21,1.50,1,2,2.83
2022-04-18 16:43:22,2,1,3,2.90
2022-04-18 16:43:23,2.50,3,2,2.97
2022-04-18 16:43:24,3.50,3,4,3.10
2022-04-18 16:43:25,3,2,4,3.21
2022-04-18 16:43:26,1,1,1,3.17
2022-04-18 16:43:27,1.50,2,1,3.07
2022-04-18 16:43:28,1,2,0,2.95
2022-04-18 16:43:29,0,0,0,2.79
2022-04-18 16:43:30,1.50,2,1,2.72
2022-04-18 16:43:31,1.50,1,2,2.69
2022-04-18 16:43:32,1,1,1,2.67
2022-04-18 16:43:33,2.50,3,2,2.83
2022-04-18 16:43:34,2.50,3,2,2.79
2022-04-18 16:43:35,3,2,4,2.97
2022-04-18 16:43:36,2.50,4,1,3.07
2022-04-18 16:43:37,0,0,0,3.07
2022-04-18 16:43:38,1.50,2,1,3.03
2022-04-18 16:43:39,3,3,3,3.21
2022-04-18 16:43:40,1.50,3,0,3.28
2022-04-18 16:43:41,1.50,2,1,3.34
2022-04-18 16:43:42,1,2,0,3.21
2022-04-18 16:43:43,2,2,2,3.34
2022-04-18 16:43:44,0.500,1,0,3.24
2022-04-18 16:43:45,2,4,0,3.31
2022-04-18 16:43:46,1,1,1,3.31
2022-04-18 16:43:47,1,1,1,3.34
2022-04-18 16:43:48,1.50,2,1,3.31
2022-04-18 16:43:49,1.50,0,3,3.34
2022-04-18 16:43:50,1.50,0,3,3.34
2022-04-18 16:43:51,2,2,2,3.34
2022-04-18 16:43:52,3.50,3,4,3.41
2022-04-18 16:43:53,1.50,3,0,3.28
2022-04-18 16:43:54,1,0,2,3.14
2022-04-18 16:43:55,1,1,1,3.14
2022-04-18 16:43:56,0.500,0,1,3.07
2022-04-18 16:43:57,1,1,1,3.07
2022-04-18 16:43:58,4,5,3,3.34
2022-04-18 16:43:59,3,3,3,3.45
2022-04-18 16:44:00,2.50,4,1,3.52
2022-04-18 16:44:01,2,2,2,3.59
2022-04-18 16:44:02,1,2,0,3.48
2022-04-18 16:44:03,1.50,2,1,3.41
2022-04-18 16:44:04,2,2,2,3.34
2022-04-18 16:44:05,1.50,0,3,3.28
2022-04-18 16:44:06,1,1,1,3.34
2022-04-18 16:44:07,2.50,4,1,3.41
2022-04-18 16:44:08,1,2,0,3.28
2022-04-18 16:44:09,3,2,4,3.38
2022-04-18 16:44:10,3,3,3,3.48
2022-04-18 16:44:11,1,1,1,3.48
2022-04-18 16:44:12,2,3,1,3.48
2022-04-18 16:44:13,1.50,1,2,3.55
2022-04-18 16:44:14,1.50,1,2,3.52
2022-04-18 16:44:15,2,2,2,3.59
2022-04-18 16:44:16,0.500,1,0,3.55
2022-04-18 16:44:17,1.50,2,1,3.55
2022-04-18 16:44:18,1,2,0,3.52
2022-04-18 16:44:19,2,3,1,3.55
2022-04-18 16:44:20,0.500,1,0,3.45
2022-04-18 16:44:21,2,2,2,3.34
2022-04-18 16:44:22,2.50,5,0,3.41
2022-04-18 16:44:23,1.50,1,2,3.45
2022-04-18 16:44:24,1,1,1,3.45
2022-04-18 16:44:25,3,3,3,3.62
2022-04-18 16:44:26,0.500,0,1,3.59
2022-04-18 16:44:27,1.50,2,1,3.41
2022-04-18 16:44:28,1.50,2,1,3.31
2022-04-18 16:44:29,3.49,3.98,3,3.38
2022-04-18 16:44:30,1.51,2.01,1,3.34
2022-04-18 16:44:31,1,1,1,3.34
2022-04-18 16:44:32,1,0,2,3.31
2022-04-18 16:44:33,2,2,,3.23
2022-04-18 16:44:34,2,2,,3.48
2022-04-18 16:44:35,1.50,1,1.99,3.52
2022-04-18 16:44:36,1.00,1,1.01,3.41
2022-04-18 16:44:37,1,0,2,3.41
2022-04-18 16:44:38,0,0,0,3.21
2022-04-18 16:44:39,0.500,0,1,3.03
2022-04-18 16:44:40,1.50,1,2,3.07
2022-04-18 16:44:41,1,1,1,3
2022-04-18 16:44:42,2,2,2,3.03
2022-04-18 16:44:43,2,1,3,3.07
2022-04-18 16:44:44,2.50,3,2,3.10
2022-04-18 16:44:45,3.50,4,3,3.31
2022-04-18 16:44:46,2,3,1,3.34
2022-04-18 16:44:47,2,1,3,3.41
2022-04-18 16:44:48,1,0,2,3.34
2022-04-18 16:44:49,2.00,3,0.997,3.45
2022-04-18 16:44:50,0.502,0,1.00,3.34
2022-04-18 16:44:51,1,1,1,3.24
2022-04-18 16:44:52,1.50,3,0,3.24
2022-04-18 16:44:53,4.50,5,4,3.48
2022-04-18 16:44:54,0,0,0,3.28
2022-04-18 16:44:55,1.50,2,1,3.34
2022-04-18 16:44:56,1,1,1,3.31
2022-04-18 16:44:57,2,1,3,3.34
2022-04-18 16:44:58,1,2,0,3.17
2022-04-18 16:44:59,2,2,2,3.21
2022-04-18 16:45:00,1,1,1,3.21
2022-04-18 16:45:01,1.50,1,2,3.24
2022-04-18 16:45:02,0,0,0,2.92
2022-04-18 16:45:03,1,0,2,2.90
2022-04-18 16:45:04,0.500,1,0,2.83
2022-04-18 16:45:05,1,0,2,2.83
2022-04-18 16:45:06,0,0,0,2.76
2022-04-18 16:45:07,0,0,0,2.76
2022-04-18 16:45:08,0,0,0,2.72
2022-04-18 16:45:09,1,2,0,2.69
2022-04-18 16:45:10,2,0,4,2.76
2022-04-18 16:45:11,0.500,0,1,2.66
2022-04-18 16:45:12,1,2,0,2.59
2022-04-18 16:45:13,0,0,0,2.41
2022-04-18 16:45:14,1.50,2,1,2.28
2022-04-18 16:45:15,1,1,1,2.21
2022-04-18 16:45:16,1,1,1,2.14
2022-04-18 16:45:17,1.50,1,2,2.17
2022-04-18 16:45:18,0.500,1,0,2.07
2022-04-18 16:45:19,2.50,3,2,2.21
2022-04-18 16:45:20,0.500,0,1,2.17
2022-04-18 16:45:21,3,2,4,2.28
2022-04-18 16:45:22,0,0,0,1.97
2022-04-18 16:45:23,1.50,1,2,2.07
2022-04-18 16:45:24,2.50,2,3,2.14
2022-04-18 16:45:25,2.50,3,2,2.24
2022-04-18 16:45:26,1,1,1,2.17
2022-04-18 16:45:27,0.500,1,0,2.14
2022-04-18 16:45:28,2,1,3,2.14
2022-04-18 16:45:29,1,2,0,2.14
2022-04-18 16:45:30,2.50,3,2,2.21
2022-04-18 16:45:31,2.50,3,2,2.38
2022-04-18 16:45:32,0.500,0,1,2.34
2022-04-18 16:45:33,1.50,3,0,2.41
2022-04-18 16:45:34,1,1,1,2.41
2022-04-18 16:45:35,1,1,1,2.48
2022-04-18 16:45:36,2.50,3,2,2.66
2022-04-18 16:45:37,0,0,0,2.66
2022-04-18 16:45:38,2.50,1,4,2.76
2022-04-18 16:45:39,1.50,3,0,2.72
2022-04-18 16:45:40,2.50,4,1,2.86
2022-04-18 16:45:41,2,2,2,2.93
2022-04-18 16:45:42,1.50,3,0,3.03
2022-04-18 16:45:43,0.500,1,0,2.97
2022-04-18 16:45:44,1.49,1.98,1,3.00
2022-04-18 16:45:45,1.51,3.03,0,3.03
2022-04-18 16:45:46,0.500,0,1,2.97
2022-04-18 16:45:47,0,0,0,2.93
2022-04-18 16:45:48,0.500,0,1,2.79
2022-04-18 16:45:49,1,1,1,2.83
2022-04-18 16:45:50,0,0,0,2.62
2022-04-18 16:45:51,1.50,1,2,2.72
2022-04-18 16:45:52,1,1,1,2.69
2022-04-18 16:45:53,3,2,4,2.72
2022-04-18 16:45:54,2,1,3,2.69
2022-04-18 16:45:55,2,3,1,2.76
2022-04-18 16:45:56,0.500,1,0,2.76
2022-04-18 16:45:57,1.50,1,2,2.72
2022-04-18 16:45:58,0,0,0,2.66
2022-04-18 16:45:59,0.500,1,0,2.52
2022-04-18 16:46:00,0,0,0,2.34
2022-04-18 16:46:01,1,2,0,2.38
2022-04-18 16:46:02,1.50,2,1,2.38
2022-04-18 16:46:03,2,3,1,2.45
2022-04-18 16:46:04,2,2,2,2.52
2022-04-18 16:46:05,1,1,1,2.41
2022-04-18 16:46:06,2,4,0,2.55
2022-04-18 16:46:07,3,2,4,2.59
2022-04-18 16:46:08,1,2,0,2.55
2022-04-18 16:46:09,2,1,3,2.52
2022-04-18 16:46:10,0,0,0,2.38
2022-04-18 16:46:11,1,1,1,2.34
2022-04-18 16:46:12,2,0,4,2.45
